slug	title	reason
azumi-koyama-2009	AZUMI	一部描画済(要調査)
ultraman-story-0	ウルトラマンstory 0	種2側上下label
kibaken	牙拳	drop系imprint ['Kyun comics', '勁文社コミックス傑作選']
rekishi-gekiga-daisaishou	歴史劇画大宰相	標準版無
chikita-gugu	チキタ・GUGU	同imprint同年帯=眠れぬ夜の奇妙な話コミックス(2000-07)=部分重複行
ueki-no-housoku-plus	うえきの法則プラス	一部描画済(要調査)
crown	CROWN	標準版無
brothers	Brothers	著者不一致 種2=['叶精作', '小池一夫'] 頁=['田島昭宇']
nihonshi-tanbou	日本史探訪 幕末維新	同imprint同年帯=角川コミックス(1990-91)=部分重複行
gakuen-mokushiroku-highschool-of-the-dead	学園黙示録HIGHSCHOOL OF THE DEAD	巻番号 [1, 2, 3, 4, 7]
vampire-2005	バンパイア	標準版無
brothers	BROTHERS	著者不一致 種2=['叶精作', '小池一夫'] 頁=['田島昭宇']
is-2010	IS	同imprint同年帯=MFコミックス(2010-14)=部分重複行
sunuupii-no-motto-kiraku-ni	スヌーピーのもっと気楽に	標準版無
mahou-suit-riui	魔法戦士リウイ	著者不一致 種2=['長谷川光司'] 頁=['横田守', '水野良']
operation-g-g	オペレーションG.G	drop系imprint ['My first big special']
kafuu-ni-naritai	荷風になりたい	drop系imprint ['My first big special']
kokoro-momochi-2006	こころ	著者不一致 種2=['バラエティアートワークス', '吉崎凪'] 頁=['ももち麗子']
rinne-no-lagrange	輪廻のラグランジェ	著者不一致 種2=['吉岡公威', '菅正太郎'] 頁=['IsII']
mutant-taatoruzu	ミュータント・タートルズ	著者不一致 種2=['どろんぱ'] 頁=['寿司一郎']
taiyou-no-kiba-daguramu	太陽の牙ダグラム	種2側上下label
mobile-suit-gundam-gihren-ansatsu-keikaku	機動戦士ガンダムギレン暗殺計画	著者不一致 種2=['Arkperformance'] 頁=['K', '富野由悠季']
reigen-suhou-mandala	霊験修法曼荼羅	種2側上下label
sangokushi-shokatsu-koumei-2002	三国志諸葛孔明	著者不一致 種2=['久松文雄', '竹川弘太郎'] 頁=['石ノ森章太郎']
tezuka-osamu	手塚治虫	上下label(canonical非対応)
za-best-bout-obu-baki	ザ・ベスト・バウトオブ刃牙	上下label(canonical非対応)
meitantei-conan-seikimatsu-no-majutsushi	名探偵コナン 世紀末の魔術師	drop系imprint ['少年サンデーコミックススペシャル', '少年サンデーコミックスビジュアルセレクション']
meitantei-conan-tengoku-eno-kauntodaun	名探偵コナン 天国へのカウントダウン	著者不一致 種2=['青山剛昌'] 頁=['阿部ゆたか']
meitantei-conan-shikkoku-no-chaser	名探偵コナン 漆黒の追跡者	種2側上下label
meitantei-conan-meikyuu-no-kurosuroodo	名探偵コナン 迷宮の十字路	page無
soul-reviver-south	ソウルリヴァイヴァーsouth	種2側上下label
ikkyuu-den	一休伝	上下label(canonical非対応)
botsu-chan-no-jidai	『坊っちゃん』の時代	巻番号 [1, 4]
himawari-2010	ひまわり	著者不一致 種2=['林壮太', '滝直毅'] 頁=['銀八']
mononofutsu	もののふっ!!	巻番号 [2, 3]
anime-sanjuushi	アニメ三銃士	著者不一致 種2=['アレクサンドル=デュマ', '井上大助'] 頁=['アレクサンドルデュマ', 'モンキーパンチ']
infinitei	インフィニティ	著者不一致 種2=[] 頁=['遊人']
crusher-joe	クラッシャージョウ	page無
scrapped-princess	スクラップド・プリンセス	著者不一致 種2=['宗我部としのり'] 頁=['安曇雪伸', '榊一郎']
spotlight-miura-2021	スポットライト	著者不一致 種2=['鳴海涼'] 頁=['三浦風']
national-kid	ナショナル・キッド	種2側上下label
wagahai-wa-neko-de-aru	吾輩は猫である	種2側上下label
daichi-no-ko-miyari	大地の子みやり	drop系imprint ['My first big special']
daichi-no-ko-yuu	大地の子ゆう	drop系imprint ['My first big special']
mahou-shoujo-pretty-sammy	魔法少女プリティサミー	著者不一致 種2=[] 頁=['蒔野靖弘']
dandori-kun	ダンドリくん	著者不一致 種2=['久住昌之', '泉晴紀'] 頁=['ねてる']
princess-ai	Princess Ai	著者不一致 種2=[] 頁=['D.J.ミルキー', 'コートニーラヴ']
stay-gold	Staygold	著者不一致 種2=['秀良子'] 頁=['大島司']
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	著者不一致 種2=['ラルフマッカーシー', '京極夏彦'] 頁=['水木プロ']
herubooi	ヘルボーイ	page無
shinrei-jikkyou-chuukei-special	心霊実況中継スペシャル	著者不一致 種2=['いしかわまみ', 'おとくに桃'] 頁=['(unknown)']
mobile-suit-gundam-zz	機動戦士ガンダムZZ	種2側上下label
akage-no-an-1983	赤毛のアン	著者不一致 種2=['L.M.モンゴメリ', 'いがらしゆみこ'] 頁=['L.モンゴメリー', '杉本啓子']
boku-to-ohiru-o	僕とお昼を	drop系imprint ['KCデラックス', 'キャラクターブックス']
stitch	スティッチ!	著者不一致 種2=['つきりのゆみ'] 頁=['あさだみほ']
tokugawa-ieyasu-2012	徳川家康	種2側上下label
valkyrie-profile-2000	VALKYRIE PROFILE	著者不一致 種2=['土方悠'] 頁=['魔神ぐり子']
yoru-no-suit	夜の戦士	著者不一致 種2=['岡村賢二'] 頁=['高橋はるまさ']
valkyrie-profile-2000	VALKYRIE PROFILE	著者不一致 種2=['岩佐あきらこ'] 頁=['魔神ぐり子']
manga-boku-no-manshuu	マンガ・ぼくの満洲	上下label(canonical非対応)
sukimon-yanen	数奇者やねん	上下label(canonical非対応)
yamigashi	闇貸師	種2側上下label
engage-1994	Engage	上下label(canonical非対応)
angelique-retour	アンジェリーク ルトゥール	同imprint同年帯=Sho-Comiフラワーコミックス(2015-16)=部分重複行
hr	HR	著者不一致 種2=['長月みそか'] 頁=['くろがねぎん']
lupin-iii-vs-meitantei-conan-za-movie	ルパン三世vs名探偵コナンTHE MOVIE	種2側上下label
fujiko-efu-fujio	藤子・F・不二雄	著者不一致 種2=['藤子F不二雄'] 頁=['さいとうはるお']
qp-gaiden-azuma-ryou	QP外伝我妻涼	種2側上下label
shichinin-no-samurai	七人の侍	著者不一致 種2=['さいとうたかを', '黒澤プロダクション'] 頁=['ケン月影']
roodosutou-senki-1998	ロードス島戦記	上下label(canonical非対応)
nibelung-no-yubiwa-2003	ニーベルングの指環	上下label(canonical非対応)
meitantei-conan-ijigen-no-sniper	名探偵コナン 異次元の狙撃手	著者不一致 種2=['青山剛昌'] 頁=['阿部ゆたか']
meitantei-conan-junkoku-no-nightmare	名探偵コナン純黒の悪夢	著者不一致 種2=['青山剛昌'] 頁=['阿部ゆたか']
jigoku-yuugi	地獄遊戯	著者不一致 種2=['魔木子'] 頁=['亘理なおみ']
komorebi-no-moto-de	こもれ陽の下で…	上下label(canonical非対応)
running-dai-2-bu	RUNNING第2部	上下label(canonical非対応)
mach-go-go-go	マッハgo go go	著者不一致 種2=['吉田竜夫'] 頁=['谷上俊夫']
fairy	フェアリー	著者不一致 種2=['ありさか邦', '佐々木守'] 頁=['かわちゆかり']
hibiki-2006	響	著者不一致 種2=['柳本光晴'] 頁=['池田文春']
houou-no-tsubasa	鳳凰の翼	上下label(canonical非対応)
game	GAME	著者不一致 種2=['今市子'] 頁=['市東亮子']
body	BODY	著者不一致 種2=['桃園樹林'] 頁=['村生ミオ']
joy	JOY	著者不一致 種2=['絵津鼓'] 頁=['岩尾奈美恵']
nude	NUDE	著者不一致 種2=['うちだ藤丸'] 頁=['野崎ふみこ']
sherlock-berugureebia-no-shuubun	SHERLOCKベルグレービアの醜聞	上下label(canonical非対応)
star-wars	STAR WARS	page無
arashi-no-yoruni	あらしのよるに	著者不一致 種2=['きむらゆういち', '杉井ギサブロー'] 頁=['あべ弘士', '木村裕一']
himawari-ueno-2005	ひまわり	著者不一致 種2=['ごぉ', 'ぶらんくのーと'] 頁=['市川ジュン']
manga-grimm-douwa-2003	まんがグリム童話	著者不一致 種2=['一川未宇', '吉村菜由'] 頁=['魔木子']
manga-grimm-douwa-2003	まんがグリム童話	著者不一致 種2=['つか絵夢子', 'まつざきあけみ'] 頁=['魔木子']
manga-kabuki-nyuumon	まんが歌舞伎入門	上下label(canonical非対応)
ged-senki	ゲド戦記	巻番号 [3, 4]
joker-2000-2	ジョーカー	著者不一致 種2=['BermejoLee', 'ブライアンアザレロ'] 頁=['万里村奈加']
supuun-oba-san	スプーンおばさん	著者不一致 種2=['アルフ=プリョイセン', '中島昌利'] 頁=['アルフプリョイセン', 'スタジオぴえろ']
haunted-campus	ホーンテッド・キャンパス	著者不一致 種2=[] 頁=['箸井地図']
minami-no-teiou-young-hen-riken-kuukou-special	ミナミの帝王　ヤング編 利権空港スペシャル	page無
ragnarok-online	ラグナロクオンライン	page無
ring-1996	リング	上下label(canonical非対応)
vampire-1996	ヴァンパイア	著者不一致 種2=['高橋ユキ'] 頁=['若宮弘明']
sanshirou	三四郎	drop系imprint ['MANGA BUNGOシリーズ', 'マンガで読む名作']
ayashi	妖	著者不一致 種2=['霧嶋珠生'] 頁=['犬木加奈子']
ayashi	妖	著者不一致 種2=['函岬誉', '山本まゆり'] 頁=['犬木加奈子']
konzen-black-keiyaku	婚前ブラック契約	上下label(canonical非対応)
kisetsu-no-kuni-no-kemonotachi	季節の国のけものたち	巻番号 []
housekihime-wa-mitsu-ni-nurete	宝石姫は蜜に濡れて	種2側上下label
nariagari	成りあがり	種2側上下label
hoshi-ni-negai-o-2001	星に願いを	著者不一致 種2=['堀口純男', '西村ミツル'] 頁=['入江紀子']
tougenkyou-no-hitobito	桃源郷の人々	種2側上下label
inugamike-no-ichizoku	犬神家の一族	上下label(canonical非対応)
ikizurai-to-omottara-oyako-de-hattatsu-shougai-deshita	生きづらいと思ったら親子で発達障害でした	種2側上下label
jigoku-shoujo-enma-ai-selection-geki-kowa-story	地獄少女 閻魔あいセレクション 激こわストーリー	同imprint同年帯=講談社コミックスなかよし(2007-11)=部分重複行
sozoro-gennai	そぞろ源内	巻番号 [2, 3]
gold-1997	Gold	標準版無
devilman	デビルマン	page無
meitantei-conan-harouin-no-hanayome	名探偵コナンハロウィンの花嫁	drop系imprint ['少年サンデーコミックスビジュアルセレクション']
meitantei-conan-hiiro-no-dangan	名探偵コナン緋色の弾丸	drop系imprint ['少年サンデーコミックスビジュアルセレクション']
heaven-2001	Heaven	標準版無
kyuupii-gaiden-drama-special	QP外伝ドラマスペシャル	同imprint同年帯=YK best(2011-12)=部分重複行
re-zero-kara-hajimeru-isekai-seikatsu	Re:ゼロから始める異世界生活	巻番号 [2, 3]
shion	SHION	著者不一致 種2=['ひなしょ2002-'] 頁=['衣谷遊']
vitamin-z	VitaminZ	種2側上下label
puyopuyo	ぷよぷよ　4コマギャグバトル	上下label(canonical非対応)
manga-grimm-douwa-2003	まんがグリム童話	著者不一致 種2=['つか絵夢子', 'つるたえみこ'] 頁=['魔木子']
elisabeth	エリザベート	標準版無
chance-1987	チャンス!	著者不一致 種2=['北川悦吏子', '小野佳苗'] 頁=['まさき輝']
doraemon-himitsu-dougu-hyakka	ドラえもんひみつ道具百科.	上下label(canonical非対応)
final-fantasy	ファイナルファンタジー	page無
herubooi	ヘルボーイ	page無
