page_slug	series_title	n_isbn(未掲載版)	page_vols	imprint	sid
azumi-koyama-2009	AZUMI	17	18	Big comic superior	311
ultraman-story-0	ウルトラマンstory 0	15	16	Tokuma comics	53804
zombie-loan	Zombie-loan	13	13		133029
kibaken	牙拳	11	11	勁文社コミックス傑作選	108611
rekishi-gekiga-daisaishou	歴史劇画大宰相	10	10	講談社文庫	38235
neon-chou	ネオン蝶	9	10	King series	81228
snoopy	SNOOPY	9	10		132458
asatte-dance	あさってDance	7	7	弓立社	40822
amon-devilman-mokushiroku	AMONデビルマン黙示録	7	6	KCDX	47127
chikita-gugu	チキタ・GUGU	7	8	眠れぬ夜の奇妙な話コミックス	129123
happy-chokuzen	はっぴぃ直前	6	6	ヤンマガKC	33914
channel-wa-sonomama	チャンネルはそのまま!	6	6	ビッグコミックス	44727
mazin-saga	マジンサーガ	6	6	KCDX	47223
ueki-no-housoku-plus	うえきの法則プラス	5	5	少年サンデーコミックス	2
crown	CROWN	5	6	Blade comics	8751
brothers	Brothers	5	4	Leed cafe comics	11623
nihonshi-tanbou	日本史探訪 幕末維新	5	5	角川コミックス	38228
gakuen-mokushiroku-highschool-of-the-dead	学園黙示録HIGHSCHOOL OF THE DEAD	5	6		46186
choujinrui-6	超人類6	5	5	Bamboo comics	46671
god-mazinger	ゴッドマジンガー	5	4	St comics	47175
vampire-2005	バンパイア	5	5	ジャンプ・コミックスデラックス	50145
pangaea	PANGAEA	5	5	GANGAN WING COMICS	55345
brothers	BROTHERS	5	4	King series	56287
is-2010	IS	5	6	MFコミックス	59300
ikenai-boy	イケナイboy	5	5	ホームコミックス	73387
sunuupii-no-motto-kiraku-ni	スヌーピーのもっと気楽に	5	5	朝日文庫	78478
mahou-suit-riui	魔法戦士リウイ	5	6	ファミ通クリアコミックス	119556
operation-g-g	オペレーションG.G	5	5	My first big special	139541
love-roma	ラブロマ	5	5	ゲッサン少年サンデーコミックススペシャル	146007
kafuu-ni-naritai	荷風になりたい	4	4	My first big special	6846
chrome-kidoutai-stand-alone-complex-za-laughing-man	攻殻機動隊STAND ALONE COMPLEX～The Lau	4	5	ヤンマガKCDX	27011
juliet	Juliet	4	4	ビンゴ・コミックス	56173
wish	Wish	4	4	角川コミックス・エース	61661
kokoro-momochi-2006	こころ	4	4		65886
uchuu-chintai-sarugassou	宇宙賃貸サルガッ荘	4	5	KCDX	96833
nintama-rantarou	忍たま乱太郎	4	4		99423
mobile-suit-gundam-zz	機動戦士ガンダムZZ	4	3	講談社コミックス	105719
rinne-no-lagrange	輪廻のラグランジェ	4	3	ヤングガンガンコミックス	116550
mutant-taatoruzu	ミュータント・タートルズ	4	5	DENGEKI COMICS	121320
happyaku-yachou-hyouri-no-kewaishi	八百八町表裏化粧師	4	5	ダイソーコミックシリーズ	148690
rettoumon-no-chouetsu-healer	劣等紋の超越ヒーラー	4	5	ヤングチャンピオン・コミックス	149281
taiyou-no-kiba-daguramu	太陽の牙ダグラム	4	3	KPC	151377
mobile-suit-gundam-gihren-ansatsu-keikaku	機動戦士ガンダムギレン暗殺計画	4	4	単行本コミックス	157408
reigen-suhou-mandala	霊験修法曼荼羅	4	5	ASスペシャル	165349
mahoutsukai-no-konyakusha	魔法使いの婚約者	4	5	フロースコミック	165999
astronauts	astronauts	3	4	KCDX	101
mahou-shoujo-madoka-magica	魔法少女まどか☆マギカ 魔獣編	3	3	Kirara menu	7310
sangokushi-shokatsu-koumei-2002	三国志諸葛孔明	3	2	講談社プラチナコミックス	8898
sonic-wizard	SONIC WIZARD	3	3	Bamboo comics	13039
cyber-blue	サイバーブルー	3	4	ゼノンコミックスDX	31196
tezuka-osamu	手塚治虫	3	2	BIG COMICS SPECIAL	35167
mugichan-no-ita-sekusuarisu-dai-2-bu	麦ちゃんのヰタ・セクスアリス第2部	3	2	集英社文庫	39329
za-best-bout-obu-baki	ザ・ベスト・バウトオブ刃牙	3	2	Akita top comics wid	39586
meitantei-conan-seikimatsu-no-majutsushi	名探偵コナン 世紀末の魔術師	3	3	少年サンデーコミックスビジュアルセレクシ	40548
meitantei-conan-tengoku-eno-kauntodaun	名探偵コナン 天国へのカウントダウン	3	2	少年サンデーコミックスビジュアルセレクシ	40549
meitantei-conan-shikkoku-no-chaser	名探偵コナン 漆黒の追跡者	3	3	少年サンデーコミックススペシャル	40555
meitantei-conan-meikyuu-no-kurosuroodo	名探偵コナン 迷宮の十字路	3	2	少年サンデーコミックスビジュアルセレクシ	40560
soul-reviver-south	ソウルリヴァイヴァーsouth	3	3	HCヒーローズコミックス	44786
ufo-robo-grendizer	UFOロボグレンダイザー	3	3	サンデーコミックス	47134
majindensetsu	魔神伝説	3	4	ヤマト・コミックス・スペシャル	47315
ikkyuu-den	一休伝	3	3	HMB	48489
botsu-chan-no-jidai	『坊っちゃん』の時代	3	4		50919
20-mensou-ni-onegai	20面相におねがい!!	3	2	角川コミックス・エース	57036
ar-tonelico-2	Ar tonelico 2	3	3	Blade comics	57603
himawari-2010	ひまわり	3	4	ヤングジャンプ・コミックス・スペシャル	69698
mononofutsu	もののふっ!!	3	3	Birz comics = バーズコミッ	71636
anime-sanjuushi	アニメ三銃士	3	3	学研まんが名作シリーズ	72872
infinitei	インフィニティ	3	2		73643
crusher-joe	クラッシャージョウ	3	2	講談社アニメコミックス	75981
scrapped-princess	スクラップド・プリンセス	3	3	ファミ通クリアコミックス	78204
spotlight-miura-2021	スポットライト	3	2	KCDX	78623
national-kid	ナショナル・キッド	3	3	マンガショップシリーズ	81003
battle-story-rockman-exe	バトルストーリーロックマンエグゼ	3	4		82075
lunatic-zatsugidan	ルナティック雑技団	3	3	りぼんマスコットコミックス	86903
gouhou-drug	合法ドラッグ	3	3	角川コミックス・エース	92810
wagahai-wa-neko-de-aru	吾輩は猫である	3	2	まんがトムソーヤ文庫	93341
daichi-no-ko-miyari	大地の子みやり	3	2	My first big special	94808
daichi-no-ko-yuu	大地の子ゆう	3	2	My first big special	94809
mobile-suit-crossbone-gundam-koutetsu-no-7-nin	機動戦士クロスボーン・ガンダム鋼鉄の7人	3	3	角川コミックス・エース	105751
tayama-yukinori-pachipuro-nikki	田山幸憲パチプロ日記	3	4	白夜コミックス	109694
mahou-shoujo-pretty-sammy	魔法少女プリティサミー	3	3	Dragon magazine coll	119530
dandori-kun	ダンドリくん	3	3	ACTION COMICS	121971
princess-ai	Princess Ai	3	3		132250
stay-gold	Staygold	3	3	On blue comics	132592
quo-vadis-2013	クォ・ヴァディス	3	3		140323
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	3	3	Kodansha bilingual c	140629
god-mazinger	ゴッドマジンガー	3	4	KCDX	140958
herubooi	ヘルボーイ	3	2	Jive American comics	144623
shinrei-jikkyou-chuukei-special	心霊実況中継スペシャル	3	2	マンサンコミックス	153616
higeki-no-genkyou-to-naru-saikyou-gedou-rasubosu-joou-wa-tami-no-tameni-tsukushimasu	悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。	3	3	IDコミックス. Zero-sum co	154593
shin-mobile-senki-gundam-wing	新機動戦記ガンダムW	3	4	講談社コミックス	155928
shin-mobile-senki-gundam-wing-g-unit	新機動戦記ガンダムW G-UNIT	3	3	講談社コミックス	155932
mobile-suit-gundam-zz	機動戦士ガンダムZZ	3	3	KPC	157385
akage-no-an-1983	赤毛のアン	3	3	The Kumon manga libr	163782
boku-to-ohiru-o	僕とお昼を	2	2	KCデラックス	630
stitch	スティッチ!	2	1	てんとう虫コミックススペシャル	4423
tobu-kiyoushitsu	飛ぶ教室	2	2	Kibo comics	5069
tokugawa-ieyasu-2012	徳川家康	2	3	King series 漫画スーパーワイ	6131
valkyrie-profile-2000	VALKYRIE PROFILE	2	3	GANGAN COMICS	12420
yoru-no-suit	夜の戦士	2	3	SP comics	15588
valkyrie-profile-2000	VALKYRIE PROFILE	2	3	エニックススーパーコミック劇場	15702
manga-boku-no-manshuu	マンガ・ぼくの満洲	2	2		20373
sanada-yukimura	真田幸村	2	2	講談社プラチナコミックス	20666
the-3-mei-sama	THE 3名様	2	2	電撃ジャパンコミックス	24147
sukimon-yanen	数奇者やねん	2	2	King series	24538
yamigashi	闇貸師	2	1	Comic魂別冊	24561
engage-1994	Engage	2	2	MBコミックス	25995
angelique-retour	アンジェリーク ルトゥール	2	2	Sho-Comiフラワーコミックス	26977
hr	HR	2	2	Kirara menu	28579
lupin-iii-vs-meitantei-conan-za-movie	ルパン三世vs名探偵コナンTHE MOVIE	2	2	少年サンデーコミックススペシャル	31750
supanguru	スパングル	2	1		32605
fujiko-efu-fujio	藤子・F・不二雄	2	1	BIG COMICS SPECIAL	34178
