class	slug	title	n_series	n_editions	cluster_dump
A_SPLIT_WORK?	21-emon	21エモン	2	6	sid34012(藤子・F・不二雄/藤子不二雄): bunkobon[小学館コロコロ文庫] 3冊 1997-05-20〜1997-05-20 ISBN3 ; standard[てんとう虫コミックス] 7冊 1977-11-25〜2018-10 ISBN4 ; standard[藤子・F・不二雄大全集] 2冊 2010-08-30〜2010-12-29 ISBN2 | sid57039(藤子不二雄): standard[てんとう虫コミックス] 3冊 1977-08-25〜1978-02 ISBN0 ; standard[中公コミックス] 5冊 1984-06-15〜1984-10 ISBN5 ; standard[虫コミックス] 6冊 1971-10-30〜1972-01-30 ISBN0
A_SPLIT_WORK?	akadou-suzunosuke	赤胴鈴之助	2	7	sid20914(武内つなよし): standard[] 26冊 1957-03〜2008-02 ISBN4 ; standard[ヒット・コミックス] 8冊 1969-10-15〜1971-03-15 ISBN0 ; standard[冒険活劇大ロマン] 1冊 1975-06-15〜1975-06-15 ISBN0 ; standard[小学館クリエイティブ復刻] 1冊 2007-11-04〜2007-11-04 ISBN1 ; standard[文華コミックス] 1冊 1976-01-15〜1976-01-15 ISBN0 ; standard[漫画名作館] 14冊 1991-07〜1992-01-22 ISBN14 | sid116190(): standard[] 8冊 〜 ISBN0
A_SPLIT_WORK?	captain	キャプテン	2	9	sid43399(ちばあきお/酒見賢一): anime[アクションコミックスアニメ版] 1冊 1980-08〜1980-08 ISBN0 ; bunkobon[集英社文庫] 13冊 1995-08-23〜1996-03-20 ISBN13 ; bunkobon[集英社文庫 コミック版] 2冊 1995-08-23〜1995-10-23 ISBN2 ; standard[] 15冊 1991-09〜1992-05 ISBN15 ; standard[ジャンプコミックスセレクション] 15冊 1986-03-24〜1987-05-24 ISBN11 ; standard[ジャンプ・コミックス] 1冊 1977-08〜1977-08 ISBN0 ; standard[ホームコミックス] 18冊 2009-10〜2010-06 ISBN18 ; standard[集英社ホームリミックス] 2冊 2
A_SPLIT_WORK?	gekkou-kamen	月光仮面	3	10	sid19929(桑田二郎/川内康範): standard[Star comics] 1冊 1990-11-20〜1990-11-20 ISBN1 ; standard[漫画名作館] 3冊 1992-10-04〜1992-12-12 ISBN3 | sid104400(みね武/桑田二郎): bunkobon[講談社の特選漫画文庫] 7冊 〜 ISBN0 ; bunkobon[講談社漫画文庫] 5冊 1976-06-01〜1976-11-26 ISBN0 ; standard[] 6冊 〜 ISBN0 ; standard[USAGI BOOKS] 2冊 1958-09-01〜1959-02 ISBN0 ; standard[エコーコミックス] 2冊 1976-04-20〜1976-04-20 ISBN0 ; standard[マンガショップシリーズ] 1冊 2014-10〜2014-10 
A_SPLIT_WORK?	genma-taisen	幻魔大戦	5	13	sid45360(石ノ森章太郎/平井和正): bunkobon[秋田文庫] 2冊 2009-07〜2009-07 ISBN2 ; standard[NTT出版マンガ傑作選] 2冊 1996-06〜1996-06 ISBN2 ; standard[Shotaro world] 3冊 1999-05-01〜1999-05-01 ISBN3 ; standard[アニメージュコミックス] 4冊 1980-09-10〜1981-05 ISBN0 ; standard[サンデーコミックス] 1冊 1968-02-25〜1968-02-25 ISBN1 | sid45361(石ノ森章太郎/平井和正): standard[] 2冊 2019-03〜2019-05 ISBN2 | sid98610(石ノ森章太郎/大友克洋): anime[富士見コミックスアニメ版] 3冊 1983-03-12〜1983-0
A_SPLIT_WORK?	hana-buranko-yurete	花ぶらんこゆれて…	2	5	sid13358(太刀掛秀子): bunkobon[集英社文庫コミック版] 2冊 1997-02-23〜1997-02-23 ISBN2 ; standard[SGコミックス] 2冊 1990-04〜1990-05 ISBN2 ; standard[このマンガがすごい!comics] 2冊 2026-05-25〜2026-05-25 ISBN2 ; standard[りぼんマスコットコミックス] 1冊 1980-06〜1980-06 ISBN0 | sid162615(太刀掛秀子/花とゆめコミックス編集部): standard[りぼんマスコットコミックス] 3冊 1980-03-20〜1980-05-20 ISBN0
A_SPLIT_WORK?	harenchi-gakuen	ハレンチ学園	2	7	sid47203(永井豪/有賀照人): bunkobon[徳間コミック文庫] 1冊 1995-05〜1995-05 ISBN1 ; bunkobon[集英社漫画文庫] 12冊 1976-11〜1977-05 ISBN0 ; standard[KCスペシャル] 7冊 1986-03-06〜1986-09-06 ISBN1 ; standard[KPC] 2冊 2003-05〜2003-06 ISBN2 ; standard[ジャンプ・コミックス] 13冊 1969-11〜1974-12-31 ISBN0 ; standard[ヤングジャンプ・コミックスBJ] 3冊 2007-08〜2008-06 ISBN3 | sid47204(永井豪): standard[BIG COMICS SPECIAL] 6冊 2018-07〜2018-09 ISBN6
A_SPLIT_WORK?	haru-ga-kita	春が来た	3	6	sid17342(新田真子): standard[ワールドコミックススペシャル] 1冊 1993-10〜1993-10 ISBN1 | sid48517(小池一夫/小島剛夕): standard[King series] 6冊 2012-03〜2012-08 ISBN6 ; standard[My first big special] 6冊 2022-08〜2023-01 ISBN6 ; standard[劇画キングシリーズ] 1冊 1990-10〜1990-10 ISBN0 | sid56375(小池一夫/小島剛夕): standard[アクション・コミックス] 10冊 1976-01〜1978-10 ISBN0 ; standard[劇画キングシリーズ] 1冊 1990-12〜1990-12 ISBN1
A_SPLIT_WORK?	houchounin-ajihei	包丁人味平	3	10	sid92110(ビッグ錠/牛次郎): bunkobon[集英社文庫 コミック版] 12冊 1995-12〜1996-07 ISBN12 ; bunkobon[集英社漫画文庫] 5冊 1979-03-31〜1979-07 ISBN0 ; deluxe[ジャンプ・コミックスデラックス] 12冊 1983-12-15〜1985-03-15 ISBN12 ; standard[Bamboo comics] 3冊 2014-07〜2014-09 ISBN3 ; standard[My first big] 5冊 2000-11〜2015-09 ISBN5 ; standard[My first big special] 2冊 2023-06〜2023-06 ISBN2 ; standard[My first wide] 1冊 〜 ISBN1 ; standard[ジャンプコミックス] 15冊 19
A_SPLIT_WORK?	jikken-doll-dummy-oscar	実験人形ダミー・オスカー	3	8	sid11650(叶精作): standard[] 1冊 〜 ISBN1 ; standard[Comic魂別冊叶精作] 8冊 2018-03〜2019-12 ISBN8 ; standard[劇画キングシリーズ] 3冊 1979-08〜1983-08 ISBN0 | sid56351(叶精作/小池一夫): standard[Goma books] 2冊 2019-06〜2019-06 ISBN2 ; standard[『Big Goro』別冊] 13冊 1978-05〜1984-10 ISBN0 ; standard[劇画king series] 1冊 1979-10〜1979-10 ISBN0 ; standard[劇画キングシリーズ] 16冊 1979-06〜1991-05 ISBN1 | sid129946(叶精作/小池一夫): standard[漫画スーパーワイド] 1冊 200
A_SPLIT_WORK?	jotei-katharina	女帝エカテリーナ	3	6	sid37790(池田理代子/アンリ・トロワイヤ): aizoban[中公愛蔵版] 1冊 1987-07〜1987-07 ISBN1 | sid95803(榎本由美): standard[世界美女秘話シリーズ] 1冊 2007-09〜2007-09 ISBN1 | sid95804(池田理代子/アンリ・トロワイヤ): bunkobon[中公文庫コミック版] 3冊 1994-09〜1994-09 ISBN3 ; standard[] 3冊 1982-09-20〜1984-03-20 ISBN1 ; standard[KCDX] 4冊 2014-11〜2014-11 ISBN4 ; standard[中公コミックス] 2冊 1983-03〜1984-09-20 ISBN1
A_SPLIT_WORK?	judo-itchokusen	柔道一直線	3	7	sid31257(ダイナマイト鉄/永島慎二): bunkobon[光文社文庫comic series] 7冊 1998-02-20〜1998-04-20 ISBN7 ; standard[] 7冊 2004-02〜2004-07 ISBN7 ; standard[KCスペシャル] 4冊 1991-01-08〜1991-02-06 ISBN0 | sid48343(ダイナマイト鉄/永島慎二): standard[KCスペシャル] 4冊 1990-11-06〜1990-12-06 ISBN0 ; standard[キング・コミックス] 11冊 1968-03-15〜1970-06-01 ISBN0 | sid157025(ダイナマイト鉄/永島慎二): standard[SC] 2冊 1986-01-01〜1986-01-01 ISBN0 ; standard[サンケイコミックス] 8冊 198
A_SPLIT_WORK?	katamezaru	片目猿	3	3	sid45584(横山光輝): bunkobon[講談社漫画文庫] 1冊 2008-01〜2008-01 ISBN1 ; standard[COMPACT COMICS] 2冊 1968-02-29〜1968-02-29 ISBN0 | sid159016(横山光輝/遠藤ケイ): bunkobon[小学館文庫] 2冊 1976-04-20〜1976-04-20 ISBN0
A_SPLIT_WORK?	kinnikuman	キン肉マン	2	5	sid75768(江川卓/ゆでたまご): bunkobon[集英社文庫 コミック版] 18冊 1999-01-19〜1999-11 ISBN18 ; standard[Shueisha jump remix] 7冊 2001-03〜2004-11 ISBN7 ; standard[ジャンプコミックス] 120冊 1980-12-15〜2026-04-27 ISBN116 ; standard[ジャンプコミックスセレクション] 26冊 1994-07〜1996-08-26 ISBN26 | sid140210(花とゆめコミックス編集部/ゆでたまご): standard[ジャンプ・コミックス] 7冊 1980-02〜1982-07 ISBN0
