regress_years	slug	title	authors	edition	n_vols	worst_pair	isbn_pattern
70	tank-tankuro	タンク・タンクロー	阪本牙城	standard	5	1巻(2005-08-10)→2巻(1935-10)	有→無
58	hana-mo-arashi-mo-miyagi	花も嵐も	宮城とおこ	standard	2	1巻(2014-01)→2巻(1956-03)	有→無
49	fushigina-shounen-tezuka	ふしぎな少年	手塚治虫・辻真先	standard	2	1巻(2018-02)→2巻(1969-08-10)	有→無
47	tetsuwan-atom	鉄腕アトム	手塚治虫	standard	21	16巻(2023-01)→21巻(1976-07-15)	有→無
43	swan	SWAN	有吉京子	standard	21	13巻(2024-03)→17巻(1981-01-30)	有→無
41	queen-emeraldas	クイーンエメラルダス	松本零士	standard	4	2巻(2020-05-23)→4巻(1979-02-25)	有→無
41	ribon-no-kishi	リボンの騎士	手塚治虫	bunkobon	3	1巻(1999-10-09)→3巻(1958-06-25)	有→無
40	0-shinohara	0課の女	篠原とおる	standard	6	1巻(2017-04)→2巻(1977-09-25)	有→無
35	pikadon-kun	ピカドンくん	ムロタニツネ象	standard	3	1巻(1990-02-14)→2巻(1955-12)	有→無
30	nagareboshi-gojuusantsugi	流れ星五十三次	石ノ森章太郎	standard	5	1巻(1998-06)→5巻(1968-07-25)	有→無
30	tentoumushi-no-uta	てんとう虫の歌	川崎のぼる	standard	4	1巻(2004-05)→3巻(1974-12)	有→無
29	tensai-bakabon	天才バカボン	赤塚不二夫	standard	22	17巻(2005-09)→30巻(1976-05)	有→無
28	genji-monogatari-miyagi	源氏物語	真崎春望	standard	3	1巻(2010-01)→2巻(1982-08)	有→無
27	kamen-rider	仮面ライダー	石ノ森章太郎・石川森彦	standard	4	2巻(1999-07-01)→4巻(1972-06-01)	有→無
27	sasuke	サスケ	白土三平	standard	18	1巻(1990-05-10)→9巻(1963-11)	有→無
26	stop-hibari-kun	ストップ!!ひばりくん!	江口寿史	standard	4	3巻(2010-03)→4巻(1984-01-15)	有→有
25	choujin-locke	超人ロック	聖悠紀	standard	38	14巻(2008-01-01)→17巻(1983-11-01)	有→有
25	shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	叶精作	standard	21	1巻(2013-06)→2巻(1988-06)	有→有
24	love-pack	ラブパック	大和和紀	bunkobon	3	1巻(2002-12)→3巻(1978-05-25)	有→無
24	shidenkai-no-taka	紫電改のタカ	ちばてつや	bunkobon	6	1巻(2000-08)→5巻(1976-10-28)	有→無
24	suikoden-sentaro	水滸伝	沼田清・真崎守	standard	9	2巻(2004-11)→3巻(1980-02)	有→無
24	suikoden	水滸伝	横山光輝	bunkobon	10	1巻(2002-01-25)→7巻(1978-01-15)	有→無
22	harris-no-kaze	ハリスの旋風	ちばてつや	standard	7	6巻(1991-06-17)→7巻(1969-03-22)	有→無
22	notari-matsutarou	のたり松太郎	ちばてつや・滝瀬源一	bunkobon	22	1巻(2003-08)→5巻(1981-05-20)	有→有
22	yabou	野望	佐藤まさあき	standard	7	1巻(2000-04)→4巻(1978-01-09)	有→無
21	chiisana-koi-no-monogatari	小さな恋のものがたり	みつはしちかこ	standard	46	9巻(1997-03)→10巻(1976-06-15)	有→有
21	makai-tenshou	魔界転生	とみ新蔵	standard	3	2巻(2020-12)→3巻(1999-07)	有→有
21	makaitensei	魔界転生	石川賢・九後奈緒子	standard	3	2巻(2020-12)→3巻(1999-07)	有→有
21	ninja-bugeichou-kagemaruden	忍者武芸帳〈影丸伝〉	白土三平	bunkobon	17	2巻(1997-06)→5巻(1976-04-20)	有→有
20	kyojin-no-hoshi	巨人の星	川崎のぼる	standard	19	7巻(1990-01-08)→16巻(1970-09-10)	有→無
20	ten	天	福本伸行	standard	18	6巻(2016-01)→11巻(1996-08)	有→有
19	kyojin-no-hoshi	巨人の星	川崎のぼる	bunkobon	19	1巻(1995-06-09)→12巻(1976-09)	有→無
19	otoko-oidon	男おいどん	松本零士	bunkobon	9	1巻(1996-09-12)→7巻(1977-06-30)	有→無
19	sasuke	サスケ	白土三平	bunkobon	15	3巻(1996-01-10)→11巻(1977-10-20)	有→無
19	shidenkai-no-taka	紫電改のタカ	ちばてつや	standard	5	2巻(1990-09-17)→5巻(1971-10)	有→無
19	shumari	シュマリ	手塚治虫	bunkobon	4	1巻(1995-04)→4巻(1976-07)	有→無
19	za-sanbiki-no-samurai	THE三匹の侍	土山しげる	standard	4	1巻(2005-06)→4巻(1986-01)	有→無
18	dororo	どろろ	手塚治虫	standard	4	3巻(1990-11)→4巻(1972-06-10)	有→有
18	dororo	どろろ	手塚治虫	bunkobon	4	1巻(1994-04)→4巻(1976)	有→無
18	lupin-iii	ルパン三世	モンキー・パンチ	standard	14	4巻(1993-01-10)→6巻(1975-09-10)	有→無
18	sora-no-orugan	空のオルガン	竹坂かほり	standard	8	3巻(2008-01)→5巻(1990-02-20)	有→無
17	eko-eko-azaraku	エコエコアザラク	古賀新一	standard	16	12巻(1995-01-01)→13巻(1978-09)	有→無
17	shumari	シュマリ	手塚治虫	standard	4	1巻(1995-11)→2巻(1978-11)	有→有
16	aa-hana-no-ouendan	嗚呼!!花の応援団	どおくまん	standard	15	4巻(1995-01-19)→13巻(1979-01-08)	有→無
16	ekiben-hitoritabi	駅弁ひとり旅	はやせ淳	standard	17	8巻(2026-07-24)→9巻(2010-04)	有→有
16	hiko-densetsu	火子伝説	古城武司	standard	5	1巻(2002-10)→3巻(1986-07-05)	有→有
16	sabu-to-ichi-torimonohikae	佐武と市捕物控	石ノ森章太郎・滝瀬源一	standard	17	1巻(1988-07-01)→5巻(1972)	有→無
15	black-jack	ブラック・ジャック	手塚治虫	standard	25	15巻(1994-04-12)→17巻(1979-03-30)	有→有
15	mazinger-z	マジンガーZ	桜多吾作・ダイナミック・プロ・編著	standard	5	1巻(2013-10-04)→2巻(1998-05-28)	有→有
14	babiru-2sei	バビル2世	横山光輝	standard	12	2巻(1986-05-10)→5巻(1972-11)	有→有
14	dokaben-puroyakyuuhen	ドカベン プロ野球編	水島新司	standard	52	12巻(2012-01)→21巻(1998-11)	有→有
14	fukufuku-funyaan	ふくふくふにゃーん	こなみかなた	standard	12	3巻(2007-10)→4巻(1993-08-10)	有→有
13	kappa-no-sanpei	河童の三平	水木しげる・川島健三	bunkobon	8	1巻(1988-06-28)→2巻(1975-10-12)	有→無
13	sengoku-youko	戦国妖狐	水上悟志	standard	17	5巻(2024-01-10)→7巻(2011-08)	有→有
13	shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	叶精作	standard	5	1巻(2010-10)→18巻(1997-01)	有→有
12	ariesu-no-otometachi	アリエスの乙女たち	里中満智子	standard	7	5巻(1987-05-14)→7巻(1975-04-10)	有→無
12	astro-kyuudan	アストロ球団	中島徳博	standard	19	1巻(1986-03-24)→6巻(1974-09-30)	有→無
12	eden-sugisaki	EDEN	千之ナイフ	shinsoban	2	1巻(2006-02)→2巻(1994-12-14)	有→有
12	nagareita-ryuuji	流れ板竜二	笠太郎	standard	12	1巻(1997-01)→3巻(1985-05)	有→無
12	otoko-oidon	男おいどん	松本零士	standard	9	4巻(1987-01-07)→7巻(1975-05-20)	有→無
12	ura-deka	うら刑事	緒方恭二	standard	7	1巻(1993-09)→2巻(1981-10)	有→無
12	usagi-ga-hashiru	兎が走る	弘兼憲史	standard	3	1巻(1992-07)→2巻(1980-08)	有→無
11	gush-mania	GUSH mania	葛井美鳥・千歳ぴよこ	standard	8	1巻(2015-06-25)→7巻(2004-03)	有→有
11	zansatsusha	斬殺者	小島剛夕	standard	6	1巻(1990-07-06)→4巻(1979-05)	有→無
10	gold-2004	GOLD	山本隆一郎	standard	9	1巻(2011-12)→2巻(2001-08-15)	有→有
10	mitsumegatooru	三つ目がとおる	手塚治虫	standard	10	3巻(1986-09)→5巻(1976-12)	有→有
10	purantsu-doll	観用少女	川原由美子	standard	4	3巻(2009-10)→4巻(1999-03)	有→有
10	shin-ishu-kakutou-taisen	真・異種格闘大戦	相原コージ	standard	10	1巻(2015-03)→2巻(2005-12)	有→有
10	soshite-kozure-ookami-shikaku-no-ko	そして-子連れ狼刺客の子	森秀樹	standard	2	1巻(2022-07-15)→5巻(2012-10)	有→有
10	yabou-no-oukoku	野望の王国	由起賢二	standard	28	8巻(1989-01-10)→15巻(1979-08)	有→無
9	1000-nen-joou	1000年女王	松本零士	standard	5	1巻(1991-07-10)→4巻(1982-11)	有→無
9	ahiru-no-sora	あひるの空	日向武史	standard	50	26巻(2010-02-17)→27巻(2001-04-16)	有→有
9	akuma-ha-nemura-nai	悪魔は眠らない	柿崎普美	standard	3	1巻(1991-07-10)→2巻(1982-03-30)	有→無
9	bad-da-ne-yoshio-kun	BADだねヨシオくん!	浅田弘幸	standard	5	3巻(1999-09-03)→4巻(1990-11-15)	有→有
9	burunga1sei	ブルンガ1世	手塚治虫	standard	2	1巻(1989-11-10)→2巻(1980-03-20)	有→無
