class	title	sid	edition	imprint	isbn0	date0	min_numbered	numbered	頁
HIDDEN_FIX	(元) ヤクザは紳士で猛獣	56762	standard	Bunkasha comics	9784821139613	2020-09	2021-05	2,3,4,5	moto-yakuza-wa-shinshi-de-moujuu
HIDDEN_FIX	16年、君を想うとこんなに大きく…♡	130203	standard	Bunkasha comics	9784821154333	2022-10	2023-04	2,4	16-nen-kimi-o-omou-to-konnani-ookiku
HIDDEN_FIX	『坊っちゃん』の時代	62284	standard		9784575302769	2010-12-25	2014-07	2,3,5	bocchan-no-jidai
HIDDEN_FIX	つまりそういうコト。	136224	standard	Missy comics	9784776753971	2022-08	2024-07	2	tsumari-souiu-koto-karada-wa-ai-ni-hairimasuka
HIDDEN_FIX	めぐりくるはる	50804	standard	ワニマガジン・コミックス	9784898293430	1998-04-01	1999-03-05	2	megurikuruharu
HIDDEN_FIX	ゆるデイズ	138132	standard	Bamboo comics	9784801976443	2022-05	2024-07	2	yuru-days
HIDDEN_FIX	クラリオンの子供たち	54778	standard		9784893931337	1993-12-25	2016-04	1	clarion-no-kodomotachi
HIDDEN_FIX	サメにゃん	141127	standard		9784778036270	2024-05	2025-04-30	2,3	samenyan
HIDDEN_FIX	テイクイットイージー	44851	deluxe	バーズコミックスデラックス	9784789782432	2000-02	2015-12	1	take-it-easy
HIDDEN_FIX	リボンの騎士	35071	standard		9784835449029	2012-11	2018-11	1,3	ribon-no-kishi
HIDDEN_FIX	何も聞かずに抱かせてくれ	89774	standard	Melt comics	9784396701024	2018-05	2018-09	2,3,4,5	nanimo-kikazu-ni-dakasetekure
HIDDEN_FIX	元ヤンOLはこじらせエリートのいいなりおもちゃ♡	148492	standard	Bunkasha comics	9784821128655	2021-12	2023-07	2	moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha
HIDDEN_FIX	南くんはその声に焦らされたい	149565	standard	Cult comics	9784773062243	2022-02	2023-09	2	minami-kun-wa-sono-koe-ni-jirasaretai
HIDDEN_FIX	危険な寵愛	149606	standard	Missy comics	9784776753711	2022-03	2023-03	2,3	kiken-na-chouai
HIDDEN_FIX	君と夏のなか	93080	standard	Gateau comics	9784758079617	2019-08	2022-08	2	kimi-to-natsu-no-naka
HIDDEN_FIX	大きすぎて、 (彼のアレが) 先っちょしか入りません!	94720	standard	Bunkasha comics	9784821138937	2020-04	2020-11	2,3,4	ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen
HIDDEN_FIX	嫌われ令嬢は銀の王子に甘やかされる	152073	standard	Missy comics. YLC DX collection	9784776755487	2025-07-28	2025-12-08	2,3	kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru
HIDDEN_FIX	孤独のグルメ	50941	bunkobon	扶桑社文庫	9784594028565	2000-02-29	2020-05	1,2	kodoku-no-gurume
HIDDEN_FIX	恋愛体質	154173	standard	Daito comics BLシリーズ	9784864956222	2023-10	2024-03	2	love-taishitsu
HIDDEN_FIX	救国の聖女ですが、国外追放されちゃいましたー!?	155720	standard	IDコミックス	9784758036733	2021-11	2022-06	2,3	kyuukoku-no-seijo-desu-kokugai-tsuihousareta-sarechaimashita
HIDDEN_FIX	片恋結婚	108587	standard	Bunkasha comics	9784821138999	2020-03	2020-12	2,3,4,5	katakoi-kekkon
HIDDEN_FIX	空までイっちゃう	111993	standard	恋愛MAX COMICS	9784253137898	2021-05	2022-01	2,3,4,5,6,7	sora-made-itchau
HIDDEN_FIX	超てんちゃん!	163809	standard	MFC	9784046820167	2022-12	2023-08	2	chou-ten-chan
HIDDEN_FIX	隼人くんと早穂ちゃんは本日もいちゃ甘。	117949	standard	Bunkasha comics	9784821139170	2020-05	2020-11	2,3	hayato-kun-to-saho-chan-wa-honjitsu-mo-ichaama
HIDDEN_HASV1	Canis	58104	standard	Bamboo comics	9784801971745	2021-02	2021-03	1,2,3,4	canis
HIDDEN_HASV1	Good boy中毒	131461	standard	Shusui digital comics BLシリーズ	9784867781883	2025-10-20	2026-08-03	2	good-boy-chuudoku
HIDDEN_HASV1	Ninjaしげきち	60174	standard		9784991070822	2019-12	2021-06	1	ninja-shigekichi
HIDDEN_HASV1	Ninjaしげきち	60174	standard		9784991070808	2019-01	2021-06	1	ninja-shigekichi
HIDDEN_HASV1	Ninjaしげきち	60174	standard		9784991070839	2020-01	2021-06	1	ninja-shigekichi
HIDDEN_HASV1	Okamarble	60290	standard		9784840118033	2007-02	2016-03	1	okamarble
HIDDEN_HASV1	Romanesque	34883	standard		9784894528161	2004-08	2014-09	1	romanesque
HIDDEN_HASV1	Romanesque	34883	standard		9784894526648	2002-10	2014-09	1	romanesque
HIDDEN_HASV1	TAKE MOON	55295	standard	DNAメディアコミックスspecial	9784758001885	2004-07	2006-09-01	1,2	take-moon
HIDDEN_HASV1	Y氏の隣人	11758	standard	Shueisha jump remix	9784081060900	2001-10-15	2002-02	1	yshi-no-rinjin
HIDDEN_HASV1	あさきゆめみし	38755	standard		9784770040404	2006-07	2017-02	1,2,3,4,5,6,7,8	asaki-yume-mishi
HIDDEN_HASV1	あさきゆめみし	38755	standard		9784770040398	2006-07	2017-02	1,2,3,4,5,6,7,8	asaki-yume-mishi
HIDDEN_HASV1	うしおととら	56090	standard	My first big special	9784098034796	2022-06	2023-04	1,3	ushio-to-tora
HIDDEN_HASV1	うしおととら	56090	standard	My first big special	9784098035045	2022-07	2023-04	1,3	ushio-to-tora
HIDDEN_HASV1	うしおととら	56090	standard	My first big special	9784098035250	2022-08	2023-04	1,3	ushio-to-tora
HIDDEN_HASV1	うしおととら	56090	standard	My first big special	9784098035502	2022-09	2023-04	1,3	ushio-to-tora
