slug	title	authors	year	publisher	total_volumes
sabaku-no-maou	沙漠の魔王	福島鉄次	1952	akita	5
shounen-keniya	少年ケニヤ	山川惣治・石川球太	1953	kadokawa	28
anmitsuhime	あんみつ姫	倉金章介	1956	kodansha	6
zenigata-heiji-torimonohikae	銭形平次捕物控	シュガー佐藤・石森章太郎プロ・大石けんいち	1958	koike-shoin	20
tange-sazen	丹下左膳	伊藤隆夫・湖玉次吉	1959	kodansha	3
shadow	影	山田ミネコ	1960	daitosha	2
sebangou-0	背番号0	寺田ヒロオ	1960	(unknown)	7
hachi-no-su-taishou	ハチのす大将	ちばてつや	1963	shueisha	3
cyborg-009	サイボーグ009	シュガー佐藤・土山よしき	1966	akita	58
kamui-den	カムイ伝	白土三平	1967	shogakukan	38
ningendomo-atsumare	人間ども集まれ!	手塚治虫	1968	kodansha	5
abashiriikka	あばしり一家	永井豪	1970	akita	21
nikui-anchikishou	にくいあんちきしょう	弓月光	1970	shueisha	2
judo-itchokusen	柔道一直線	ダイナマイト鉄・永島慎二	1970	kobunsha	18
otoko-do-ahou-koshien	男どアホウ甲子園	水島新司	1970	akita	31
otoko-no-jouken	男の条件	川崎のぼる	1970	shueisha	2
robot-santou-hei	ロボット三等兵	前谷惟光	1971	(unknown)	14
jinzou-ningen-kikaider	人造人間キカイダー	石ノ森章太郎	1972	akita	8
golgo-13	ゴルゴ13	さいとう・たかを・さいとうプロダクション	1973	leed	436
toilet-hakase	トイレット博士	とりいかずよし	1973	(unknown)	29
doraemon-2013	DORAEMON	藤子・F・不二雄	1974	shogakukan	31
iara	イアラ	楳図かずお	1974	shogakukan	12
doraemon	ドラえもん	藤子・F・不二雄・手塚企画・朝松健	1974	shogakukan	30
wild-7	ワイルド7	雨蘭・望月三起也	1974	tokuma	95
dabide-no-hoshi	堕靡泥の星	佐藤まさあき	1974	aspect	29
gendai-juukyouden	現代柔侠伝	バロン吉元	1974	(unknown)	11
karate-baka-ichidai-1972	空手バカ一代	つのだじろう	1974	kodansha	52
haikara-san-ga-tooru	はいからさんが通る	大和和紀	1975	kodansha	13
deimosu-no-hanayome	悪魔の花嫁	あしべゆうほ	1975	akita	37
nanahan-rider	750ライダー	石井いさみ	1976	akita	52
sasurai-no-gambler	さすらいのギャンブラー	園山俊二	1976	(unknown)	7
ore-no-koshien	俺の甲子園	かざま鋭二・岡本明彦・神保史郎	1976	(unknown)	10
hime-2006	姫	茶木ひろみ	1976	shueisha	4
uchuu-battleship-yamato	宇宙戦艦ヤマト	聖悠紀	1976	(unknown)	3
ookami-no-seiza	狼の星座	横山光輝・川島健三	1976	kodansha	10
sarutobi-sasuke	猿飛佐助	杉浦茂	1976	chikuma-shobo	3
kekkoukamen	けっこう仮面	永井豪・ダイナミックプロ	1977	fukkan-com	8
kochira-katsushikaku-kameari-kouen-mae-hashutsujo	こちら葛飾区亀有公園前派出所	秋本治	1977	shueisha	16
musashi	ムサシ	川崎のぼる	1977	shueisha	12
kekkon-no-jouken	結婚の条件	上座理保	1977	shueisha	2
seibonjinden	聖凡人伝	松本零士	1977	shogakukan	15
ultra-seven-1978	ウルトラセブン	一峰大二	1978	asahi-sonorama	4
esper-mami-1996-2	エスパー魔美	藤子・F・不二雄	1978	shogakukan	11
eroika-yori-ai-o-komete	エロイカより愛をこめて	青池保子	1978	akita	74
