slug	src_stem	title	remaining_gaps
kasuribana	kasuribana	掏摸花	(1巻が無い):[1]
supeshiyaru-banguutara-mama	supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	(1巻が無い):[1]
takamari-shisuu-esukareeshon	takamari-shisuu-esukareeshon	たかまり指数エスカレーション	(1巻が無い):[1]
biiparu-kozou-no-autodoa-kyouhon	biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	(1巻が無い):[1]
dai-chouhen-doraemon-1984	dai-chouhen-doraemon-1984	大長編ドラエもん	(1巻が無い):[1]
miyazawa-kenji-mangakan-1985	miyazawa-kenji-mangakan-1985	宮沢賢治・漫画館	(1巻が無い):[1]
kasei-yakiyoku	kasei-yakiyoku	華星夜曲	(1巻が無い):[1]
kaika-ansatsuchou-tenpousen	kaika-ansatsuchou-tenpousen	開化暗殺帳天保銭	(1巻が無い):[1]
yamamoto-fuutarou-kun	yamamoto-fuutarou-kun	山本風太郎くん	(1巻が無い):[1]
mindy-land	mindy-land	Mindy land	(1巻が無い):[1]
shounangurafutei	shounangurafutei	湘南グラフティ	(1巻が無い):[1]
matamoya-daikichi	matamoya-daikichi	またもや大吉	(1巻が無い):[1]
sadistic-sayaka-chan	sadistic-sayaka-chan	サディスティックさやかちゃん!	(1巻が無い):[1]
yuujin-brand	yuujin-brand	遊人ブランド	(1巻が無い):[1]
karutteto	karutteto	かるってと	(1巻が無い):[1]
zeruda-no-densetsu-4-koma-manga-gekijou	zeruda-no-densetsu-4-koma-manga-gekijou	ゼルダの伝説 4コママンガ劇場	(1巻が無い):[1]
shinuhodo-kisu-shite	shinuhodo-kisu-shite	死ぬほどKISSして	(1巻が無い):[1]
lovers	lovers	Lovers	(1巻が無い):[1]
usagi-1994	usagi-1994	うさぎ	(1巻が無い):[1]
kureyon-shin-chan-gemu-book	kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	(1巻が無い):[1]
comic-bii-tarou	comic-bii-tarou	コミックビー太郎	(1巻が無い):[1]
batsutsu	batsutsu	バツッ!!	(1巻が無い):[1]
yume-ha-taafu-o-kakemeguru	yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	(1巻が無い):[1]
dotou-no-saikyou-suit-suima-kun	dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	(1巻が無い):[1]
optional-tour	optional-tour	オプショナル・ツアー	(1巻が無い):[1]
ai-1995	ai-1995	愛	(1巻が無い):[1]
koukoukyoushimonogatari	koukoukyoushimonogatari	高校教師物語	(1巻が無い):[1]
makai-densetsu	makai-densetsu	魔界伝説	(1巻が無い):[1]
comic-cue	comic-cue	Comic cue	(1巻が無い):[1]
holy-maruo-1996	holy-maruo-1996	Holy	(1巻が無い):[1]
evangelion-anthology-comic	evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	(1巻が無い):[1]
oku-sama-hi-no-youjin	oku-sama-hi-no-youjin	奥様火の用心!	(1巻が無い):[1]
pet-boy-s	pet-boy-s	Pet-boy's	(1巻が無い):[1]
chuchu-hunter	chuchu-hunter	Chu❤chuハンター	(1巻が無い):[1]
crash-junky-spirit	crash-junky-spirit	Crash junky × spirit	(1巻が無い):[1]
papa-no-kokoro	papa-no-kokoro	パパのココロ	(1巻が無い):[1]
la-vie-en-rose-1998	la-vie-en-rose-1998	ラヴィアンローズ	(1巻が無い):[1]
kandouou-rendetsu	kandouou-rendetsu	感動王列伝	(1巻が無い):[1]
