slug	title	remaining_gaps
sabaku-no-maou	沙漠の魔王	standard:[4, 6]
shounen-keniya	少年ケニヤ	other:[4]
anmitsuhime	あんみつ姫	bunkobon:[2]
akadou-suzunosuke	赤胴鈴之助	other:[2, 4, 7, 8, 16, 18]
tange-sazen	丹下左膳	standard:[2, 3]
sebangou-0	背番号0	standard:[5]
shiroi-pilot	白いパイロット	other:[2]
0	0戦はやと	other:[4]
shinsengumi	新選組	standard:[3]
norainu-no-oka	のら犬の丘	standard:[4]
kaibutsu-kun-1988	怪物くん	shinsoban:[19, 20]
judo-itchokusen	柔道一直線	standard:[11, 12]
jaiantotaifuu	ジャイアント台風	shinsoban:[6, 8]
robot-santou-hei	ロボット三等兵	standard:[6, 8];shinsoban:[6, 7, 8, 9]
wild-7	ワイルド7	deluxe:[5, 7, 8, 10, 11, 12, 17, 18, 19, 20, 24]
muyounosuke	無用ノ介	standard:[5, 11, 12, 13]
maboroshi-tantei	まぼろし探偵	standard:[5]
toilet-hakase	トイレット博士	standard:[7, 24, 25, 26]
kozure-ookami	子連れ狼	other:[4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]
dameoyaji	ダメおやじ	standard:[11, 16, 17]
watari	ワタリ	standard:[4, 5]
boku-no-doubutsuen-nikki	ぼくの動物園日記	standard:[2, 4];shinsoban:[3]
ace-o-nerae	エースをねらえ!	standard:[8];shinsoban:[15]
shurayukihime	修羅雪姫	other:[3]
soorujaa	葬流者	shinsoban:[2]
abare-tendou	あばれ天童	standard:[3, 4]
tentoumushinouta	てんとう虫の歌	standard:[2]
sahara	サハラ	other:[2]
houchounin-ajihei	包丁人味平	standard:[13]
shouwa-gokudoushi	昭和極道史	shinsoban:[3, 4]
gendaijuukyouden	現代柔侠伝	standard:[4, 5, 7, 8, 9]
arabesuku	アラベスク第2部	standard:[3]
swan	SWAN	kanzenban:[7, 8, 9, 10, 11, 12]
eko-eko-azaraku	エコエコアザラク	shinsoban:[6]
pureibooru	プレイボール	shinsoban:[15, 17, 18, 19, 20, 21]
haru-ga-kita	春が来た	other:[2]
oyakodeka	おやこ刑事	standard:[18];shinsoban:[13, 14, 15, 16, 17]
toudai-itchokusen	東大一直線	standard:[10];shinsoban:[11, 12]
karate-sensou	空手戦争	standard:[5];shinsoban:[7]
seibonjinden	聖凡人伝	standard:[6, 8, 9];bunkobon:[7]
queen-emeraldas	クイーンエメラルダス	standard:[3]
the-ultraman	ザ・ウルトラマン	standard:[2]
wani-bunsho	ワニ分署	shinsoban:[5, 6, 7, 9]
1-2-no-1-rou	1・2の三四郎	standard:[8, 15, 16, 18, 19];shinsoban:[13, 14, 17]
shin-karate-jigokuhen	新カラテ地獄変	standard:[13, 14];shinsoban:[11, 12]
ossu-miri-chan	オッス!美里ちゃん	standard:[4]
shutter-shower	シャッターシャワー	shinsoban:[2, 3]
doyoubinoehon	土曜日の絵本	standard:[3, 5]
nesshou-hanazawa-koukou	熱笑!!花沢高校	shinsoban:[13, 15, 16, 17]
aa-ichirou	ああ一郎	shinsoban:[3]
ura-deka	うら刑事	shinsoban:[3, 4, 6, 7, 8]
taigaamasukunisei	タイガーマスク二世	standard:[2]
kuchiyaku-mondo-kawaitesourou	唇役主丞乾いて候	shinsoban:[5]
kasuribana	掏摸花	(1巻が無い):[1]
sakuranbomonogatari	桜桃物語	standard:[16]
umezu-kazuo-kowai-hon	楳図かずおこわい本	standard:[5];shinsoban:[4, 6]
hyouman	豹マン	standard:[2]
neboke-jinsei	ねぼけ人生	standard:[2]
pachikko-bojou	パチっ子慕情	standard:[2]
plamo-kyoushirou	プラモ狂四郎	deluxe:[9, 10]
fukushuu-no-kyoujuu	復讐の兇獣	shinsoban:[3]
sutegoma-ichi	捨て駒いち	standard:[5];shinsoban:[3, 4]
menkuiegurekeibu	面くいエグレ警部	bunkobon:[2]
fushigi-tobe-kun	ふしぎトーボくん	standard:[2]
kamui-gaiden-dai-2-bu	カムイ外伝第2部	(1巻が無い):[1, 2, 3]
supuun-oba-san	スプーンおばさん	standard:[2]
supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	(1巻が無い):[1]
sekainorekishi	世界の歴史	standard:[4, 5, 6, 10, 12]
boukenshatachi-no-sekaishi	冒険者たちの世界史	standard:[17]
shisaku-nansensu-senshuu	思索ナンセンス選集	standard:[3, 6]
takamari-shisuu-esukareeshon	たかまり指数エスカレーション	(1巻が無い):[1]
hard-ando-ruuzu	ハード＆ルーズ	shinsoban:[5, 6]
biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	(1巻が無い):[1]
mansion-neko-no-kyoumi-shinshin	マンションネコの興味シンシン	(1巻が無い):[1]
dai-chouhen-doraemon-1984	大長編ドラエもん	(1巻が無い):[1]
kibaken	牙拳	standard:[9]
shakaikamanganihonnonbiriryokou	社会科まんが日本のんびり旅行	standard:[5]
kazenowatokinowasunanowa	風の輪・時の和・砂の環	standard:[2, 3, 4, 5]
doughnuts-books	Doughnuts books	standard:[5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 28, 30, 31, 33]
manhattan-op	マンハッタン・オプ	bunkobon:[2]
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	standard:[2]
miyazawa-kenji-mangakan-1985	宮沢賢治・漫画館	(1巻が無い):[1]
kasei-yakiyoku	華星夜曲	(1巻が無い):[1]
kaika-ansatsuchou-tenpousen	開化暗殺帳天保銭	(1巻が無い):[1]
seishun-porunogurafutei	青春ぽるのぐらふてい	(1巻が無い):[1, 2]
furoagari-no-yozora-ni	風呂上がりの夜空に	deluxe:[2, 4]
b-boy	b-Boy	standard:[2, 3, 4, 5, 6, 7, 9, 20]
the-combat	ザ・コンバット	standard:[2]
powerful-mazegohan	パワフル☆まぜごはん	standard:[2]
pumpkin	パンプキン	standard:[8]
yamamoto-fuutarou-kun	山本風太郎くん	(1巻が無い):[1]
mobile-suit-z-gundam	機動戦士Zガンダム	standard:[4, 5, 6, 9, 10]
shiyounan-bakusouzoku	湘南爆走族	standard:[4]
milky-comic	milky comic	standard:[9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]
