slug	巻	理由	楽天題	series
hai-to-gin-no-hane	1	ISBN帯不一致(97840653)	灰と銀の羽根（1）	ヤンマガKCスペシャル
kizuguchi-to-houtai	1	ISBN帯不一致(97840653)	傷口と包帯（1）	KCデラックス
kizuguchi-to-houtai	2	ISBN帯不一致(97840653)	傷口と包帯（2）	KCデラックス
the-band	1	ISBN帯不一致(97840653)	THE　BAND（1）	KCデラックス
ramen-daisuki-koizumi-san-narumi-2014	12	ISBN帯不一致(97842532)	ラーメン大好き小泉さん　12	少年チャンピオン・コミックス
ramen-daisuki-koizumi-san-narumi-2014	13	ISBN帯不一致(97842532)	ラーメン大好き小泉さん　13	少年チャンピオン・コミックス
w-juliet-2	1	ISBN帯不一致(97845921)	Wジュリエット2（1）	花とゆめコミックス
w-juliet-2	2	ISBN帯不一致(97845921)	Wジュリエット2 2	花とゆめコミックス
w-juliet-2	3	ISBN帯不一致(97845921)	Wジュリエット2（3）	花とゆめコミックス
watashi-ga-watashi-o-uru-wake	6	ISBN帯不一致(97849115)	私がわたしを売る理由 6	サイコミ
watashi-ga-watashi-o-uru-wake	7	ISBN帯不一致(97849115)	私がわたしを売る理由 7	サイコミ
watashi-ga-watashi-o-uru-wake	8	ISBN帯不一致(97849115)	私がわたしを売る理由 8	サイコミ
watashi-ga-watashi-o-uru-wake	9	ISBN帯不一致(97849115)	私がわたしを売る理由 9	サイコミ
akuyaku-reijou-route-kara-kaihou-saremashita	1	live未発見		
blue-flight	4	live未発見		
cmyk-sameda-kazuo-wa-chuunibyou-ga-naosenai	1	live未発見		
deyueru-masutaazu-aizouban	2	live未発見		
deyueru-masutaazu-aizouban	3	live未発見		
deyueru-masutaazu-aizouban	4	live未発見		
doesu-kishidanchou-no-go-houshi-maid-ni-ninmei-saremashita-ga-watashi-nandesukedo	1	live未発見		
gacha-o-mawashite-nakama-o-fuyasu-saikyou-no-bishoujo-gundan-o-tsukuriagero	13	live未発見		
hanabasu	1	live未発見		
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	1	live未発見		
hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	2	live未発見		
hoshi-no-kirby-manpukupupupufantajii	1	live未発見		
houchounin-ajihei	13	live未発見		
houga-purezen-joshikousei-houkichi-eiko-san	14	live未発見		
kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	1	live未発見		
kiwami-to-tsubomi	1	live未発見		
kiyowanareijoutotsuihoudenkanoichaicharyouchikeiei-ichizudekawai	1	live未発見		
koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	1	live未発見		
koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	2	live未発見		
koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	3	live未発見		
kuni-o-owareta-ryuushi-san-hirowareta-ringoku-de-ukkari-musou-shite-shimau	1	live未発見		
let-s-go-nirvana	1	live未発見		
manga-grimm-douwa	2	live未発見		
manga-grimm-douwa	3	live未発見		
manga-grimm-douwa	4	live未発見		
manga-grimm-douwa	5	live未発見		
manga-grimm-douwa	6	live未発見		
manga-grimm-douwa	7	live未発見		
manga-grimm-douwa	8	live未発見		
manga-grimm-douwa	9	live未発見		
manga-grimm-douwa	10	live未発見		
manga-grimm-douwa	11	live未発見		
manga-grimm-douwa	12	live未発見		
manga-grimm-douwa	13	live未発見		
manga-grimm-douwa	14	live未発見		
manga-grimm-douwa	15	live未発見		
manga-grimm-douwa	16	live未発見		
manga-grimm-douwa	17	live未発見		
manga-grimm-douwa	18	live未発見		
manga-grimm-douwa	19	live未発見		
manga-grimm-douwa	20	live未発見		
manga-grimm-douwa	21	live未発見		
manga-grimm-douwa	22	live未発見		
manga-grimm-douwa	23	live未発見		
manga-grimm-douwa	24	live未発見		
manga-grimm-douwa	25	live未発見		
manga-grimm-douwa	26	live未発見		
manga-grimm-douwa	27	live未発見		
manga-grimm-douwa	28	live未発見		
manga-grimm-douwa	29	live未発見		
manga-grimm-douwa	30	live未発見		
manga-grimm-douwa	31	live未発見		
manga-grimm-douwa	32	live未発見		
manga-grimm-douwa	33	live未発見		
manga-grimm-douwa	34	live未発見		
manga-grimm-douwa	35	live未発見		
manga-grimm-douwa	36	live未発見		
manga-grimm-douwa	37	live未発見		
manga-grimm-douwa	38	live未発見		
manga-grimm-douwa	39	live未発見		
manga-grimm-douwa	40	live未発見		
manga-grimm-douwa	41	live未発見		
manga-grimm-douwa	42	live未発見		
manga-grimm-douwa	43	live未発見		
manga-grimm-douwa	44	live未発見		
manga-grimm-douwa	45	live未発見		
manga-grimm-douwa	46	live未発見		
manga-grimm-douwa	47	live未発見		
manga-grimm-douwa	48	live未発見		
manga-grimm-douwa	49	live未発見		
manga-grimm-douwa	50	live未発見		
manga-grimm-douwa	51	live未発見		
manga-grimm-douwa	52	live未発見		
