decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	arakure-neverland	荒くれネバーランド	seed4	0	standard	通常版	バーズコミックスデラックス	1	LEAD	9784344821569		荒くれネバーランド（１）	サンカクヘッド	サンカクヘッド	幻冬舎	o	o	?	o	o	x	o	o			2	9784344825604	版元o+ISBN連番o+著者o	ndl	
APPLY	ACCEPT	elysion	エリュシオン	seed4	0	standard	通常版	ガールズコレクション	1	LEAD	9784344818248	2009-11	エリュシオン : 青宵廻廊 1	市東, 亮子	幻冬舎コミックス	幻冬舎	o	o	o	o	o	o	o	o			5	9784344825802	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	gekiga-hiroike-chikurou	劇画広池千九郎	seed4	0	standard	通常版		1	LEAD	9784892052484	1990-03	劇画広池千九郎 第１巻	光山, 勝治	広池学園出版部	広池学園出版部	o	o	o	o	o	o	o	o			2	9784892053122	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	gokuraku-houshinden	極楽封神伝	seed4	0	standard	通常版	エーピーセレクション	1	LEAD	9784938827786	1998-07	極楽封神伝. 1		ハイランド	ハイランド	o	o	o	?	o	o	o	o			3	9784938827939	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	gokuraku-houshinden	極楽封神伝	seed4	0	standard	通常版	エーピーセレクション	2	LEAD	9784938827854	1998-09	極楽封神伝. 2		ハイランド	ハイランド	o	o	o	?	o	o	o	o			3	9784938827939	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	hanabasu	ハナバス	seed4	0	standard	通常版	KCDX. 週刊少年マガジン	1	LEAD	9784065387757	2025-03	ハナバス : 苔石花江のバスケ論. 1	三好, 宏平	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065394526	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	引きこもり令嬢は皇妃になんてなりたくない!	seed4	0	standard	通常版	BF COMICS	1	LEAD	9784813764090	2025-02	引きこもり令嬢は皇妃になんてなりたくない! : 強面皇帝の溺愛が駄々漏れで困ります. 1	直江, 亜季子/百門, 一新	スターツ出版	スターツ出版	o	o	o	o	o	o	o	o			3	9784813764540	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	hikikomori-reijou-wa-kouhi-ni-nante-naritakunai	引きこもり令嬢は皇妃になんてなりたくない!	seed4	0	standard	通常版	BF COMICS	2	LEAD	9784813764106	2025-02	引きこもり令嬢は皇妃になんてなりたくない! : 強面皇帝の溺愛が駄々漏れで困ります. 2	直江, 亜季子/百門, 一新	スターツ出版	スターツ出版	o	o	o	o	o	o	o	o			3	9784813764540	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite	人妻の唇は缶チューハイの味がして	seed4	0	standard	通常版	プレミアムKC	1	LEAD	9784065359471	2024-06	人妻の唇は缶チューハイの味がして. 1	チンジャオ娘/野上, たま	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065365571	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	kiwami-to-tsubomi	極と蕾	seed4	0	standard	通常版	プチコミックフラワーコミックスα	1	LEAD	9784098728480	2024-11	極と蕾 : 極道と恋を知らない人妻と. 1	井山, ゆー	小学館	小学館	o	o	o	o	o	o	o	o			2	9784098730261	版元o+ISBN連番o+日付o	ndl	
