decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	dr-nekoyanagita-no-kagakuteki-seishun	Dr.猫柳田の科学的青春	seed4	0	standard	通常版		2	MID	9784344801813	2002-12	Dr.猫柳田の科学的青春(第2集)	柳田理科雄/筆吉純一郎	幻冬舎コミックス	幻冬舎	o	o	o	o	o	o	o	o	1	9784344801424	3	9784344802575	版元o+ISBN連番o+日付o	rakuten-local	
APPLY	ACCEPT	gegege-no-kitarou	ゲゲゲの鬼太郎	overrides	1	shinsoban	講談社コミックス(1985年版)	講談社コミックス	3	MID	9784061730762	1985-09-18	ゲゲゲの鬼太郎(3)	水木しげる	講談社	講談社	o	o	o	o	o	o	o	o	2	9784061730755	4	9784061730823	版元o+ISBN連番o+日付o(既存候補16件も有)	rakuten-local	
APPLY	ACCEPT	gegege-no-kitarou	ゲゲゲの鬼太郎	overrides	1	shinsoban	講談社コミックス(1985年版)	講談社コミックス	5	MID	9784061730830	1985-10-18	ゲゲゲの鬼太郎(5)	水木しげる	講談社	講談社	o	o	o	o	o	o	o	o	4	9784061730823	10	9784061731028	版元o+ISBN連番o+日付o(既存候補12件も有)	rakuten-local	
APPLY	ACCEPT	gegege-no-kitarou	ゲゲゲの鬼太郎	overrides	1	shinsoban	講談社コミックス(1985年版)	講談社コミックス	6	MID	9784061730847	1985-10-18	ゲゲゲの鬼太郎(6)	水木しげる	講談社	講談社	o	o	o	o	o	o	o	o	4	9784061730823	10	9784061731028	版元o+ISBN連番o+日付o(既存候補13件も有)	rakuten-local	
APPLY	ACCEPT	gegege-no-kitarou	ゲゲゲの鬼太郎	overrides	1	shinsoban	講談社コミックス(1985年版)	講談社コミックス	7	MID	9784061730915	1985-11-18	ゲゲゲの鬼太郎(7)	水木しげる	講談社	講談社	o	o	o	o	o	o	o	o	4	9784061730823	10	9784061731028	版元o+ISBN連番o+日付o(既存候補10件も有)	rakuten-local	
APPLY	ACCEPT	gegege-no-kitarou	ゲゲゲの鬼太郎	overrides	1	shinsoban	講談社コミックス(1985年版)	講談社コミックス	8	MID	9784061730922	1985-11-18	ゲゲゲの鬼太郎(8)	水木しげる	講談社	講談社	o	o	o	o	o	o	o	o	4	9784061730823	10	9784061731028	版元o+ISBN連番o+日付o(既存候補10件も有)	rakuten-local	
APPLY	ACCEPT	gegege-no-kitarou	ゲゲゲの鬼太郎	overrides	1	shinsoban	講談社コミックス(1985年版)	講談社コミックス	9	MID	9784061730939	1985-11-18	ゲゲゲの鬼太郎(9)	水木しげる	講談社	講談社	o	o	o	o	o	o	o	o	4	9784061730823	10	9784061731028	版元o+ISBN連番o+日付o(既存候補8件も有)	rakuten-local	
HOLD	ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	2	MID	9784063131253	1990-02-17	プラモ狂四郎(2)	やまと虹一/クラフト団	講談社	講談社	o	o	o	o	o	o		x	1	9784063131246	4	9784063131277	同じ頁の別版が既にこの巻を持つ=刊行run分裂頁(G8/G8b/G8c)	rakuten-local	
HOLD	ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	3	MID	9784063131260	1990-03-17	プラモ狂四郎(3)	やまと虹一/クラフト団	講談社	講談社	o	o	o	o	o	o		x	1	9784063131246	4	9784063131277	同じ頁の別版が既にこの巻を持つ=刊行run分裂頁(G8/G8b/G8c)	rakuten-local	
HOLD	ACCEPT	plamo-kyoushirou	プラモ狂四郎	canon:extra[3]	4	deluxe	コミックボンボンデラックス	コミックボンボンデラックス	5	MID	9784063131284	1990-05-17	プラモ狂四郎(5)	やまと虹一/クラフト団	講談社	講談社	o	o	o	o	o	o		x	4	9784063131277	6	9784063131291	同じ頁の別版が既にこの巻を持つ=刊行run分裂頁(G8/G8b/G8c)	rakuten-local	
DROP	ACCEPT	tv-animation-major-characters-handbook-heroes	TV ANIMATION MAJOR キャラクターズハンドブック HEROES	seed4	0	standard	通常版	少年サンデーコミックス	1	LEAD	9784091206480	2006-09-15	TV ANIMATION MAJOR[キャラクターズハンドブック]HEROES 1	満田 拓也	小学館	小学館	o	o	o	o	o	o		o			2	9784091214744	頁自体が掲載対象外(キャラクターブック/ガイド類)= 巻を足す前に頁のdropを判断する	rakuten-local	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0912/09120648.jpg
