decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	garasunoshiro	ガラスの城	canon:extra[1]	2	shinsoban	わたなべまさこ名作集	わたなべまさこ名作集	4	MID	9784834280340	1991-08	ガラスの城(4)	わたなべまさこ	ホーム社（千代田区）	ホーム社	o	o	o	o	o	o	o	o	3	9784834280333	5	9784834280357	版元o+ISBN連番o+日付o(既存候補2件も有)	rakuten-local	
APPLY	ACCEPT	isshokenmei-hajime-hajime-kun	いっしょけんめいハジメくん	canon:extra[3]	4	shinsoban	ビジネスジャンプ・コミックス	ビジネスジャンプ・コミックス	8	MID	9784088630489	1989-09-29	いっしょけんめいハジメくん(8)	コンタロウ	集英社	集英社	o	o	o	o	o	o	o	o	7	9784088630472	9	9784088630496	版元o+ISBN連番o+日付o	rakuten-local	
APPLY	ACCEPT	orenosora	俺の空	canon:extra[1]	2	shinsoban	スーパー・プレイボーイ・コミックス	スーパー・プレイボーイ・コミックス	2	MID	9784088573526	1989-12-19	俺の空(2)	本宮ひろ志	集英社	集英社	o	o	o	o	o	o	o	o	1	9784088573519	3	9784088573533	版元o+ISBN連番o+日付o(既存候補3件も有)	rakuten-local	
APPLY	ACCEPT	sengoku-shishiden	戦国獅子伝	canon:extra[1]	2	shinsoban	アクション・コミックス版(1990-91)	アクション・コミックス	5	MID	9784575816884	1990-12-15	戦国獅子伝(5)	横山光輝/辻真先	双葉社	双葉社	o	o	x	o	o	o	o	o	4	9784575816853	6	9784575816891	版元o+ISBN連番o+著者o(既存候補3件も有)	rakuten-local	
APPLY	ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	2	MID	9784845818389	2000-06-20	サバイバル(2)	さいとう・たかを	リイド社	リイド社	o	o	x	o	o	o	o	o	1	9784845818372	5	9784845818419	版元o+ISBN連番o+著者o(既存候補12件も有)	rakuten-local	
APPLY	ACCEPT	survival	サバイバル	canon:extra[2]	3	shinsoban	SPコミックス(1992)	SPコミックス	3	MID	9784845813131	1992-06	サバイバル(3)	さいとう・たかを	リイド社	リイド社	o	o	o	o	o	o	o	o	2	9784845813124	5	9784845813155	版元o+ISBN連番o+日付o(既存候補8件も有)	rakuten-local	
APPLY	ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	3	MID	9784845818396	2000-07-11	サバイバル(3)	さいとう・たかを	リイド社	リイド社	o	o	o	o	o	o	o	o	1	9784845818372	5	9784845818419	版元o+ISBN連番o+日付o(既存候補8件も有)	rakuten-local	
APPLY	ACCEPT	survival	サバイバル	canon:extra[2]	3	shinsoban	SPコミックス(1992)	SPコミックス	4	MID	9784845813148	1992-07	サバイバル(4)	さいとう・たかを	リイド社	リイド社	o	o	o	o	o	o	o	o	2	9784845813124	5	9784845813155	版元o+ISBN連番o+日付o(既存候補7件も有)	rakuten-local	
APPLY	ACCEPT	survival	サバイバル	canon:extra[3]	4	shinsoban	SP Pocket	SPコミックス SP Pocket	4	MID	9784845818402	2000-07-25	サバイバル(4)	さいとう・たかを	リイド社	リイド社	o	o	o	o	o	o	o	o	1	9784845818372	5	9784845818419	版元o+ISBN連番o+日付o(既存候補7件も有)	rakuten-local	
APPLY	ACCEPT	survival	サバイバル	canon:extra[2]	3	shinsoban	SPコミックス(1992)	SPコミックス	6	MID	9784845813162	1992-09	サバイバル(6)	さいとう・たかを	リイド社	リイド社	o	o	o	o	o	o	o	o	5	9784845813155	8	9784845813186	版元o+ISBN連番o+日付o(既存候補9件も有)	rakuten-local	
