title	edition	number	isbn	reason
湘南爆走族	standard	4	9784785946487	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ドラゴンクエスト4コママンガ劇場	standard	4	9784900527577	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
まんがギリシア神話	standard	2	9784324028278	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
まんがギリシア神話	standard	4	9784324028292	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
まんがギリシア神話	standard	5	9784324028308	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
まんがギリシア神話	standard	7	9784324028322	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
X-MEN	standard	4	9784796840040	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
X-MEN	standard	5	9784796840057	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
X-MEN	standard	7	9784796840071	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
X-MEN	standard	8	9784796840088	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
X-MEN	standard	10	9784796840101	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
X-MEN	standard	11	9784796840118	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ファイアーエムブレム4コママンガ劇場	standard	3	9784870257979	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ドラゴンクエスト1Pコミック劇場	standard	3	9784870258105	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
エヴァンゲリオン・アンソロジィコミック	standard	3	9784896012552	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
失楽園	standard	3	9784893931917	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
失楽園	standard	4	9784893931979	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ラブドラッグ	standard	5	9784790118749	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ラブドラッグ	standard	6	9784790118923	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ラブドラッグ	standard	7	9784790119074	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ラブドラッグ	standard	8	9784790119241	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
百合姫Wildrose	standard	2	9784758070294	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
テイルズオブヴェスペリア4コマKINGS	standard	3	9784758005197	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ちび本当にあった笑える話	standard	107	9784821175819	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
暴君ヴァーデルの花嫁 初夜編	standard	13	9784867150979	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
暴君ヴァーデルの花嫁 初夜編	standard	14	9784867150986	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
暴君ヴァーデルの花嫁 初夜編	standard	15	9784867150993	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
暴君ヴァーデルの花嫁 初夜編	standard	16	9784867150153	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
ぼっち・ざ・ろっく!	standard	7	9784832295810	怪しい(外国/アンソロ/4コマ/外伝/曖昧)=飛ばし
