decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	akuyaku-reijou-route-kara-kaihou-saremashita	悪役令嬢ルートから解放されました!	seed4	0	standard	通常版	KCx	1	LEAD	9784065372265	2024-09	悪役令嬢ルートから解放されました! = FREED FROM THE VILLAINOUS LADY&#39;S ROUTE! : ゲームは終わったので、ヒロインには退場してもらいましょうか. 1	みなと, pub. 2023/吉たか, 結衣	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065383650	版元o+ISBN連番o+日付o	live	
APPLY	ACCEPT	b-boy-luv	B-boy luv	seed4	0	standard	通常版		1	LEAD	9784835214061	2003-01-15	B-boy luv(1)		ビブロス	ビブロス	o	o	o	?	o	o	o	o			2	9784835214221	版元o+ISBN連番o+日付o	live	
APPLY	ACCEPT	batchiri-scratch	ばっちりスクラッチ	seed4	0	standard	通常版	KCDX. 週刊少年マガジン	1	LEAD	9784065372234	2024-11-15	ばっちりスクラッチ(1)	ぷなつ	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065391020	版元o+ISBN連番o+日付o	live	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2234/9784065372234_1_2.jpg
APPLY	ACCEPT	choco-banana	チョコバナナ	seed4	0	standard	通常版		1	LEAD	9784584215067	1995-12-25	チョコバナナ(第1巻)		ベストセラ-ズ	サマープロジェクト	o	o	o	?	o	x	o	o			3	9784584215081	版元o+ISBN連番o+日付o	live	
APPLY	ACCEPT	choco-banana	チョコバナナ	seed4	0	standard	通常版		2	LEAD	9784584215074	1996-02-25	チョコバナナ(第2巻)		ベストセラ-ズ	サマープロジェクト	o	o	o	?	o	x	o	o			3	9784584215081	版元o+ISBN連番o+日付o	live	
APPLY	REVIEW_TOKEN	dramatic-maestro	ドラマチック・マエストロ	seed4	0	standard	通常版	Be×boy comics	1	LEAD	9784862634436	2008-08-09	ドラマチック・マエストロ	サガミワカ	リブレ	リブレ出版	o	o	o	o	x	o	o	o			2	9784862637024	題に巻番号は無いが版元o+ISBN連番o+日付o+著者o(シリーズ1巻は題に番号が付かないのが通例)	live	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8626/86263443.jpg
APPLY	ACCEPT	generous-kiss	GENEROUS KISS	seed4	0	standard	通常版	GUST COMICS	1	LEAD	9784756712141	1998-09-16	Generous kiss(1)	栗栖ひとみ/藤たまき	桜桃書房	桜桃書房	o	o	o	x	o	o	o	o			2	9784756712219	版元o+ISBN連番o+日付o	live	
APPLY	ACCEPT	guruguru-shoukougun	ぐるぐる症候群	seed4	0	standard	通常版		8	LEAD	9784860020309	2001-11	ぐるぐる症候群(8)	アンソロジー	ノアール出版	ノアール出版	o	o	o	x	o	o	o	o			10	9784860020378	版元o+ISBN連番o+日付o	live	
APPLY	ACCEPT	hai-to-gin-no-hane	灰と銀の羽根	seed4	0	standard	通常版	ヤンマガKC	1	LEAD	9784065375457	2025-03-18	灰と銀の羽根(1)	文ノ梛	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065409961	版元o+ISBN連番o+日付o	live	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5457/9784065375457_1_2.jpg
APPLY	ACCEPT	hamster-no-kyuukyuubako	ハムスターの救急箱	seed4	0	standard	通常版	あおばコミックス	1	LEAD	9784873170688	1999-10-16	ハムスターの救急箱(1)	アンソロジー	あおば出版	あおば出版	o	o	o	x	o	o	o	o			2	9784873170695	版元o+ISBN連番o+日付o	live	
APPLY	ACCEPT	kotoza-no-regashii	こと座のレガシー	seed4	0	standard	通常版	Cuteコミックス	1	LEAD	9784898292037	1990-11-05	こと座のレガシー(1)	井出知香恵	ワニマガジン社	ワニマガジン社	o	o	o	o	o	o	o	o			2	9784898292129	版元o+ISBN連番o+日付o	live	
APPLY	REVIEW_TOKEN	koukidou-gensou-ganpareedo-march-4-koma-manga-gekijou	高機動幻想ガンパレード・マーチ 4コママンガ劇場	seed4	0	standard	通常版		1	LEAD	9784757505902	2001-12	高機動幻想ガンパレード・マーチ4コママンガ劇場		スクウェア・エニックス	エニックス	o	o	o	?	x	o	o	o			2	9784757506695	題に巻番号は無いが版元o+ISBN連番o+日付o+著者?(シリーズ1巻は題に番号が付かないのが通例)	live	
APPLY	REVIEW_TOKEN	love-drug	ラブドラッグ	seed4	0	standard	通常版	ダイヤモンドコミックス. ガールズポップコレクション	1	LEAD	9784790118046	2006-09	ラブドラッグ		松文館	松文館	o	o	o	?	x	o	o	o			2	9784790118244	題に巻番号は無いが版元o+ISBN連番o+日付o+著者?(シリーズ1巻は題に番号が付かないのが通例)	live	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7901/79011804.jpg
