stem	number	isbn	why	rakuten_title	series_name	size
anmitsuhime	2	9784061042926	非漫画レーベル=講談社のテレビ絵本　９２	あんみつ姫 2	講談社のテレビ絵本　９２	
tange-sazen	2	9784829111079	判型=文庫×版type=standard	丹下左膳(2)	時代小説文庫	文庫
tange-sazen	3	9784829111086	判型=文庫×版type=standard	丹下左膳(3)	時代小説文庫	文庫
sekainorekishi	10	9784122050983	判型=文庫×版type=standard	世界の歴史(10)	中公文庫	文庫
sekainorekishi	10	9784309471693	判型=文庫×版type=standard	世界の歴史(10)	河出文庫	文庫
sekainorekishi	10	9784122001992	判型=文庫×版type=standard	世界の歴史(10)	中公文庫	文庫
sekainorekishi	12	9784122050549	判型=文庫×版type=standard	世界の歴史(12)	中公文庫	文庫
sekainorekishi	12	9784309471716	判型=文庫×版type=standard	世界の歴史(12)	河出文庫	文庫
sekainorekishi	12	9784390108324	判型=文庫×版type=standard	世界の歴史 12	現代教養文庫　Ａ　７１２	文庫
sekainorekishi	12	9784122002098	判型=文庫×版type=standard	世界の歴史(12)	中公文庫	文庫
shippo-ga-tomodachi	2	9784081090921	判型=ムックその他	シッポがともだち(2)	Ｓｈｕｅｉｓｈａ　ｇｉｒｌｓ　ｒｅｍｉｘ	ムックその他
doragonkuesuto-4-koma-manga-gekijou	4	9784900527577	判型=新書×版type=standard	ドラゴンクエスト4コママンガ劇場(4)		新書
doragonkuesuto-4-koma-manga-gekijou	4	9784870257009	判型=新書×版type=standard	ドラゴンクエスト4コママンガ劇場(4)		新書
x-men-1994-4	3	9784073027065	ラノベレーベル=電撃ジュニアノベルズ	エックスメン(3)	電撃ジュニアノベルズ	全集・双書
hard-ando-ruuzu	3	9784834243703	判型=ムックその他	ハード&ルーズ(3)	Shueisha　home　remix	ムックその他
gegege-no-kitarou	3	9784591177099	ラノベレーベル=ポプラキミノベル　ノベライズ　13	ゲゲゲの鬼太郎(3)	ポプラキミノベル　ノベライズ　13	新書
