title	number	isbn13	date	publisher	reason_pending
ぼっち・ざ・ろっく!	7	9784832295810	2024-10	芳文社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
百合姫Wildrose	2	9784758070294	2008-07	一迅社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ファイアーエムブレム4コママンガ劇場	3	9784870257979	1995-02	スクウェア・エニックス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ドクター反骨医	19	9784537037524	1992-05	日本文芸社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
X-MEN	4	9784796840040	1995-02	小学館集英社プロダクション	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
X-MEN	5	9784796840057	1995-03	小学館集英社プロダクション	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
X-MEN	7	9784796840071	1995-05	小学館集英社プロダクション	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
X-MEN	8	9784796840088	1995-06	小学館集英社プロダクション	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
X-MEN	10	9784796840101	1995-08	小学館集英社プロダクション	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
X-MEN	11	9784796840118	1995-10	小学館集英社プロダクション	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
テイルズオブヴェスペリア4コマKINGS	3	9784758005197	2009-10	一迅社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
まんがギリシア神話	2	9784324028278	1991-11	ぎょうせい	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
まんがギリシア神話	4	9784324028292	1992-02	ぎょうせい	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
まんがギリシア神話	5	9784324028308	1992-03	ぎょうせい	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
まんがギリシア神話	7	9784324028322	1992-05	ぎょうせい	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ラブドラッグ	5	9784790118749	2007-01	松文館	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ラブドラッグ	6	9784790118923	2007-02	松文館	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ラブドラッグ	7	9784790119074	2007-03	松文館	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ラブドラッグ	8	9784790119241	2007-04	松文館	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
レモンキッズ	3	9784870422537	1990-04	あまとりあ社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
レモンキッズ	5	9784870422551	1990-06	あまとりあ社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
レモンキッズ	7	9784870422575	1990-08	あまとりあ社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	2	9784882190806	1999-09	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	3	9784882190820	1999-12	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	4	9784882190844	2000-05	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	5	9784882190967	2000-10	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	6	9784882191063	2001-02	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	7	9784882191094	2001-04	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	8	9784882191148	2001-08	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	9	9784882191193	2001-10	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
近親相姦＆SM体験	10	9784882191230	2001-12	サニー出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
封神見聞録	5	9784931396210	1998-02	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
封神見聞録	6	9784931396234	1998-06	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
封神見聞録	8	9784931396340	1998-08	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
封神見聞録	10	9784931396456	1999-03	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ハムスター飼育日記	2	9784796289177	1999-02	スコラ	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ぐるぐる症候群	11	9784860020392	2002-05	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ぐるぐる症候群	12	9784860020415	2002-06	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ぐるぐる革命	2	9784860020866	2003-12	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ぐるぐる革命	11	9784860021269	2004-11	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
Gray zone	7	9784860021924	2005-11	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ゲゲゲの鬼太郎	13	9784061731127	1986-01	講談社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ドラゴンクエスト4コママンガ劇場	4	9784870257009	1992-10	桜文堂	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ドラゴンクエスト1Pコミック劇場	3	9784870258105	1995-05	スクウェア・エニックス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
読者投稿心霊体験	22	9784785933364	2010-03	少年画報社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
大海賊同盟 EXTRA EDITION	6	9784860022082	2006-03	ノアール出版	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
ちび本当にあった笑える話	107	9784821175819	2014-06	ぶんか社	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	2	9784882711117	1992-03	地方・小出版流通センター	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	3	9784882711254	1992-05	地方・小出版流通センター	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
b-Boy	4	9784882711315	1992-07	ビブロス	要漫画性per-case確認(外国/アンソロ/外伝/体験告白/多版の疑い含む)
