tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	MISMATCH	generous-kiss	GENEROUS KISS	standard	3	9784756712349	1999-01	桜桃書房	Generous kiss(3)	栗栖ひとみ/藤たまき	かんべあきら	ガストコミックス	9784756	9784756	1
STRICT	MISMATCH	generous-kiss	GENEROUS KISS	standard	5	9784756712530	1999-05	桜桃書房	Generous kiss(5)	栗栖ひとみ/藤たまき	かんべあきら	ガストコミックス	9784756	9784756	1
STRICT	NO_AUTHOR	guruguru-shoukougun	ぐるぐる症候群	standard	9	9784860020347	2001-12	ノアール出版	ぐるぐる症候群(9)		ノアール出版		9784860	9784860	1
STRICT	MISMATCH	inukko-club	犬っこ倶楽部	standard	2	9784796288118	1997-07	スコラ	犬っこ倶楽部(2)	アンソロジー	桐島いつみ	スコラ・レディス・コミックス	9784796	9784796	2
STRICT	MISMATCH	inukko-club	犬っこ倶楽部	standard	3	9784796288286	1997-10	スコラ	犬っこ倶楽部(3)	アンソロジー	桐島いつみ	スコラ・レディス・コミックス	9784796	9784796	2
STRICT	MISMATCH	inukko-club	犬っこ倶楽部	standard	4	9784796288514	1998-01	スコラ	犬っこ倶楽部(4)	アンソロジー	桐島いつみ	スコラ・レディス・コミックス	9784796	9784796	2
STRICT	MISMATCH	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard	6	9784171964026	2005-03	国立印刷局	子ども科学技術白書 6	子ども科学技術白書編集委員会	科学技術庁科学技術政策局調査課		9784171	9784171	1
STRICT	MISMATCH	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard	7	9784171964033	2006-03	国立印刷局	子ども科学技術白書 7	子ども科学技術白書編集委員会	科学技術庁科学技術政策局調査課		9784171	9784171	1
STRICT	NO_AUTHOR	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	standard	6	9784088583068	1990-09	集英社	めざせ漫画家!手塚・赤塚賞受賞作品集(6)		ホーム社	ジャンプコミックスデラックス	9784088	9784088	1
STRICT	NO_AUTHOR	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	standard	9	9784088583099	1992-01	集英社	めざせ漫画家!手塚・赤塚賞受賞作品集(9)		ホーム社	ジャンプコミックスデラックス	9784088	9784088	1
STRICT	MISMATCH	pose-file	ポーズ・ファイル	standard	7	9784871990431	1994-12	エルテ出版	ポーズ・ファイル 7	エイト企画	(unknown)		9784871	9784871	1
STRICT	MISMATCH	sekai-no-meisaku-opera	世界の名作オペラ	standard	9	9784880238760	2005-03	本の泉社	世界の名作オペラ(9)	つづき佳子	梅本さちお	まんがオペラハウス	9784880	9784880	1
STRICT	MISMATCH	x-men	X-MEN	shinsoban	11	9784796840118	1995-10	小学館集英社プロダクション	X-men(11)	小学館プロダクション	レイニルフランシスユー	小プロ・ワールドコミックス	9784796	9784796	2
STRICT	NO_AUTHOR	yuri-shoujo	百合少女	standard	2	9784774730301	2010-06	コスミック出版	百合少女(2)		四位広猫	キュンコミックス　ｌｉｌｙ　ｔｉｍｅ　ｓｅｒｉｅｓ	9784774	9784774	1
PUB_ONLY	NO_AUTHOR	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	standard	4	9784870257405	1994-02	スクウェア・エニックス	ドラゴンクエスト4コママンガ劇場(4)		ゲームドラゴンクエストシリーズ		9784870	9784870	1
PUB_ONLY	MISMATCH	fukushuu-no-kyoujuu	復讐の兇獣	shinsoban	3	9784832222991	1982-09	芳文社	復讐の兇獣(3)	筒美廣平/セルジオ関	谷村ひとし	芳文社　コミックス	9784832	9784832	1
PUB_ONLY	OK	gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	standard	4	9784051061999	1992-05	Gakken	学研まんが世界の歴史(第4巻)	ムロタニツネ象	ムロタニツネ象		9784051	9784051	1
PUB_ONLY	OK	gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	standard	5	9784051062002	1993-02	Gakken	学研まんが世界の歴史(第5巻)	ムロタニツネ象	ムロタニツネ象		9784051	9784051	1
PUB_ONLY	OK	gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	standard	9	9784051062040	1992-05	Gakken	学研まんが世界の歴史(第9巻)	ムロタニツネ象	ムロタニツネ象		9784051	9784051	1
PUB_ONLY	OK	hard-ando-ruuzu	ハード＆ルーズ	shinsoban	5	9784575810875	1986-09	双葉社	ハード&ルーズ(5)	かわぐちかいじ/狩撫麻礼	かわぐちかいじ / 狩撫麻礼	アクションコミックス	9784575	9784575	1
PUB_ONLY	MISMATCH	hontoni-atta-kowai-hanashi	ほんとにあった怖い話	standard	2	9784257986287	1997-07	朝日ソノラマ	ほんとにあった怖い話(2)	アンソロジー	山本まゆり	朝日ソノラマコミックス	9784257	9784257	2
PUB_ONLY	NO_AUTHOR	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	standard	3	9784088583037	1990-07	集英社	めざせ漫画家!手塚・赤塚賞受賞作品集(3)		ホーム社	ジャンプコミックスデラックス	9784088	9784088	1
PUB_ONLY	MISMATCH	pose-file	ポーズ・ファイル	standard	2	9784871990295	1992-02	エルテ出版	ポーズ・ファイル 2	エイト企画	(unknown)		9784871	9784871	1
PUB_ONLY	MISMATCH	sekainorekishi	世界の歴史	standard	10	9784124034103	1997-05	中央公論新社	世界の歴史(10)	樺山紘一	石原しゅん		9784124	9784124	2
PUB_ONLY	NO_AUTHOR	sekainorekishi	世界の歴史	standard	12	9784124005820	1982-02	中央公論新社	世界の歴史(12)		石原しゅん		9784124	9784124	4
PUB_ONLY	OK	shutter-shower	シャッターシャワー	shinsoban	2	9784088570525		集英社	シャッターシャワー(2)	池沢さとし	池沢さとし	プレイボーイコミックス	9784088	9784088	1
PUB_ONLY	OK	wani-bunsho	ワニ分署	shinsoban	2	9784088570228	2000	集英社	ワニ分署 (2)	篠原　とおる	篠原とおる		9784088	9784088	2
PUB_ONLY	OK	wani-bunsho	ワニ分署	shinsoban	3	9784088570235	2000	集英社	ワニ分署 (3)	篠原　とおる	篠原とおる		9784088	9784088	2
PUB_ONLY	OK	wani-bunsho	ワニ分署	shinsoban	4	9784088570242	2000	集英社	ワニ分署 (4)	篠原　とおる	篠原とおる		9784088	9784088	2
PUB_ONLY	OK	wani-bunsho	ワニ分署	shinsoban	5	9784088570259	2000	集英社	ワニ分署 (5)	篠原　とおる	篠原とおる		9784088	9784088	2
PUB_ONLY	OK	wani-bunsho	ワニ分署	shinsoban	6	9784088570266	2000	集英社	ワニ分署 (6)	篠原　とおる	篠原とおる		9784088	9784088	1
PUB_ONLY	MISMATCH	x-men	X-MEN	shinsoban	10	9784796840101	1995-08	小学館集英社プロダクション	X-men(10)	小学館プロダクション	レイニルフランシスユー	マーヴルコミックス	9784796	9784796	2
DATE_ONLY	MISMATCH	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard	4	9784052018817	2003-05	Gakken	子ども科学技術白書(4)	子ども科学技術白書編集委員会/文部科学省科学技術・学術政策局	科学技術庁科学技術政策局調査課		9784171	9784052	1
DATE_ONLY	MISMATCH	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard	5	9784051522742	2004-06	Gakken	子ども科学技術白書(5)	子ども科学技術白書編集委員会/文部科学省科学技術・学術政策局	科学技術庁科学技術政策局調査課		9784171	9784051	1
DATE_ONLY	OK	watashi-ga-watashi-o-uru-wake	私がわたしを売る理由	standard	6	9784911567180	2025-11	Cygames	私がわたしを売る理由 6	夏子久	夏子久	サイコミ	9784098	9784911	1
DATE_ONLY	OK	watashi-ga-watashi-o-uru-wake	私がわたしを売る理由	standard	7	9784911567449	2026-02	Cygames	私がわたしを売る理由 7	夏子久	夏子久	サイコミ	9784098	9784911	1
DATE_ONLY	OK	watashi-ga-watashi-o-uru-wake	私がわたしを売る理由	standard	8	9784911567654	2026-04	Cygames	私がわたしを売る理由 8	夏子久	夏子久	サイコミ	9784098	9784911	1
DATE_ONLY	OK	watashi-ga-watashi-o-uru-wake	私がわたしを売る理由	standard	9	9784911567876	2026-08	Cygames	私がわたしを売る理由 9	夏子久	夏子久	サイコミ	9784098	9784911	1
WEAK	OK	81-bunch-no-inu	81番地の犬	shinsoban	3	9784873170596	1999-10	あおば出版	81番地の犬(3)	西田陽子（漫画家）	西田陽子	あおばコミックス	9784796	9784873	1
WEAK	OK	furoagari-no-yozora-ni	風呂上がりの夜空に	deluxe	2	9784821196746	1998-05	ぶんか社	風呂上がりの夜空に(2)	小林じんこ	小林じんこ	ぶんか社コミックス	9784063	9784821	1
WEAK	OK	furoagari-no-yozora-ni	風呂上がりの夜空に	deluxe	4	9784821196876	1998-07	ぶんか社	風呂上がりの夜空に(4)	小林じんこ	小林じんこ	ぶんか社コミックス	9784063	9784821	1
WEAK	OK	judo-itchokusen	柔道一直線	shinsoban	2	9784061014855	1990-11	講談社	柔道一直線(2)	永島慎二/梶原一騎	斉藤ゆずる / 永島慎二	KCスペシャル		9784061	1
WEAK	OK	manhattan-op	マンハッタン・オプ	bunkobon	2	9784789700207	1982-01	ソニ-・マガジンズ	マンハッタン・オプ 2	矢作　俊彦/谷口　ジロー	矢作俊彦		9784334	9784789	3
WEAK	OK	sutegoma-ichi	捨て駒いち	standard	5	9784061013339	1987-10	講談社	捨て駒いち(5)	政岡としや/北芝健	政岡としや	ＫＣスペシャル	9784088	9784061	1
WEAK	NO_AUTHOR	tange-sazen	丹下左膳	standard	2	9784253060813		秋田書店	丹下左膳(2)		伊藤隆夫 / 湖玉次吉	サンデーコミックス		9784253	1
WEAK	MISMATCH	x-men	X-MEN	shinsoban	10	9784796840101	1995-08	小学館集英社プロダクション	X-men(10)	小学館プロダクション	レイニルフランシスユー	マーヴルコミックス	9784884	9784796	2
WEAK	MISMATCH	x-men	X-MEN	standard	11	9784796840118	1995-10	小学館集英社プロダクション	X-men(11)	小学館プロダクション	レイニルフランシスユー	小プロ・ワールドコミックス	9784884	9784796	2
