tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
REJECT_EDITION	manhattan-op	マンハッタン・オプ	seed4	0	bunkobon	文庫版	光文社文庫	2	MID	9784789700207	1982-01	マンハッタン・オプ. 2	矢作, 俊彦, 1950-/谷口, ジロー, 1947-2017	CBS・ソニー出版	x	o	x	o	o	9784334	1	9784334700966	1985-01-20	3		1985-03-20	光文社	3	版元prefix不一致	
REJECT_EDITION	piisu-maker-kurogane	PEACE MAKER鐡	seed4	0	standard	通常版	MGC	1	LEAD	9783865807014		Peace maker Kurogane 1	平田, 智浩/黒乃, 奈々絵	Universum Film	x	o	?	o	o	9784800				12	9784800006769	2017-04-14	マッグガーデン	1	版元prefix不一致	
EXISTS	akashiro-tamago	赤白たまご	canon:extra[0]	1	bunkobon	冬水社文庫	冬水社文庫	3	MID	9784887417632	2007-05	赤白たまご. 3	東宮, 千子	冬水社					o	9784864	2	9784864232012	2012-10	5	9784864232043	2012-12	冬水社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	akashiro-tamago	赤白たまご	canon:extra[0]	1	bunkobon	冬水社文庫	冬水社文庫	4	MID	9784887418103	2007-11	赤白たまご. 4	東宮, 千子	冬水社					o	9784864	2	9784864232012	2012-10	5	9784864232043	2012-12	冬水社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	hannintachi-no-file-kindaichi-shounen-no-file-gaiden	犯人たちの事件簿	seed4	0	standard	通常版	講談社コミックス	1	LEAD	9784065104323	2017-11	犯人たちの事件簿 : 金田一少年の事件簿外伝. 1	天樹, 征丸, 1962-/金成, 陽三郎/さとう, ふみや/船津, 紳平, 1989-	講談社					o	9784065				3	9784065119044	2018-06-15	講談社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	hannintachi-no-file-kindaichi-shounen-no-file-gaiden	犯人たちの事件簿	seed4	0	standard	通常版	講談社コミックス	2	LEAD	9784065112397	2018-02	犯人たちの事件簿 : 金田一少年の事件簿外伝. 2	天樹, 征丸, 1962-/金成, 陽三郎/さとう, ふみや/船津, 紳平, 1989-	講談社					o	9784065				3	9784065119044	2018-06-15	講談社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	heba-hello-chan	へば!Helloちゃん	canon:volumes	0	standard	通常版	ミスターマガジンKCDX	4	MID	9784063194135	1993-08-09	へば!Helloちゃん 4	小林まこと	講談社					o	9784063	3	9784063193541	1993-02-09	5	9784063194463	1994-02-09	講談社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	jinrou-game	人狼ゲーム	canon:volumes	0	standard	通常版	Bamboo comics	2	MID	9784801962682	2018-06	人狼ゲーム : クレイジーフォックス. 2	川上, 亮, 1976-/小独活	竹書房					o	9784812	1	9784812487204	2014-07	3	9784801953017	2015-07	竹書房	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	kuchiyaku-mondo-kawaitesourou	唇役主丞乾いて候	canon:extra[0]	1	shinsoban	劇画キングシリーズ	劇画キングシリーズ	5	MID	9784575813531	1986-11	唇役主丞乾いて候 第5巻	小池一夫/小島剛夕	双葉社					o	9784883	4	9784883152179	1993-06	6	9784883152551	1993-11	小池書院	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	l-gion	LÉGION	seed4	0	standard	通常版	Bunkasha comics young teioh series	1	LEAD	9784821195121	1996-11	Légion. 第1巻	長沢, 克泰, 1961-	ぶんか社					o	9784821				3	9784821195756	1997-06	ぶんか社	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	nagi	椰	seed4	0	standard	通常版	ホラーハウス・コミックス	3	MID	9784063193473	1993-03-13	椰 vol.3	流水凛子	コミックス					o	9784803	2	9784803316032	1988-08	4	9784803323757	1989-11	大陸書房	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	piisu-maker-kurogane	PEACE MAKER鐡	seed4	0	standard	通常版	MGC	2	LEAD	9784901926300	2003-03	Peace maker鐡. 2	黒乃, 奈々絵	マッグガーデン					o	9784800				12	9784800006769	2017-04-14	マッグガーデン	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	piisu-maker-kurogane	PEACE MAKER鐡	seed4	0	standard	通常版	MGC	3	LEAD	9784901926720	2003-08	Peace maker鐡. 3	黒乃, 奈々絵	マッグガーデン					o	9784800				12	9784800006769	2017-04-14	マッグガーデン	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
