slug	title	edition	vol	verdict	detail
anmitsuhime	あんみつ姫	bunkobon	2	NG_SEED2_EXISTS	
wild-7	ワイルド7	deluxe	5	NG_NOBIND	
wild-7	ワイルド7	deluxe	7	NG_SEED2_EXISTS	
wild-7	ワイルド7	deluxe	8	NG_NOBIND	
wild-7	ワイルド7	deluxe	10	NG_NOBIND	
wild-7	ワイルド7	deluxe	11	NG_NOBIND	
wild-7	ワイルド7	deluxe	12	NG_NOBIND	
wild-7	ワイルド7	deluxe	17	NG_SEED2_EXISTS	
wild-7	ワイルド7	deluxe	18	NG_NOBIND	
wild-7	ワイルド7	deluxe	19	NG_NOBIND	
wild-7	ワイルド7	deluxe	20	NG_NOBIND	
wild-7	ワイルド7	deluxe	24	NG_NOBIND	
sasurai-no-gambler	さすらいのギャンブラー	standard	3	OK	rakuten:9784643950212
esper-mami-1996-2	エスパー魔美	standard	3	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	51	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	52	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	53	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	54	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	55	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	56	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	57	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	58	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	59	NG_SEED2_EXISTS	
kariage-kun	かりあげクン	standard	60	NG_SEED2_EXISTS	
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	standard	29	NG_SEED2_EXISTS	
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	standard	31	NG_SEED2_EXISTS	
tiger-mask-nisei	タイガーマスク二世	standard	2	NG_SEED2_EXISTS	
furusato	ふるさと	standard	4	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	2	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	3	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	4	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	6	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	7	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	8	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	17	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	19	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	20	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	21	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	22	NG_SEED2_EXISTS	
bar-lemon-heart-2014	BARレモン・ハート	standard	26	NG_SEED2_EXISTS	
shiyounan-bakusouzoku	湘南爆走族	standard	5	NG_SEED2_EXISTS	
maji	本気!	bunkobon	18	NG_SEED2_EXISTS	
osomatsu-kun	おそ松くん	deluxe	3	NG_SEED2_EXISTS	
osomatsu-kun	おそ松くん	deluxe	4	NG_SEED2_EXISTS	
osomatsu-kun	おそ松くん	deluxe	5	NG_PREFIX	
myououden-rei	明王伝レイ	deluxe	11	NG_SEED2_EXISTS	
myououden-rei	明王伝レイ	deluxe	12	NG_SEED2_EXISTS	
shippo-ga-tomodachi	シッポがともだち	deluxe	2	NG_SEED2_EXISTS	
hata-manjirou-no-omoshiro-zukan	はた万次郎のおもしろ図鑑	wideban	3	OK	rakuten:9784088610542
hata-manjirou-no-omoshiro-zukan	はた万次郎のおもしろ図鑑	wideban	4	OK	rakuten:9784088610559
hata-manjirou-no-omoshiro-zukan	はた万次郎のおもしろ図鑑	wideban	5	OK	rakuten:9784088610566
hata-manjirou-no-omoshiro-zukan	はた万次郎のおもしろ図鑑	wideban	6	OK	rakuten:9784088610573
basutaado	バスタード	standard	2	OK	ndl:9784089010587
basutaado	バスタード	standard	4	NG_SEED2_EXISTS	
basutaado	バスタード	standard	5	NG_SEED2_EXISTS	
basutaado	バスタード	standard	6	NG_SEED2_EXISTS	
basutaado	バスタード	standard	7	NG_SEED2_EXISTS	
basutaado	バスタード	standard	8	NG_SEED2_EXISTS	
basutaado	バスタード	standard	9	NG_SEED2_EXISTS	
basutaado	バスタード	standard	14	NG_SEED2_EXISTS	
tokyo-babylon	東京BABYLON	standard	4	NG_SEED2_EXISTS	
heba-hello-chan	へば!Helloちゃん	deluxe	3	NG_SEED2_EXISTS	
