tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	OK	1-nen-a-gumi-no-monster	1年A組のモンスター	standard	14	9784758086530	2025-02	一迅社	1年A組のモンスター (14)	英貴	英貴	REXコミックス	9784758	9784758	2
STRICT	OK	5-nin-no-ou	5人の王	standard	9	9784866578095	2024-11	フロンティアワークス	5人の王 9	絵歩/恵庭	恵庭 / 絵歩	ダリアコミックス	9784866	9784866	1
STRICT	OK	abu-noomaru	阿武ノーマル	standard	4	9784065372920	2024-10	講談社	阿武ノーマル(4)	川上 大和/タイジュン	川上大和	講談社コミックス	9784065	9784065	2
STRICT	OK	adou	亜童	standard	10	9784065375181	2024-11	講談社	亜童(10)	天野 雀	天野雀	ヤンマガKCスペシャル	9784065	9784065	2
STRICT	OK	after-god	アフターゴッド	standard	8	9784098537044	2024-11	小学館	アフターゴッド(8)	江野 朱美	江野朱美	マンガワンコミックス	9784098	9784098	1
STRICT	OK	aizawa-koharu-wa-shiniisogu	逢沢小春は死に急ぐ	standard	4	9784088933870	2024-10	集英社	逢沢小春は死に急ぐ 4	胡原 おみ	胡原おみ	ヤングジャンプコミックス	9784088	9784088	2
STRICT	OK	aka-pink	あかピンク	standard	6	9784253134262	2003-01	秋田書店	あかピンク(6)	入江紀子	入江紀子	ＭＩＵコミックス	9784253	9784253	2
STRICT	OK	akabane-honeko-no-bodyguard	赤羽骨子のボディガード	standard	11	9784065374382	2024-11	講談社	赤羽骨子のボディガード(11)	丹月 正光	丹月正光	講談社コミックス	9784065	9784065	2
STRICT	OK	akage-no-yakutatazu-to-kubi-ni-natta-maryoku-nashi-no-majo-desu-yakusou-no-chishiki-ga-hanpanai-to	「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない!」と王立研究所に即採用されました。	standard	3	9784592212645	2024-11	白泉社	「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない!」と王立研究所に即採用されました。 3	天宮 こなつ/糸加	糸加 / 天宮こなつ	花とゆめコミックススペシャル	9784592	9784592	2
STRICT	OK	akebi-chan-no-seeraafuku	明日ちゃんのセーラー服	standard	14	9784088934310	2024-10	集英社	明日ちゃんのセーラー服 14	博	博	ヤングジャンプコミックス	9784088	9784088	1
STRICT	OK	aku-no-hanamichi-o-ikimashou	悪の華道を行きましょう	standard	5	9784758085694	2024-10	一迅社	悪の華道を行きましょう 5巻	やましろ 梅太/真冬日	やましろ梅太	ZERO-SUMコミックス	9784758	9784758	5
STRICT	OK	akuma-kamoshirenai	悪魔かもしれない	standard	4	9784790120162	2007-10	松文館	悪魔かもしれない 4	松本　ゆうか	松本ゆうか	ダイヤモンドコミックス	9784790	9784790	2
