slug	vol	isbn13	class	note
asatarou-den	2	9784834211023	CROSS_ED	穴=wideban/ワイド版 / 候補ISBNは同頁standard v2に既在=版帰属の裁定要(奇子型)
atagoul	5	9784796204712	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁bunkobon v5に既在=版帰属の裁定要(奇子型)
bats-terry	1	9784061728950	CROSS_ED	穴=wideban/ワイド版 / 候補ISBNは同頁standard v1に既在=版帰属の裁定要(奇子型)
bats-terry	3	9784845822171	CROSS_ED	穴=wideban/ワイド版 / 候補ISBNは同頁bunkobon v3に既在=版帰属の裁定要(奇子型)
chou-diienuei-suit-furogguman	2	9784883324125	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁bunkobon v2に既在=版帰属の裁定要(奇子型)
densetsu-no-yarichin-vs-teppeki-no-shiriana	2	9784799761212	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁deluxe v2に既在=版帰属の裁定要(奇子型)
densetsu-no-yarichin-vs-teppeki-no-shiriana	3	9784799765043	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁deluxe v3に既在=版帰属の裁定要(奇子型)
dr-typhoon	1	9784575810653	CROSS_ED	穴=wideban/ワイド版(1996) / 候補ISBNは同頁standard v1に既在=版帰属の裁定要(奇子型)
dr-typhoon	4	9784575810684	CROSS_ED	穴=wideban/ワイド版(1996) / 候補ISBNは同頁standard v4に既在=版帰属の裁定要(奇子型)
dr-typhoon	7	9784575810714	CROSS_ED	穴=wideban/ワイド版(1996) / 候補ISBNは同頁standard v7に既在=版帰属の裁定要(奇子型)
furoagari-no-yozora-ni	2	9784061020368	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v2に既在=版帰属の裁定要(奇子型)
furoagari-no-yozora-ni	4	9784061020719	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v4に既在=版帰属の裁定要(奇子型)
fushigi-tobe-kun	2	9784086174176	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁bunkobon v2に既在=版帰属の裁定要(奇子型)
hayou-no-ken	2	9784088625041	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁deluxe v2に既在=版帰属の裁定要(奇子型)
heba-hello-chan	1	9784063132878	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v1に既在=版帰属の裁定要(奇子型)
kinpeibai-watanabe-1995	4	9784575722932	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁bunkobon v4に既在=版帰属の裁定要(奇子型)
kirikiritei-no-buraun-sensei	3	9784789781633	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁deluxe v3に既在=版帰属の裁定要(奇子型)
kirikiritei-no-buraun-sensei	4	9784789782654	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁deluxe v4に既在=版帰属の裁定要(奇子型)
kirikiritei-no-buraun-sensei	5	9784789783262	CROSS_ED	穴=standard/通常版 / 候補ISBNは同頁deluxe v5に既在=版帰属の裁定要(奇子型)
meitantei-yumemizu-kiyoshirou-jiken-note	3	9784063720938	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v3に既在=版帰属の裁定要(奇子型)
meitantei-yumemizu-kiyoshirou-jiken-note	4	9784063721485	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v4に既在=版帰属の裁定要(奇子型)
meitantei-yumemizu-kiyoshirou-jiken-note	5	9784063722086	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v5に既在=版帰属の裁定要(奇子型)
meitantei-yumemizu-kiyoshirou-jiken-note	6	9784063723427	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v6に既在=版帰属の裁定要(奇子型)
meitantei-yumemizu-kiyoshirou-jiken-note	7	9784063754216	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v7に既在=版帰属の裁定要(奇子型)
meitantei-yumemizu-kiyoshirou-jiken-note	8	9784063755718	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v8に既在=版帰属の裁定要(奇子型)
meitantei-yumemizu-kiyoshirou-jiken-note	9	9784063758306	CROSS_ED	穴=deluxe/デラックス版 / 候補ISBNは同頁standard v9に既在=版帰属の裁定要(奇子型)
