tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
ACCEPT	12-no-kekkon-monogatari	12の結婚物語	seed4	0	standard	通常版		1	LEAD	9784063197631	1997-02-13	12の結婚物語(1)	風間宏子	講談社	o	o	o	x	o	9784063				2	9784063197648	1997-02-13	講談社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	seed4	0	standard	通常版	Akita top comics wide	1	LEAD	9784253242110	2006-08-31	赤川次郎ミステリー三毛猫ホームズと名探偵たち	赤川次郎	秋田書店	o	o	o	o	o	9784253				2	9784253242127	2007-03-13	秋田書店	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	seed4	0	standard	通常版	花とゆめCOMICS	1	LEAD	9784592213307	2016-05-20	蒼竜の側用人	千歳四季	白泉社	o	o	o	o	o	9784592				5	9784592216254	2018-10-19	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	seed4	0	standard	通常版	花とゆめCOMICS	2	LEAD	9784592216223	2017-04-20	蒼竜の側用人 2	千歳四季	白泉社	o	o	o	o	o	9784592				5	9784592216254	2018-10-19	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	seed4	0	standard	通常版	花とゆめCOMICS	3	LEAD	9784592216230	2017-10-20	蒼竜の側用人 3	千歳四季	白泉社	o	o	o	o	o	9784592				5	9784592216254	2018-10-19	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	seed4	0	standard	通常版	花とゆめCOMICS	4	LEAD	9784592216247	2018-04-20	蒼竜の側用人 4	千歳四季	白泉社	o	o	o	o	o	9784592				5	9784592216254	2018-10-19	白泉社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	comic-image-special	コミックイマージュ・スペシャル	seed4	0	standard	通常版	白夜コミックス	1	LEAD	9784893673404	1993-08	コミック・イマージュ・スペシャル 1	すたんだっぷ	白夜書房	o	o	o	o	o	9784893				2	9784893673930	1994-04	白夜書房	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	doll-hime-wa-koi-o-uranau	人形姫は恋を占う	seed4	0	standard	通常版	426	1	LEAD	9784864235488	2023-01	人形姫は恋を占う. 1	舵, 英里	冬水社	o	o	o	o	o	9784864				2	9784864235556	2023-04	冬水社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	fate-grand-order	Fate/grand order	seed4	0	standard	通常版	Zero-sum comics	1	LEAD	9784758033282	2018-01	Fate/Grand Order -mortalis:stella-(1)	白峰/TYPE-MOON	一迅社	o	o	o	o	o	9784758				2	9784758033824	2020-04	一迅社	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
ACCEPT	houshin-kenbunroku	封神見聞録	seed4	0	standard	通常版		1	LEAD	9784931396128	1997-07	封神見聞録(1)	アンソロジー	ノアール出版	o	o	o	x	o	9784931				2	9784931396166	1997-09	ノアール出版	1	版元o+ISBN連番o+日付o ※種2に在るのに本番未描画=結線もれ	
