class	slug	title	missing_count	missing_nums	other_cluster_title(種2)
DIFF	aimu-namu	アイムナム	1	2	I'm ナム
DIFF	basutaado	バスタード	8	2,4,5,6,7,8,9,14	BASTARD!!
DIFF	botsu-chan-no-jidai	『坊っちゃん』の時代	1	4	明治流星雨
DIFF	chokoreito	ちょこれいと	1	2	ちよこれいと
DIFF	dragon-ken	ドラゴン拳	1	4	ドラゴン挙
DIFF	euromanga	euromanga	5	2,3,4,5,6	ラストマン
DIFF	fate-strange-fake-2019	フェイト/ストレンジフェイク	1	2	Fate strange Fake
DIFF	gurazeni-2014	Gurazeni	11	5,6,7,8,9,10,11,12...	グラゼニ～大リーグ編～.
DIFF	mad-buru-34	マッド・ブル34	10	5,8,9,10,11,12,13,14...	5
DIFF	nagisa	NAGISA	4	2,3,4,5	妹先生渚
DIFF	neko-punch	ねこぱんち	6	11,18,19,22,24,25	江の島ワイキキ食堂
DIFF	secret-siblings	シークレット×シブリングス	1	2	SECRET×SIBLINGS
DIFF	seekers	シーカーズ	1	2	DRAGON SEEKERS
DIFF	shinyaku-meruhien	新約Marchen	2	2,3	新約Märchen
DIFF	takeki-ryuusei	猛き竜星	1	2	猛き龍星
DIFF	x-men-1994-4	エックスメン	9	3,4,5,6,7,8,9,10...	X-MEN
DIFF	yume-camera	夢カメラ	1	2	SF・異色短編
SAME	api	Api	1	4	Api
SAME	asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	1	20	浅見光彦ミステリースペシャル傑作選
SAME	b-t-x	ビート・エックス	3	13,14,15	B'T X-ビート・エックス-
SAME	bar-lemon-heart-2014	BARレモン・ハート	1	26	BARレモン・ハート
SAME	bikkuriman-omoshiro-land	ビックリマンおもしろランド	2	5,6	新・ビックリマンおもしろランド
SAME	bikkuriman-omoshirorando	ビックリマン おもしろランド	1	4	ビックリマンおもしろランド
SAME	bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	9	4,5,6,7,8,9,10,11...	暴君ヴァーデルの花嫁 初夜編
SAME	bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	4	13,14,15,16	暴君ヴァーデルの花嫁
SAME	chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	6	204,207,208,220,221,222	本当にあったちび笑える話
SAME	daichouhen-doraemon	大長編ドラえもん	1	18	大長編ドラえもん
SAME	doubutsu-no-mori	どうぶつの森	3	9,10,11	あつまれどうぶつの森～無人島Diary～
SAME	douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	どうやら私の身体は完全無敵のようですね	2	2,3	どうやら私の身体(からだ)は完全無敵のようですね
SAME	gegege-no-kitarou-1987	ゲゲゲの鬼太郎	1	2	ゲゲゲの鬼太郎 新妖怪千物語
SAME	gensuibaku-manga-collection	原水爆漫画コレクション	1	2	原水爆漫画コレクション
SAME	gifuu-doudou	義風堂々!!	1	2	義風堂々!!疾風の軍師黒田官兵衛
SAME	hokuto-no-ken-2016	北斗の拳	4	2,3,4,7	DD北斗の拳
SAME	honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	8	53,54,55,56,57,58,59,60	ほんにゃらごっこ かりあげクン
SAME	isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	2	2,3	異世界に来たみたいだけど如何すれば良いのだろう
SAME	jump-sq-comic-selection	ジャンプSQ.Comic Selection	1	4	ジャンプSQ　comic selection
