class	slug	edition	vol	isbn	note
SAFE	uchuu-battleship-yamato	bunkobon	2	9784840129497	
SAFE	esper-mami-1996-2	standard	3	9784091423177	
SAFE	sora-ga-suki	standard	2	9784091300225	
SAFE	tanpopo-san-no-uta	standard	3	9784575992564	
SAFE	shinpan-himitsu-tantei-jieiei	bunkobon	10	9784253016759	
SAFE	heart-kiyatsuchi-izumichiyan	standard	6	9784061736764	
SAFE	gegege-no-kitarou-1987	standard	2	9784091431493	
SAFE	tokyo-monogatari	standard	7	9784088572871	
SAFE	tokyo-monogatari	standard	8	9784088572888	
SAFE	super-mario-kun	standard	6	9784091417664	
SAFE	super-mario-kun	standard	7	9784091417671	
SAFE	super-mario-kun	standard	8	9784091417688	
SAFE	super-mario-kun	standard	9	9784091417695	
SAFE	super-mario-kun	standard	10	9784091417701	
SAFE	super-mario-kun	standard	11	9784091422415	
SAFE	super-mario-kun	standard	12	9784091422422	
SAFE	super-mario-kun	standard	13	9784091422439	
SAFE	super-mario-kun	standard	14	9784091422446	
SAFE	super-mario-kun	standard	15	9784091422453	
SAFE	super-mario-kun	standard	16	9784091422460	
SAFE	super-mario-kun	standard	17	9784091422477	
SAFE	super-mario-kun	standard	18	9784091422484	
SAFE	super-mario-kun	standard	19	9784091422491	
SAFE	super-mario-kun	standard	20	9784091422507	
SAFE	super-mario-kun	standard	21	9784091426918	
SAFE	super-mario-kun	standard	22	9784091426925	
SAFE	super-mario-kun	standard	23	9784091426932	
SAFE	super-mario-kun	standard	24	9784091426949	
SAFE	super-mario-kun	standard	25	9784091426956	
SAFE	super-mario-kun	standard	26	9784091426963	
SAFE	super-mario-kun	standard	27	9784091426970	
SAFE	super-mario-kun	standard	28	9784091426987	
SAFE	super-mario-kun	standard	29	9784091426994	
SAFE	super-mario-kun	standard	30	9784091427007	
SAFE	super-mario-kun	standard	31	9784091432216	
SAFE	super-mario-kun	standard	32	9784091432223	
SAFE	bonbaaman-4-koma-manga-oukoku	standard	2	9784575933949	
SAFE	hanamori-no-kitsune	standard	2	9784257902379	
SAFE	meitantei-conan-tokubetsuhen-2016	standard	5	9784091626219	
SAFE	meitantei-conan-tokubetsuhen-2016	standard	7	9784091626530	
SAFE	meitantei-conan-tokubetsuhen-2016	standard	10	9784091626790	
SAFE	meitantei-conan-tokubetsuhen-2016	standard	11	9784091626943	
SAFE	meitantei-conan-tokubetsuhen-2016	standard	13	9784091627100	
SAFE	meitantei-conan-tokubetsuhen-2016	standard	14	9784091627186	
SAFE	meitantei-conan-2005	standard	3	9784091625861	
SAFE	meitantei-conan-2005	standard	4	9784091625977	
SAFE	meitantei-conan-2005	standard	8	9784091626615	
SAFE	meitantei-conan-2005	standard	9	9784091626721	
SAFE	meitantei-conan-2005	standard	12	9784091627001	
SAFE	meitantei-conan-2005	standard	15	9784091630124	
SAFE	la-blue-girl	standard	2	9784915858314	
SAFE	gold-2004	standard	3	9784785921460	
SAFE	gold-2004	standard	4	9784785921859	
SAFE	gold-2004	standard	5	9784785922191	
SAFE	gold-2004	standard	6	9784785922573	
SAFE	gold-2004	standard	7	9784785923334	
SAFE	gold-2004	standard	8	9784785923778	
SAFE	uiui-days	standard	5	9784812467220	
SAFE	dokaben-super-sutaazuhen	bunkobon	18	9784253178624	
SAFE	ziggurat	standard	5	9784799206775	
SAFE	ziggurat	standard	6	9784799209790	
SAFE	ziggurat	standard	7	9784799218761	
SAFE	ningen-shikkaku-ito-2010	standard	2	9784107715425	
SAFE	gokudoumeshi	standard	2	9784575834192	
SAFE	gokudoumeshi	standard	3	9784575835199	
SAFE	gokudoumeshi	standard	4	9784575836158	
SAFE	gokudoumeshi	standard	5	9784575836868	
SAFE	gokudoumeshi	standard	6	9784575837971	
SAFE	yuugiou-zearu	standard	6	9784088800189	
SAFE	yuugiou-zearu	standard	7	9784088801698	
SAFE	chibi-hontou-ni-atta-waraeru-hanashi	standard	153	9784821136179	
MERGE	anmitsuhime	bunkobon	2	9784061765221	anmitsuhime
MERGE	kariage-kun	standard	51	9784575943429	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	52	9784575943696	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	53	9784575943887	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	54	9784575944013	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	55	9784575944259	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	56	9784575944525	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	57	9784575944648	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	58	9784575944747	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	59	9784575944907	honnyaragokko-kariage-kun
MERGE	kariage-kun	standard	60	9784575945027	honnyaragokko-kariage-kun
MERGE	ninja-hattori-kun	standard	6	9784091404862	ninjahattori-kun
MERGE	ninja-hattori-kun	standard	7	9784091404879	ninjahattori-kun
MERGE	ninja-hattori-kun	standard	8	9784091404886	ninjahattori-kun
MERGE	ninja-hattori-kun	standard	9	9784091404893	ninjahattori-kun
MERGE	furusato	standard	4	9784575724141	furusato
MERGE	comic-chuurippu	standard	14	9784803313185	comic-chuurippu-1988
MERGE	comic-tulip	standard	14	9784803313185	comic-chuurippu-1988
MERGE	out	standard	12	9784253141727	out-mizuta-2025
MERGE	out	standard	13	9784253141734	out-mizuta-2025
MERGE	out	standard	14	9784253141741	out-mizuta-2025
MERGE	out	standard	15	9784253141758	out-mizuta-2025
MERGE	out	standard	16	9784253141765	out-mizuta-2025
MERGE	out	standard	17	9784253141772	out-mizuta-2025
MERGE	out	standard	18	9784253141789	out-mizuta-2025
MERGE	out	standard	19	9784253141796	out-mizuta-2025
MERGE	out	standard	20	9784253141802	out-mizuta-2025
MERGE	out	standard	21	9784253305013	out-mizuta-2025
MERGE	out	standard	22	9784253305020	out-mizuta-2025
MERGE	out	standard	23	9784253305037	out-mizuta-2025
MERGE	out	standard	24	9784253305044	out-mizuta-2025
MERGE	out	standard	25	9784253305051	out-mizuta-2025
MERGE	out	standard	27	9784253305075	out-mizuta-2025
MERGE	out	standard	28	9784253004688	out-mizuta-2025
MERGE	bikkuriman-omoshirorando	standard	4	9784253099325	bikkuriman-omoshiro-land
MERGE	manga-ningen-no-jouken	standard	2	9784794503152	ningen-no-jouken
MERGE	hana-takeda-1988	standard	3	9784091515032	hana
MERGE	quartet	standard	2	9784088750620	karutteto
MERGE	tokyo-babylon	standard	4	9784403500299	tokyo-babylon
MERGE	fire-emblem-watanabe-1992	standard	4	9784048527903	fire-emblem-watanabe-1992
MERGE	yume-maboroshi-no-gotoku	standard	5	9784086188487	yume-maboroshi-no-gotoku
MERGE	x-men-1994-3	standard	2	9784884757106	x-men-1994-4
MERGE	x-men-1994-3	standard	7	9784884757397	x-men-1994-5
MERGE	x-men-1994-3	standard	12	9784884757441	x-men-1994-4
MERGE	x-men-1994-5	standard	11	9784884757434	x-men-1994-3
MERGE	x-men-1994-5	standard	12	9784884757441	x-men-1994-4
MERGE	x-men-1994	standard	7	9784884757397	x-men-1994-5
MERGE	x-men-1994	standard	11	9784884757434	x-men-1994-3
MERGE	x-men-1994	standard	12	9784884757441	x-men-1994-4
MERGE	x-men-1994-4	standard	3	9784884757304	x-men-1994-3
MERGE	x-men-1994-4	standard	4	9784884757311	x-men-1994-3,x-men-1994-5,x-men-1994
MERGE	x-men-1994-4	standard	5	9784884757328	x-men-1994-3,x-men-1994-5,x-men-1994
MERGE	x-men-1994-4	standard	6	9784884757380	x-men-1994-3,x-men-1994-5,x-men-1994
MERGE	x-men-1994-4	standard	7	9784884757397	x-men-1994-5
MERGE	x-men-1994-4	standard	8	9784884757403	x-men-1994-3,x-men-1994-5,x-men-1994
MERGE	x-men-1994-4	standard	9	9784884757410	x-men-1994-3,x-men-1994-5,x-men-1994
MERGE	x-men-1994-4	standard	10	9784884757427	x-men-1994-3,x-men-1994-5,x-men-1994
MERGE	x-men-1994-4	standard	11	9784884757434	x-men-1994-3
MERGE	bird	standard	2	9784575819694	bird-1994
MERGE	kiss-de-goukaku	standard	2	9784088623559	kiss-de-goukaku
MERGE	hana-1996	standard	3	9784091515032	hana
MERGE	meitantei-conan-2005	standard	43	9784091426741	meitantei-conan-tokubetsuhen-2016
MERGE	meitantei-conan-2005	standard	44	9784091430151	meitantei-conan-tokubetsuhen-2016
MERGE	shadow-skill	standard	5	9784063721348	shadow-skill
MERGE	shadow-skill	standard	6	9784063759235	shadow-skill
MERGE	shadow-skill	standard	7	9784063760408	shadow-skill
MERGE	rave	standard	9	9784063129502	choukanden-shoujo-mona
MERGE	fire-emblem-seisen-no-keifu	standard	2	9784840110945	fire-emblem-seisen-no-keifu
MERGE	fire-emblem-seisen-no-keifu	standard	3	9784840111188	fire-emblem-seisen-no-keifu
MERGE	fire-emblem-seisen-no-keifu	standard	4	9784840111270	fire-emblem-seisen-no-keifu
MERGE	fire-emblem-seisen-no-keifu	standard	5	9784840111379	fire-emblem-seisen-no-keifu
MERGE	fire-emblem-seisen-no-keifu	standard	6	9784840111522	fire-emblem-seisen-no-keifu
MERGE	fire-emblem-seisen-no-keifu	standard	9	9784840111935	fire-emblem-seisen-no-keifu
MERGE	fire-emblem-seisen-no-keifu	standard	10	9784840112123	fire-emblem-seisen-no-keifu
MERGE	fire-emblem-seisen-no-keifu	standard	11	9784840112277	fire-emblem-seisen-no-keifu
MERGE	star-ocean-second-story	standard	5	9784757503830	star-ocean-the-second-story
MERGE	gold-2004	standard	2	9784785921101	gold-2
MERGE	bartender	standard	2	9784088594958	bartender
MERGE	bartender	standard	3	9784088595283	bartender
MERGE	bartender	standard	4	9784088595535	bartender
MERGE	bartender	standard	5	9784088595757	bartender
MERGE	bartender	standard	6	9784088595993	bartender
MERGE	bartender	standard	7	9784088596167	bartender
MERGE	bartender	standard	8	9784088596389	bartender
MERGE	bartender	standard	9	9784088596662	bartender
MERGE	bartender	standard	10	9784088596884	bartender
MERGE	bartender	standard	11	9784088597072	bartender
MERGE	bartender	standard	12	9784088597324	bartender
MERGE	bartender	standard	13	9784088597584	bartender
MERGE	bartender	standard	14	9784088597867	bartender
MERGE	bartender	standard	15	9784088597997	bartender
MERGE	bartender	standard	16	9784088598277	bartender
MERGE	bartender	standard	17	9784088598444	bartender
MERGE	bartender	standard	18	9784088598666	bartender
MERGE	robotics-notes-2012	standard	4	9784800002051	robotics-notes
MERGE	robotics-notes-2012	standard	5	9784800002976	robotics-notes
MERGE	chibi-hontou-ni-atta-waraeru-hanashi	standard	204	9784821129782	hontou-ni-atta-chibi-waraeru-hanashi
MERGE	chibi-hontou-ni-atta-waraeru-hanashi	standard	205	9784821154005	hontou-ni-atta-chibi-waraeru-hanashi
MERGE	chibi-hontou-ni-atta-waraeru-hanashi	standard	207	9784821154562	hontou-ni-atta-chibi-waraeru-hanashi
MERGE	chibi-hontou-ni-atta-waraeru-hanashi	standard	208	9784821154890	hontou-ni-atta-chibi-waraeru-hanashi
MERGE	final-fantasy-lost-stranger-2021	standard	6	9784757568914	final-fantasy-lost-stranger
MERGE	final-fantasy-lost-stranger-2021	standard	7	9784757571495	final-fantasy-lost-stranger
MERGE	final-fantasy-lost-stranger-2021	standard	11	9784757590021	final-fantasy-lost-stranger
MERGE	isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	standard	2	9784344852723	isekai-ni-kita-mitai-dakedo-dou-sureba-y
MERGE	isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	standard	3	9784344854154	isekai-ni-kita-mitai-dakedo-dou-sureba-y
MERGE	koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	standard	6	9784065329764	koigakubo-kun-ni-hajimete-o-ubawaremashi
MERGE	koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	standard	7	9784065349731	koigakubo-kun-ni-hajimete-o-ubawaremashi
MERGE	densetsu-no-yarichin-vs-teppeki-no-shiriana	standard	2	9784799761212	densetsu-no-yarichin-vs-teppeki-no-shiri
MERGE	densetsu-no-yarichin-vs-teppeki-no-shiriana	standard	3	9784799765043	densetsu-no-yarichin-vs-teppeki-no-shiri
NONE	sabaku-no-maou	standard	4		
NONE	sabaku-no-maou	standard	6		
NONE	sebangou-0	standard	3		
NONE	sebangou-0	standard	5		
NONE	judo-itchokusen	standard	11		
NONE	judo-itchokusen	standard	12		
NONE	robot-santou-hei	standard	6		
NONE	robot-santou-hei	standard	8		
NONE	toilet-hakase	standard	7		
NONE	toilet-hakase	standard	24		
NONE	toilet-hakase	standard	25		
NONE	toilet-hakase	standard	26		
NONE	dabide-no-hoshi	standard	20		
NONE	haikara-san-ga-tooru	standard	9		
NONE	haikara-san-ga-tooru	standard	10		
NONE	haikara-san-ga-tooru	standard	11		
NONE	haikara-san-ga-tooru	standard	12		
NONE	haikara-san-ga-tooru	standard	13		
NONE	haikara-san-ga-tooru	standard	14		
NONE	haikara-san-ga-tooru	standard	15		
NONE	haikara-san-ga-tooru	standard	16		
NONE	haikara-san-ga-tooru	standard	17		
NONE	haikara-san-ga-tooru	standard	18		
NONE	haikara-san-ga-tooru	standard	19		
NONE	hime-2006	standard	3		
NONE	seibonjinden	bunkobon	7		
NONE	seibonjinden	standard	6		
NONE	seibonjinden	standard	8		
NONE	seibonjinden	standard	9		
NONE	ultra-seven-1978	standard	2		
NONE	ultra-seven-1978	standard	4		
NONE	sora-ga-suki	standard	3		
NONE	sora-ga-suki	standard	4		
NONE	sora-ga-suki	standard	5		
NONE	sora-ga-suki	standard	6		
NONE	sora-ga-suki	standard	7		
NONE	sora-ga-suki	standard	8		
NONE	sora-ga-suki	standard	9		
NONE	sora-ga-suki	standard	10		
NONE	sora-ga-suki	standard	11		
NONE	sora-ga-suki	standard	12		
NONE	sora-ga-suki	standard	13		
NONE	sora-ga-suki	standard	14		
NONE	sora-ga-suki	standard	15		
NONE	sora-ga-suki	standard	16		
NONE	sora-ga-suki	standard	17		
NONE	ushinawareta-muu-tairiku	standard	2		
NONE	ushinawareta-muu-tairiku	standard	3		
NONE	ushinawareta-muu-tairiku	standard	4		
NONE	ushinawareta-muu-tairiku	standard	5		
NONE	asatarou-den	wideban	2		
NONE	asatarou-den	wideban	4		
NONE	asatarou-den	wideban	5		
NONE	ossu-miri-chan	standard	4		
NONE	ura-deka	standard	4		
NONE	ura-deka	standard	6		
NONE	ura-deka	standard	7		
NONE	ura-deka	standard	8		
NONE	honnyaragokko-kariage-kun	standard	29		
NONE	honnyaragokko-kariage-kun	standard	31		
NONE	hyouman	standard	2		
NONE	dotsukiri-angel	standard	2		
NONE	pachikko-bojou	standard	2		
NONE	shin-karate-jigokuhen	standard	14		
NONE	nihonnorekishi	standard	2		
NONE	nihonnorekishi	standard	4		
NONE	nippon-no-rekishi-2007-2	standard	8		
NONE	nippon-no-rekishi-2007-2	standard	9		
NONE	fushigi-tobe-kun	standard	2		
NONE	kyattsuai	standard	19		
NONE	kyattsuai	standard	20		
NONE	bats-terry	wideban	3		
NONE	sekainorekishi	standard	4		
NONE	sekainorekishi	standard	5		
NONE	sekainorekishi	standard	6		
NONE	sekainorekishi	standard	8		
NONE	sekainorekishi	standard	10		
NONE	sekainorekishi	standard	12		
NONE	boukenshatachi-no-sekaishi	standard	17		
NONE	shisaku-nansensu-senshuu	standard	3		
NONE	shisaku-nansensu-senshuu	standard	6		
NONE	kibaken	standard	9		
NONE	inugamike-no-ichizoku	standard	2		
NONE	manhattan-op	bunkobon	2		
NONE	gakushuu-comic-sengoku-no-bushou	standard	2		
NONE	mobile-suit-z-gundam	standard	4		
NONE	mobile-suit-z-gundam	standard	5		
NONE	mobile-suit-z-gundam	standard	6		
NONE	mobile-suit-z-gundam	standard	7		
NONE	mobile-suit-z-gundam	standard	8		
NONE	mobile-suit-z-gundam	standard	9		
NONE	mobile-suit-z-gundam	standard	10		
NONE	otonashi-genjuu	standard	2		
NONE	otonashi-genjuu	standard	3		
NONE	otonashi-genjuu	standard	4		
NONE	otonashi-genjuu	standard	5		
NONE	otonashi-genjuu	standard	6		
NONE	otonashi-genjuu	standard	7		
NONE	otonashi-genjuu	standard	8		
NONE	otonashi-genjuu	standard	9		
NONE	mobile-suit-gundam-f90	standard	3		
NONE	mobile-suit-gundam-f90	standard	4		
NONE	mobile-suit-gundam-f90	standard	5		
NONE	mobile-suit-gundam-f90	standard	6		
NONE	mobile-suit-gundam-f90	standard	7		
NONE	mobile-suit-gundam-f90	standard	8		
NONE	mobile-suit-gundam-f90	standard	9		
NONE	mobile-suit-gundam-f90	standard	10		
NONE	b-boy	standard	2		
NONE	b-boy	standard	3		
NONE	b-boy	standard	4		
NONE	b-boy	standard	5		
NONE	b-boy	standard	6		
NONE	b-boy	standard	7		
NONE	b-boy	standard	9		
NONE	b-boy	standard	11		
NONE	b-boy	standard	12		
NONE	b-boy	standard	13		
NONE	b-boy	standard	14		
NONE	b-boy	standard	15		
NONE	b-boy	standard	16		
NONE	b-boy	standard	17		
NONE	b-boy	standard	18		
NONE	b-boy	standard	19		
NONE	b-boy	standard	20		
NONE	comic-chuurippu	standard	3		
NONE	comic-chuurippu	standard	5		
NONE	comic-chuurippu	standard	7		
NONE	comic-chuurippu	standard	8		
NONE	comic-chuurippu	standard	9		
NONE	comic-chuurippu	standard	10		
NONE	comic-chuurippu	standard	12		
NONE	comic-chuurippu	standard	13		
NONE	comic-chuurippu	standard	15		
NONE	the-combat	standard	2		
NONE	powerful-mazegohan	standard	2		
NONE	pumpkin	standard	8		
NONE	koike-kazuo-no-za-shibi-golf	standard	3		
NONE	koike-kazuo-no-za-shibi-golf	standard	4		
NONE	koike-kazuo-no-za-shibi-golf	standard	5		
NONE	doughnuts-books	standard	28		
NONE	doughnuts-books	standard	30		
NONE	doughnuts-books	standard	31		
NONE	doughnuts-books	standard	33		
NONE	milky-comic	standard	9		
NONE	milky-comic	standard	11		
NONE	milky-comic	standard	12		
NONE	milky-comic	standard	13		
NONE	milky-comic	standard	14		
NONE	milky-comic	standard	15		
NONE	milky-comic	standard	16		
NONE	milky-comic	standard	17		
NONE	milky-comic	standard	18		
NONE	milky-comic	standard	19		
NONE	milky-comic	standard	20		
NONE	milky-comic	standard	21		
NONE	milky-comic	standard	22		
NONE	milky-comic	standard	24		
NONE	milky-comic	standard	25		
NONE	milky-comic	standard	27		
NONE	milky-comic	standard	28		
NONE	milky-comic	standard	29		
NONE	comic-chuurippu-1988	standard	3		
NONE	comic-chuurippu-1988	standard	5		
NONE	comic-chuurippu-1988	standard	7		
NONE	comic-chuurippu-1988	standard	8		
NONE	comic-chuurippu-1988	standard	9		
NONE	comic-chuurippu-1988	standard	10		
NONE	comic-chuurippu-1988	standard	12		
NONE	comic-chuurippu-1988	standard	13		
NONE	comic-chuurippu-1988	standard	15		
NONE	comic-tulip	standard	3		
NONE	comic-tulip	standard	5		
NONE	comic-tulip	standard	7		
NONE	comic-tulip	standard	8		
NONE	comic-tulip	standard	9		
NONE	comic-tulip	standard	10		
NONE	comic-tulip	standard	12		
NONE	comic-tulip	standard	13		
NONE	comic-tulip	standard	15		
NONE	big-rival	standard	2		
NONE	horror-occult-kyousaku-daizenshuu	standard	2		
NONE	horror-occult-kyousaku-daizenshuu	standard	3		
NONE	horror-occult-kyousaku-daizenshuu	standard	4		
NONE	horror-occult-kyousaku-daizenshuu	standard	5		
NONE	horror-occult-kyousaku-daizenshuu	standard	7		
NONE	lilliput	standard	6		
NONE	lilliput	standard	8		
NONE	shin-ranchesutaa-senryaku	standard	4		
NONE	shin-ranchesutaa-senryaku	standard	5		
NONE	shion	standard	2		
NONE	himitsu-de-naito	standard	2		
NONE	hontoni-atta-kowai-hanashi	standard	2		
NONE	hontoni-atta-kowai-hanashi	standard	9		
NONE	hontoni-atta-kowai-hanashi	standard	25		
NONE	mikio-to-mikio	standard	2		
NONE	mikio-to-mikio	standard	3		
NONE	mikio-to-mikio	standard	4		
NONE	mikio-to-mikio	standard	5		
NONE	mikio-to-mikio	standard	6		
NONE	mikio-to-mikio	standard	7		
NONE	mikio-to-mikio	standard	8		
NONE	mikio-to-mikio	standard	9		
NONE	mikio-to-mikio	standard	10		
NONE	mikio-to-mikio	standard	11		
NONE	mikio-to-mikio	standard	12		
NONE	mikio-to-mikio	standard	13		
NONE	mikio-to-mikio	standard	14		
NONE	mikio-to-mikio	standard	15		
NONE	mikio-to-mikio	standard	16		
NONE	mikio-to-mikio	standard	17		
NONE	mikio-to-mikio	standard	18		
NONE	mikosuri-gekijou	standard	15		
NONE	mikosuri-gekijou	standard	16		
NONE	mikosuri-gekijou	standard	17		
NONE	ruriiro-princess	standard	5		
NONE	ruriiro-princess	standard	6		
NONE	ruriiro-princess	standard	7		
NONE	ruriiro-princess	standard	8		
NONE	ruriiro-princess	standard	9		
NONE	ruriiro-princess	standard	10		
NONE	ruriiro-princess	standard	11		
NONE	ruriiro-princess	standard	12		
NONE	ruriiro-princess	standard	13		
NONE	saibaa-comics	standard	6		
NONE	saibaa-comics	standard	7		
NONE	saibaa-comics	standard	8		
NONE	saibaa-comics	standard	9		
NONE	saibaa-comics	standard	10		
NONE	saibaa-comics	standard	12		
NONE	doctor-hankotsui	standard	11		
NONE	doctor-hankotsui	standard	19		
NONE	perman	standard	9		
NONE	perman	standard	10		
NONE	red-mask	standard	4		
NONE	ningen-no-jouken	standard	3		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	16		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	22		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	23		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	24		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	25		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	26		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	27		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	28		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	29		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	30		
NONE	shinshin-agatte-nanbo-taichi-yo-nakuna	standard	32		
NONE	shin-agatte-nanbo-taichiyo-nakuna	standard	16		
NONE	shin-agatte-nanbo-taichiyo-nakuna	standard	22		
NONE	shin-agatte-nanbo-taichiyo-nakuna	standard	23		
NONE	shin-agatte-nanbo-taichiyo-nakuna	standard	24		
NONE	shin-agatte-nanbo-taichiyo-nakuna	standard	25		
NONE	shin-agatte-nanbo-taichiyo-nakuna	standard	26		
