slug	title	author	category	ndl_records
sabaku-no-maou	沙漠の魔王	福島鉄次	COMPLEX	52
anmitsuhime	あんみつ姫	倉金章介	COMPLEX	32
sebangou-0	背番号0	寺田ヒロオ	COMPLEX	50
hachi-no-su-taishou	ハチのす大将	ちばてつや	COMPLEX	18
abashiriikka	あばしり一家	永井豪	COMPLEX	102
judo-itchokusen	柔道一直線	ダイナマイト鉄	NO_NDL	0
robot-santou-hei	ロボット三等兵	前谷惟光	COMPLEX	112
toilet-hakase	トイレット博士	とりいかずよし	COMPLEX	76
wild-7	ワイルド7	雨蘭	NO_NDL	0
dabide-no-hoshi	堕靡泥の星	佐藤まさあき	COMPLEX	120
gendai-juukyouden	現代柔侠伝	バロン吉元	COMPLEX	58
haikara-san-ga-tooru	はいからさんが通る	大和和紀	COMPLEX	120
sasurai-no-gambler	さすらいのギャンブラー	園山俊二	COMPLEX	28
ore-no-koshien	俺の甲子園	かざま鋭二	COMPLEX	18
hime-2006	姫	茶木ひろみ	COMPLEX	6
uchuu-battleship-yamato	宇宙戦艦ヤマト	聖悠紀	COMPLEX	2
ookami-no-seiza	狼の星座	横山光輝	COMPLEX	26
kekkoukamen	けっこう仮面	永井豪	COMPLEX	44
musashi	ムサシ	川崎のぼる	COMPLEX	68
seibonjinden	聖凡人伝	松本零士	COMPLEX	52
ultra-seven-1978	ウルトラセブン	一峰大二	COMPLEX	16
esper-mami-1996-2	エスパー魔美	藤子・F・不二雄	COMPLEX	52
sora-ga-suki	空がすき!	竹宮惠子	COMPLEX	22
ushinawareta-muu-tairiku	失われたムー大陸	桑田二郎	NO_NDL	0
asatarou-den	朝太郎伝	中島徳博	COMPLEX	48
dr	Dr	鳥山明	COMPLEX	120
ossu-miri-chan	オッス!美里ちゃん	金子節子	COMPLEX	22
doyoubinoehon	土曜日の絵本	川崎苑子	COMPLEX	24
ura-deka	うら刑事	緒方恭二	COMPLEX	14
kariage-kun	かりあげクン	植田まさし	COMPLEX	120
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	植田まさし	COMPLEX	120
tiger-mask-nisei	タイガーマスク二世	宮田淳一	COMPLEX	10
sakuranbo-monogatari	桜桃物語	立原あゆみ	COMPLEX	40
hyouman	豹マン	桑田二郎	NO_NDL	0
tanpopo-san-no-uta	たんぽぽさんの詩	西岸良平	COMPLEX	18
dotsukiri-angel	どっきり!エンジェル	本山一城	COMPLEX	4
pachikko-bojou	パチっ子慕情	永松潔	COMPLEX	8
ninja-hattori-kun	忍者ハットリくん	藤子不二雄Ⓐ	COMPLEX	120
shin-karate-jigokuhen	新カラテ地獄変	中城けんたろう	NO_NDL	0
nihonnorekishi	日本の歴史	児玉幸多	COMPLEX	120
nippon-no-rekishi-2007-2	日本の歴史	井上大助	COMPLEX	18
shinpan-himitsu-tantei-jieiei	秘密探偵JA	望月三起也	COMPLEX	120
menkui-egure-keibu	面くいエグレ警部	新田たつお	COMPLEX	4
fushigi-tobe-kun	ふしぎトーボくん	ちばあきお	COMPLEX	32
kamuigaiden	カムイ外伝	白土三平	COMPLEX	120
kyattsuai	キャッツ❤アイ	北条司	COMPLEX	10
heart-kiyatsuchi-izumichiyan	ハート❤キャッチいずみちゃん	遠山光	COMPLEX	14
bats-terry	バツ＆テリー	大島やすいち	COMPLEX	120
ue-o-shita-e-no-giretta	上を下へのジレッタ	手塚治虫	COMPLEX	24
sekainorekishi	世界の歴史	石原しゅん	COMPLEX	2
