slug	巻	isbn13	本番	wiki(採用)	楽天	ズレ月数
helter-skelter	1	9784396762971	2012-08	2003-04-08	2003-04-08	112
shinizokonai-no-ao	1	9784344802919	1995-11	2003-09-24	2003-09-24	94
pineapple-mitai	1	9784061084339	1978-05-15	1983-03-05	1983-03-06	58
ouchi-ga-ichiban	2	9784812467121	2012-01	2007-07-17	2007-07	54
shakuou	1	9784845813780	1999-04	1996-03	1996-03-22	37
momogumi-plus-senki	9	9784049250756	2013-12	2010-12-24	2010-12-24	36
hige-no-ooeru-yabuuchi-sasako	1	9784812450345	1993-04	1996-03	1996-03-27	35
momogumi-plus-senki	10	9784049250770	2014-12	2012-03-24	2012-03-24	33
shakuou	2	9784845813797	1999-04	1996-08	1996-08-07	32
shakuou	3	9784845813285	1999-04	1996-11	1996-11-08	29
kemeko-dx	1	9784840235020	2008-09-24	2006-06-27	2006-06-27	27
yasashii-sekai-no-tsukurikata	3	9784048869324	2014-06	2012-09-27	2012-09-27	21
kemeko-dx	2	9784840237499	2008-09-24	2007-01-27	2007-01-27	20
shakuou	4	9784845813742	1998-10	1997-03	1997-03-03	19
tennen-shoujo-man	5	9784063235067	1993-06	1994-12-06	1994-12-06	18
imouto-wa-iimonoda	1	9784758081764	2014-09	2013-06-22	2013-06-22	15
yawara	29	9784091828095	1994-12-01	1993-10-29	1993-10-29	14
earise	1	9784840234948	2007-06-02	2006-05-27	2006-05-27	13
peleliu-rakuen-no-gerunika	1	9784592141877	2017-08	2016-07-29	2016-07-29	13
alto	2	9784063731316	2007-08-22	2008-08-22	2008-08	12
gokuman	1	9784253204484	2009-01-20	2010-01-08	2010-01	12
maid-senki	7	9784063762273	2009-07-09	2010-07-09	2010-07-09	12
mazin-no-garudo	3	9784088804354	2014-08-09	2015-08-04	2015-08-04	12
okinawa-de-suki-ni-natta-ko-ga-hougensugite-tsurasugiru	11	9784107729101	2025-02-23	2026-02-09	2026-02-09	12
ronri-shoujo	2	9784063731620	2008-03-23	2009-03-23	2009-03-23	12
uncassandra	2	9784063800241	2008-01-05	2009-01-05	2009-01	12
