verdict	slug	title	wiki_article	本番巻	wiki対	採用巻	SAME	ADOPT_MONTH	ADOPT_DAY	ADOPT_GAIN	BLOCK_PROD	BLOCK_SPLIT	NOT_IN_WIKI	ALREADY_OVERRIDDEN
APPLY	obi-o-gyutto-ne	帯をギュッとね!	帯をギュッとね!	61	61	61	0	61	0	0	0	0	0	0
APPLY	pocket-monsters-special	ポケットモンスターSPECIAL	ポケットモンスターSPECIAL	64	100	59	5	50	9	0	0	0	0	0
APPLY	gallery-fake	ギャラリーフェイク	ギャラリーフェイク	63	67	51	12	51	0	0	0	0	0	0
APPLY	azumi	あずみ	あずみ	72	72	48	24	48	0	0	0	0	0	0
APPLY	yawara	YAWARA!	YAWARA!	48	68	48	0	48	0	0	0	0	0	0
APPLY	landreaall	Landreaall	Landreaall	45	46	45	0	45	0	0	0	0	0	0
APPLY	yamikin-ushijima-kun	闇金ウシジマくん	闇金ウシジマくん	46	47	44	2	43	0	1	0	0	0	0
APPLY	basara	BASARA	BASARA	43	49	43	0	43	0	0	0	0	0	0
APPLY	last-inning	ラストイニング	ラストイニング	44	45	43	1	43	0	0	0	0	0	0
APPLY	glass-no-kamen	ガラスの仮面	ガラスの仮面	76	76	40	36	9	24	7	0	0	0	0
APPLY	jajauma-guruumin-appu	じゃじゃ馬グルーミン★ＵＰ!	じゃじゃ馬グルーミン★UP!	40	41	40	0	40	0	0	0	0	0	0
APPLY	kirin	キリン	キリン (漫画)	39	57	39	0	37	0	2	0	0	0	0
APPLY	tetsu-bon	テツぼん	テツぼん	41	41	38	3	38	0	0	0	0	0	0
APPLY	tough	TOUGH	TOUGH (漫画)	39	39	37	2	0	0	37	0	0	0	0
APPLY	aoashi	アオアシ	アオアシ	40	86	36	4	35	1	0	0	0	0	0
APPLY	tokyo-daigaku-monogatari	東京大学物語	東京大学物語	34	35	34	0	34	0	0	0	0	0	0
APPLY	bokura-no-kiseki	ボクラノキセキ	ボクラノキセキ	34	37	33	1	33	0	0	0	0	0	0
APPLY	show-ban	ショー☆バン	ショー☆バン	33	33	33	0	33	0	0	0	0	0	0
APPLY	kekkaishi	結界師	結界師	35	54	32	3	15	17	0	0	0	0	0
APPLY	ai-shield-21	アイシールド21	アイシールド21	37	43	30	7	1	29	0	0	0	0	0
