判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
ISBN交差=分裂/二重	B_基底頁あり	shiori-experience-2021	shiori-experience	22	15	14	SHIORI EXPERIENCE ジミなわたしとヘンなおじさん	シオリエクスペリエンス	長田悠幸/町田一八	長田悠幸/町田一八/Band	2014	2014	shiori-experience-2021	shiori-experience
ISBN交差=分裂/二重	B_基底頁あり	uchuu-senkan-yamato-2005	uchuu-senkan-yamato	3	9	3	宇宙戦艦ヤマト 完結編	宇宙戦艦ヤマト	ひおあきら/Military/War	ひおあきら/藤川桂介/松本零士	1983	1974	uchuu-senkan-yamato-2005	uchuu-senkan-yamato
ISBN交差=分裂/二重	C_基底頁なし	hidarikiki-no-eren-nifuni-2020	hidarikiki-no-eren	7	26	2	左ききのエレン	左ききのエレン	かっぴー/Shounen	nifuni/かっぴー	2020	2017	hidarikiki-no-eren-nifuni-2020	hidarikiki-no-eren
ISBN交差=分裂/二重	C_基底頁なし	kusuriya-no-hitorigoto-shino-2017	kusuriya-no-hitorigoto	18	24	7	薬屋のひとりごと	薬屋のひとりごと	ねこクラゲ/日向夏	倉田三ノ路/日向夏	2017	2018	kusuriya-no-hitorigoto-shino-2017	kusuriya-no-hitorigoto
別題ISBN無交差=概ね正当	B_基底頁あり	animagear-2022	animagear	2	2	0	アニマギアダブルエッジ	アニマギア	足立たかふみ/tyuga/Animals	足立たかふみ/tyuga/Animals	2022	2021	animagear-2022	animagear
別題ISBN無交差=概ね正当	B_基底頁あり	arakure-knight-2008	arakure-knight	20	28	0	荒くれKNIGHT 黒い残響完結編	荒くれKNIGHT	吉田聡	吉田聡	2008	1996	arakure-knight-2008	arakure-knight
別題ISBN無交差=概ね正当	B_基底頁あり	arukasaru-oujou-2008	arukasaru-oujou	1	20	0	アルカサル-王城-外伝	アルカサル-王城-	青池保子	青池保子	2008	1985	arukasaru-oujou-2008	arukasaru-oujou
別題ISBN無交差=概ね正当	B_基底頁あり	asunaro-hakusho-1993	asunaro-hakusho	3	7	0	あすなろ白書 第2部	あすなろ白書	柴門ふみ	柴門ふみ/Coming of Age/Seinen	1993	1992	asunaro-hakusho-1993	asunaro-hakusho
別題ISBN無交差=概ね正当	B_基底頁あり	asunaro-hakusho-2002	asunaro-hakusho	3	7	0	あすなろ白書 学生編	あすなろ白書	柴門ふみ/Coming of Age/Seinen	柴門ふみ/Coming of Age/Seinen	2002	1992	asunaro-hakusho-2002	asunaro-hakusho
別題ISBN無交差=概ね正当	B_基底頁あり	azumania-2006	azumania	3	3	0	ネオ・アズマニア	アズマニア	吾妻ひでお	吾妻ひでお	2006	1996	azumania-2006	azumania
