class	slug	base	title	base_title	isbn_overlap	n_slug	n_base
CLUSTER_SPLIT	wild-7-1972	wild-7	ワイルド7 1972	ワイルド7	2	2	97
CLUSTER_SPLIT	wild-7-1969	wild-7	ワイルド7 1969	ワイルド7	1	1	97
FILE_MISSING	shounan-graffiti-1989	shounan-graffiti	湘南グラフティ	湘南グラフィティ	-1	0	2
FILE_MISSING	nijiiro-no-trotsky-1992	nijiiro-no-trotsky	虹色のトロッキー	虹色のトロツキー	-1	0	16
FILE_MISSING	shiritsu-kiwamemichi-koukou-2011	shiritsu-kiwamemichi-koukou	私立極道高校2011	私立極道高校	-1	0	2
NO_OVERLAP	uchuu-senkan-yamato-2005	uchuu-senkan-yamato	宇宙戦艦ヤマト 完結編	宇宙戦艦ヤマト	0	3	6
NO_OVERLAP	seito-sho-kun-1984	seito-sho-kun	生徒諸君!外伝	生徒諸君!	0	1	36
NO_OVERLAP	shadow-skill-okada1992	shadow-skill	影技 SHADOW SKILL	SHADOW SKILL	0	8	11
NO_OVERLAP	asunaro-hakusho-1993	asunaro-hakusho	あすなろ白書 第2部	あすなろ白書	0	3	7
NO_OVERLAP	cobra-1995	cobra	COBRA	コブラ	0	26	40
NO_OVERLAP	sakura-no-sono-1994	sakura-no-sono	桜の園	櫻の園	0	1	1
NO_OVERLAP	hurricane-1996	hurricane	Hurricane	ハリケーン	0	1	1
NO_OVERLAP	saiko-1996	saiko	奇子-AYAKO-	奇子	0	1	5
NO_OVERLAP	kami-no-inu-1996	kami-no-inu	神の犬 ブランカⅡ	神の犬	0	2	4
NO_OVERLAP	happy-family-1998	happy-family	ハッピー・ファミリーエクストラ	ハッピー・ファミリー	0	1	5
NO_OVERLAP	mugen-shinshi-1998	mugen-shinshi	夢幻紳士 マンガ少年版	夢幻紳士	0	2	15
NO_OVERLAP	kodomo-no-mori-kanketsuhen-1999	kodomo-no-mori-kanketsuhen	子供の森・完結編	子供の森	0	1	1
NO_OVERLAP	garla-2000	garla	ガルラ 電送人バルバー	ガルラ	0	1	1
NO_OVERLAP	jiji-oyaji-2000	jiji-oyaji	時事おやじ:2000	時事おやじ	0	1	2
NO_OVERLAP	birth-2002	birth	BIRTH	バース	0	9	6
NO_OVERLAP	asunaro-hakusho-2002	asunaro-hakusho	あすなろ白書 学生編	あすなろ白書	0	3	7
NO_OVERLAP	tanimura-hitoshi-no-bakuretsu-tabiuchi-special-2002	tanimura-hitoshi-no-bakuretsu-tabiuchi-special	谷村ひとしの爆裂旅打ちスペシャル2002	谷村ひとしの爆裂旅打ちスペシャル	0	1	1
NO_OVERLAP	hotman-2003	hotman	ホットマン2003	ホットマン	0	1	25
NO_OVERLAP	milk-crown-2003	milk-crown	ミルククラウンrs	ミルククラウン	0	2	4
NO_OVERLAP	shouta-no-sushi-2003	shouta-no-sushi	将太の寿司 全国大会編	将太の寿司	0	8	40
NO_OVERLAP	mind-game-2004	mind-game	マインド・ゲーム	Mind game	0	1	3
NO_OVERLAP	ginga-sengoku-gunyuuden-rai-2004	ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ 異聞	銀河戦国群雄伝ライ	0	1	27
NO_OVERLAP	elite-yankee-saburou-2005	elite-yankee-saburou	エリートヤンキー三郎 第2部	エリートヤンキー三郎	0	25	26
NO_OVERLAP	kaa-chan-no-1-1994	kaa-chan-no-1	母ちゃんNO.1 1994	母ちゃんNO.1	0	1	3
NO_OVERLAP	satorare-2006	satorare	サトラレneo	サトラレ	0	2	8
NO_OVERLAP	azumania-2006	azumania	ネオ・アズマニア	アズマニア	0	3	3
NO_OVERLAP	seikimatsu-darling-2006	seikimatsu-darling	世紀末☆ダーリン	世紀末・ダーリン	0	7	11
NO_OVERLAP	shinshin-agatte-nanbo-taichi-yo-nakuna-2006	shinshin-agatte-nanbo-taichi-yo-nakuna	新々上がってなンボ!!太一よ泣くな	新々上ってなンボ!!太一よ泣くな	0	1	3
NO_OVERLAP	kingdom-hearts-2007	kingdom-hearts	キングダムハーツ FINAL MIX	キングダムハーツ	0	3	4
NO_OVERLAP	zaaruburugu-no-renkinjutsushi-2007	zaaruburugu-no-renkinjutsushi	ザールブルグの錬金術士　second season	ザールブルグの錬金術士	0	3	5
NO_OVERLAP	spiral-alive-2008	spiral-alive	SPIRAL ALIVE	スパイラル・アライヴ	0	1	5
