file	old_title	cache_title	why
1-yamamoto-1993	1	1（イチ）	title汚染疑い(巻名/版名/括弧/単巻)
17-nana-1990	17	マッド★ブル34	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
18-1990	18	マッド★ブル34	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
8-2011	8	8はち	title汚染疑い(巻名/版名/括弧/単巻)
9-2015	9	九条キヨ　ZONE?00　イラスト集　「9」	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
alpha-1993	ALPHA	アルファ	title汚染疑い(巻名/版名/括弧/単巻)
amnesia-1995	AMNESIA	AMNESIA（アムネジア）	title汚染疑い(巻名/版名/括弧/単巻)
arakure-knight-2008	荒くれKNIGHT 黒い残響完結編		kana劣化疑い(促音大文字/英数字混入)
arms-1988	Arms	ARMS（アームス）	title汚染疑い(巻名/版名/括弧/単巻)
baby-baby-2021	Baby Baby	田島昭宇画業35周年作品集『Baby Baby』	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
bakudan-1995	BAKUDAN	Bakudan（第1巻）	title汚染疑い(巻名/版名/括弧/単巻)
blaze-sasameyuki-2006	BLAZE	BLAZE〜ブレイズ〜1	title汚染疑い(巻名/版名/括弧/単巻)
c-2011	C-	C〔マイナー〕	title汚染疑い(巻名/版名/括弧/単巻)
cobra-1995	Cobra	COBRA　1 コブラ復活	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
doll-master-2012	Doll master	DOLLMASTER彷徨の六花	title汚染疑い(巻名/版名/括弧/単巻)
dr-2025	Dr	新装版 Dr.アシュラ	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
dr-typhoon-1996	Dr.Typhoon	Dr．タイフーン（ワイド版）	title汚染疑い(巻名/版名/括弧/単巻)
dreams-kurashina-2004	Dreams	Dreams（第1巻）	title汚染疑い(巻名/版名/括弧/単巻)
e-2012	E		kana劣化疑い(促音大文字/英数字混入)
eden-sugisaki-2006	EDEN	エデン（チャイニーズ姑娘編）	title汚染疑い(巻名/版名/括弧/単巻)
engage-1994	Engage	星の瞳のシルエット番外編（ENGAGE）	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
eve-2001	EVE	EVE★少女のたまご	title汚染疑い(巻名/版名/括弧/単巻)
face-1992	Face	Face（フェイス）	title汚染疑い(巻名/版名/括弧/単巻)
fight-1990	Fight!	Fight！（第1巻）	title汚染疑い(巻名/版名/括弧/単巻)
flip-flap-2014	Flip Flap	Flip　Flap新装版	title汚染疑い(巻名/版名/括弧/単巻)
gadget-sano-1998	Gadget	GADGET　第1巻	title汚染疑い(巻名/版名/括弧/単巻)
garden-1996	Garden	ガーデン	title汚染疑い(巻名/版名/括弧/単巻)
garden-furuya-2000	Garden	Garden（ガーデン）	title汚染疑い(巻名/版名/括弧/単巻)
garfield-1990	Garfield	ガーフィールド（vol．1）	title汚染疑い(巻名/版名/括弧/単巻)
gate-2002	Gate	GATE（2）〔新装版〕	title汚染疑い(巻名/版名/括弧/単巻)
gift-2012	gift	gift-神様の悪戯ー	title汚染疑い(巻名/版名/括弧/単巻)
girl-1992	Girl	Girl（ガール）	title汚染疑い(巻名/版名/括弧/単巻)
girls-cuvie-2003	Girls	Girls　1961-97ソフトカバー版	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
go-west-2004	Go!west	Go！　west（巻之1）	title汚染疑い(巻名/版名/括弧/単巻)
gold-2004	GOLD	GOLD（ナニワ“ごんたくれ”疾走！！編）	title汚染疑い(巻名/版名/括弧/単巻)
happy-birthday-1991	HAPPY BIRTHDAY	HAPPY　BIRTHDAY-5年目の誕生日	title汚染疑い(巻名/版名/括弧/単巻)
kaleidoscope-1994	Kaleidoscope	カレイドスコ-プ	title汚染疑い(巻名/版名/括弧/単巻)
kanon-shimotsuki-2007	Kanon	Kanon　ホントの想いは笑顔の向こう側に1	title汚染疑い(巻名/版名/括弧/単巻)
la-vie-en-rose-1998	LA VIE EN ROSE	ラヴィアンローズ	title汚染疑い(巻名/版名/括弧/単巻)
liar-chiyozaki-2024	liar	liar〔ライアー〕　上	title汚染疑い(巻名/版名/括弧/単巻)
little-darling-2016	Little Darling	Little Darling - 亜樹新イラストレーションワークスー	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
lost-2017	Lost	LOST失踪者たち	title汚染疑い(巻名/版名/括弧/単巻)
lost-child-abe-2011	LOST CHILD	Lost child （ラキッシュ・コミックス)	title汚染疑い(巻名/版名/括弧/単巻)
nana-1988	7	マッド★ブル34	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
nibunnoichi-morita-2012	1/2	1／2 にぶんのいち	title汚染疑い(巻名/版名/括弧/単巻)
oz-itsuki-2004	OZ	Oz（オズ）1	title汚染疑い(巻名/版名/括弧/単巻)
pangaea-1990	PANGAEA	パンゲア	title汚染疑い(巻名/版名/括弧/単巻)
pride-tagame-2004	PRIDE	Pride（上巻）	title汚染疑い(巻名/版名/括弧/単巻)
pure-love-seasons-2012	pure love seasons	Pure Love Seasons 1 春〜はじめて〜	title汚染疑い(巻名/版名/括弧/単巻)
pussy-cat-2000	Pussy Cat	大野哲也原画集	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
red-nakaji-1990	RED	Red（レッド）1	title汚染疑い(巻名/版名/括弧/単巻)
reset-2005	RESET	リセット	title汚染疑い(巻名/版名/括弧/単巻)
return-2007	Return	PLUTO 豪華版	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
revival-2026	REVIVAL	REVIVAL/リバイバル〜帝国の復活〜VOL.1	title汚染疑い(巻名/版名/括弧/単巻)
rising-1989	RISING	ライジング	title汚染疑い(巻名/版名/括弧/単巻)
saga-2002	SAGA	バキ特別編saga	目視除外(断片/画集/scope外/巻サブ汚染/要調査)
seasons-2011	Seasons	SEASONS-なつのひかりのー	title汚染疑い(巻名/版名/括弧/単巻)
secret-heaven-1999	SECRET HEAVEN		目視除外(断片/画集/scope外/巻サブ汚染/要調査)
sotsugyou-m-1998	卒業M+		kana劣化疑い(促音大文字/英数字混入)
ss-1987	SS	SS＝サイボーグサラ	title汚染疑い(巻名/版名/括弧/単巻)
