slug	flags
01-2001	LATIN
1-yamamoto-1993	LATIN
10-2000	LATIN
10-2016	LATIN
17-nana-1990	LATIN
17-nana-2001	LATIN
18-1990	LATIN
2dk-2013	LATIN
5-2000	LATIN
8-2001	LATIN
8-2011	LATIN
9-2015	LATIN
agapes-1999	LATIN
aijin-2001	KANA
alive-takahashi-1999	LATIN
alpha-1993	LATIN
alpha-2004	LATIN|KANA
amnesia-1995	LATIN
angel-eyes-1994	LATIN
anima-1987	LATIN
answer-1990	LATIN
arakure-knight-2008	KANA
arms-1988	LATIN
asura-nakamura-2009	LATIN
aya-1999	LATIN
azumi-koyama-2009	LATIN
b-a-d-tozaki-2012	LATIN
babel-inoe-2019	LATIN
baby-baby-2021	LATIN
bad-girl-1989	LATIN|KANA
bakudan-1995	LATIN
bamboo-blade-b-2009	LATIN
baroque-2001	LATIN
batman-asamiya-2005	LATIN
believe-1991	LATIN
bet-yamazaki-2012	LATIN
bird-1994	LATIN
birth-2002	LATIN
birth-2011	LATIN|KANA
black-guard-1997	LATIN
blaze-sasameyuki-2006	LATIN
blood-the-last-vampire-2000	LATIN
bloody-kiss-yagami-2011	LATIN
bloody-mary-kishi-2003	LATIN
blossoms-2007	LATIN
blow-up-1999	LATIN
blue-1991	LATIN|KANA
blue-2006	LATIN
blue-2008	LATIN
blue-blood-2000	LATIN
blue-nananan-2020	LATIN
blue-sakisaka-2006	LATIN
blues-2005	LATIN|KANA
border-kotegawa-2014	LATIN
box-1991	LATIN
box-2015	LATIN
box-rokuda-2002	LATIN|KANA
boys-life-kojima-1997	LATIN
boys-love-tachibana-2007	LATIN
brains-1997	LATIN
breath-1999	LATIN
brother-2010	LATIN
c-2011	LATIN|KANA
canon-1995	LATIN
change-2018	LATIN
change-hashiba-2000	LATIN|KANA
change-the-world-chiyoda-2025	LATIN
change-up-2022	LATIN
cherry-2005	LATIN
cherry-orihara-1990	LATIN
chocola-2008	LATIN
chronicle-2012	LATIN
clannad-2008	LATIN
clip-2003	LATIN
clover-1997	LATIN
cobra-1995	LATIN|KANA
cocoon-2021	LATIN
cocoon-kyo-2015	LATIN
color-mimori-2012	LATIN
color-tsuda-1999	LATIN
colors-2001	LATIN
complex-kikuchi-2002	LATIN
cool-1999	LATIN|KANA
cool-2001	LATIN|KANA
crew-1994	LATIN
cross-2002	LATIN
cue-2004	LATIN
cut-kawai-2002	LATIN
d-boy-1998	LATIN|KANA
d-j-vu-2000	LATIN|KANA
dark-queen-matsubara-2008	LATIN
darling-1988	LATIN
darling-2008	LATIN
days-yasuda-2018	LATIN
