slug	title	kana	flags	authors
0-shinohara-1977	0課の女	ゼロカノオンナ	NO_BASE	篠原とおる
01-2001	01	ゼロワン	LATIN_TITLE	小林ユミヲ
1-yamamoto-1993	1	イチ	LATIN_TITLE|NO_BASE	山本英夫
10-2000	10	テン	LATIN_TITLE|NO_BASE	藤田貴美
10-2016	10	テン	LATIN_TITLE|NO_BASE	ヤマシタトモコ
17-nana-1990	17	マッドブルサーティフォー	LATIN_TITLE	井上紀良
17-nana-2001	17	ジュウナナ	LATIN_TITLE	福山庸治
18-1990	18	マッドブルサーティフォー	LATIN_TITLE	井上紀良
1905-nna-1905	辰奈1905	シンナ1905	NO_BASE	鬼頭莫宏
2001-ngyohime-2001	人魚姫2001	ニンギョヒメ2001	NO_BASE	伊藤ゆう
2011-ritsu-kiwamemichi-koukou-2011	私立極道高校2011	シリツキワメミチコウコウ2011	ISBN_DUP|NO_BASE	宮下あきら
2dk-2013	2DK	ニーディーケー	LATIN_TITLE	スエカネクミコ
5-2000	5	ファイブ	LATIN_TITLE|NO_BASE	芳原のぞみ
8-2001	8	エイト	LATIN_TITLE	上條淳士
8-2011	8	ハチ	LATIN_TITLE	竹本友二
9-2015	9	キュウ	LATIN_TITLE|NO_BASE	九条キヨ
abu-san-tsunohazu-2008	危さん	アブサン	NO_BASE	奴隷ジャッキー
accel-world-hima-2014	アクセル・ワールド	アクセルワールド	NO_BASE	合鴨ひろゆき
ace-umino-1990	エース!!	エース	NO_BASE	佐藤文彦
adachi-to-shimamura-mani-2016	安達としまむら	アダチトシマムラ	NO_BASE	柚原もけ
again-kubo-2011	アゲイン!!	アゲイン	NO_BASE	久保ミツロウ
agapes-1999	Agapes	アガペイズ	LATIN_TITLE	山田玲司
ahiru-ezuki-2004	アヒル	アヒル	NO_BASE	恵月ひまわり
ahiru-no-sora-akiyama-1987	アヒルの空	アヒルノソラ	NO_BASE	あきやま耕輝
ahondara-koshiba-2003	あほんだら	アホンダラ	NO_BASE	こしばしげる
ai-no-jidai-kurumada-2015	藍の時代	アイノジダイ	NO_BASE	車田正美
ai-no-seikatsu-sakurazawa-2009	愛の生活	アイノセイカツ	NO_BASE	桜沢エリカ
aijin-2001	A・i・ji・n	Aijin	KANA_BROKEN	かやまゆみ
aijin-tanaka-1999	愛人	アイジン	NO_BASE	田中ユタカ
aijin-watanabe-2008	愛人	アイジン	NO_BASE	わたなべ志穂
aijin-yoshihara-2002	愛人	アイジン	NO_BASE	吉原由起
aishiteru-fujitani-2008	愛してる	アイシテル	NO_BASE	藤谷陽子
aishiteru-morita-1997	愛してる	アイシテル	NO_BASE	もりたゆうこ
aitsu-maki-2008	あいつ!	アイツ	NO_BASE	逆井五郎
aka-to-kuro-komachi-2017	赤と黒	アカトクロ	NO_BASE	桂小町
akira-otsuka-2011	阿鬼羅	アキラ	NO_BASE	大塚志郎
akumu-umezu-2011	悪夢	アクム	NO_BASE	楳図かずお
alice-in-wonderland-abe-2010	アリスインワンダーランド	アリスインワンダーランド	NO_BASE	阿部潤
alive-takahashi-1999	ALIVE	アライヴ	LATIN_TITLE|NO_BASE	高橋ツトム
alpha-1993	ALPHA	アルファ	LATIN_TITLE	貞本義行
alpha-2004	Alpha	Alpha	LATIN_TITLE|KANA_BROKEN	天野こずえ
amaryllis-fukushima-2014	アマリリス	アマリリス	NO_BASE	福島鉄平
amnesia-1995	AMNESIA	アムネジア	LATIN_TITLE	おおや和美
anatomia-fuji-2011	アナトミア	アナトミア	NO_BASE	藤たまき
