slug	title	vol	isbn	date
goseidouji-ran	護星童子ラン	2	9784334803445	1996年09月30日頃
futari-etchi	ふたりエッチ	92	9784592160922	2024年11月28日
boukenou-biito	冒険王ビィト	18	9784088842202	2024年10月04日
shin-kobo-chan	新コボちゃん	56	9784832259591	2024年11月07日
shinya-shokudou	深夜食堂	29	9784098631407	2024年11月28日頃
hare-nochi-cinderella	晴れのちシンデレラ	17	9784801984370	2024年09月17日
soroete-choudai	そろえてちょうだい?	0	9784396766863	2016年11月08日頃
gakuen-baby-shittaazu	学園ベビーシッターズ	26	9784592222118	2024年12月05日
mokuyoubi-no-furutto	木曜日のフルット	11	9784253285810	2024年08月07日
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	4	9784091406750	2008年06月27日
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	6	9784091408631	2009年09月28日
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	7	9784091410603	2010年06月28日
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	1	9784091400802	2005年11月28日
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	5	9784091407597	2008年12月25日
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	2	9784091402684	2006年11月28日
doubutsu-no-mori-hohinda-mura-dayori	どうぶつの森 ホヒンダ村だより	3	9784091404169	2007年11月28日
youkai-apaato-no-yuugana-nichijou	妖怪アパートの幽雅な日常	30	9784065374061	2024年11月08日
one-punch-man	ワンパンマン	32	9784088842677	2024年11月01日
junkissa-neko	純喫茶ねこ	12	9784344855540	2025年02月21日
owari-no-seraph	終わりのセラフ	33	9784088842172	2024年10月04日
kachou-fuugetsu	花鳥風月	11	9784403669378	2024年07月01日
guranburu	ぐらんぶる	23	9784065370988	2024年10月07日
gabriel-dropout	ガヴリールドロップアウト	15	9784049159912	2024年09月27日頃
killing-bites	キリングバイツ	25	9784868050575	2025年06月30日
killing-bites	キリングバイツ	24	9784864682824	2024年09月28日
slow-start	スロウスタート	12	9784832295742	2024年09月27日
boukyaku-no-sachiko	忘却のサチコ	23	9784098630585	2024年10月30日
tate-no-yuusha-no-nariagari	盾の勇者の成り上がり	29	9784046854285	2025年12月23日
tate-no-yuusha-no-nariagari	盾の勇者の成り上がり	26	9784046840738	2024年10月22日
jashin-chan-drop-kick	邪神ちゃんドロップキック	24	9784866753966	2024年12月12日頃
rokuhoudou-yotsuiro-hiyori	鹿楓堂よついろ日和	20	9784107727664	2024年11月09日
5-nin-no-ou	5人の王	9	9784866578095	2024年11月22日
konohana-ki-tan	このはな綺譚	16	9784344853874	2024年08月23日
nomi-joshi	のみじょし	13	9784801984844	2024年11月15日
yuube-wa-otanoshimi-deshitane	ゆうべはお楽しみでしたね	11	9784757594814	2024年10月25日
atom-the-beginning	アトムザ・ビギニング	21	9784864682879	2024年09月05日
love-phantom	ラブファントム	13	9784098728497	2024年11月08日
kamen-rider-kuuga	仮面ライダークウガ	25	9784864682855	2024年08月29日
jibaku-shounen-hanako-kun	地縛少年花子くん	0	9784757564541	2019年12月27日頃
zekkyou-gakkyuu-tensei	絶叫学級転生	23	9784088677705	2024年09月25日
kyokou-suiri	虚構推理	22	9784065368176	2024年10月17日
100-man-no-inochi-no-ue-ni-ore-wa-tatte-iru	100万の命の上に俺は立っている	20	9784065374214	2024年11月08日
gokuritsu	ごくりっ	3	9784098630646	2024年10月30日
nonbiri-buiaaruemuemuooki	のんびりVRMMO記	12	9784434346729	2024年10月23日頃
hajimete-no-gal	はじめてのギャル	19	9784041155240	2024年09月24日
ooi-tonbo	オーイ!とんぼ	62	9784772812115	2026年05月01日頃
ooi-tonbo	オーイ!とんぼ	61	9784772812108	2026年02月28日頃
guranma-no-yuuutsu	グランマの憂鬱	18	9784575339956	2025年12月17日
honey-lemon-soda	ハニーレモンソーダ	30	9784088678283	2025年12月24日
honey-lemon-soda	ハニーレモンソーダ	28	9784088677989	2025年04月24日
miira-no-kaikata	ミイラの飼い方	20	9784575860344	2024年12月12日
moekare-wa-orenjiiro	モエカレはオレンジ色	14	9784065372043	2024年10月11日
radiation-house	ラジエーションハウス	17	9784088934532	2024年11月19日
local-joshi-no-tooboe	ローカル女子の遠吠え	11	9784832259607	2024年12月06日
koyoi-tsuma-ga	今宵、妻が。	20	9784537148831	2024年08月29日
joshikousei-no-mudazukai	女子高生の無駄づかい	13	9784041157206	2024年11月08日
yuukoku-no-moriarty	憂国のモリアーティ	20	9784088845203	2025年05月02日
kiritani-san-chotsu-sore-kuunsuka	桐谷さんちょっそれ食うんすか!?	18	9784575860207	2024年10月24日
tamayomi	球詠	16	9784832295766	2024年10月10日
mahou-no-rinobe	魔法のリノベ	7	9784575339581	2024年11月14日
maoujou-de-oyasumi	魔王城でおやすみ	29	9784098540082	2025年02月18日
kodomo-o-koroshite-kudasai-to-iu-oyatachi	「子供を殺してください」という親たち	16	9784107727657	2024年11月09日
sayounara-ryuusei-konnichiwa-jinsei	さようなら竜生、こんにちは人生	13	9784434344961	2024年09月19日頃
shippomachi-no-koo-sensei	しっぽ街のコオ先生	17	9784420154772	2024年09月25日
madoromi-barmaid	まどろみバーメイド	16	9784832204645	2024年12月16日
ikenai-nanako-san	イケナイ菜々子さん	10	9784785977641	2024年09月10日
satanophany	サタノファニ	32	9784065374481	2024年11月06日
parallel-paradise	パラレルパラダイス	26	9784065372555	2024年10月04日
blue-period	ブルーピリオド	16	9784065374740	2024年11月21日
shitsuji-sebasu-chan-no-shokugyou-jijou	執事セバスチャンの職業事情	7	9784403623837	2024年11月26日頃
yuukyuu-no-gusha-asley-no-kenja-no-susume-to-pochi-no-daibouken	悠久の愚者アズリーの、賢者のすゝめと、ポチの大冒険	11	9784803020205	2024年10月11日頃
akebi-chan-no-seeraafuku	明日ちゃんのセーラー服	14	9784088934310	2024年10月18日
murabito-desu-nanika	村人ですが何か?	14	9784040755892	2024年09月06日
isekai-no-shuyaku-wa-wareware-da	異世界の主役は我々だ!	14	9784046840639	2024年10月17日頃
kinryou-rokku	禁猟六区	0	9784864684798	2016年11月05日頃
seija-musou	聖者無双	14	9784065373996	2024年10月08日
eiyuu-kyoushitsu	英雄教室	20	9784757594661	2024年10月10日
tenseishitara-ken-deshita	転生したら剣でした	16	9784344854642	2024年09月24日
1-nen-a-gumi-no-monster	1年A組のモンスター	14	9784758086530	2025年02月27日
diner	DINER ダイナー	25	9784088938943	2025年12月18日
w-juliet-2	Wジュリエット2	5	9784592214458	2016年04月20日頃
w-juliet-2	Wジュリエット2	4	9784592214441	2015年02月20日頃
w-juliet-2	Wジュリエット2	1	9784592188575	2006年12月18日頃
w-juliet-2	Wジュリエット2	2	9784592188612	2008年03月19日頃
w-juliet-2	Wジュリエット2	3	9784592188681	2011年03月18日頃
otsu-san-no-rimeiku-bouken-nikki	おっさんのリメイク冒険日記	11	9784344855083	2024年11月22日
owakare-hospital	お別れホスピタル	13	9784098631049	2024年11月28日
kuma-kuma-kuma-bear	くまクマ熊ベアー	11	9784391161311	2023年12月01日頃
kuuneru-marta-nuubo	くーねるまるた ぬーぼ	15	9784098630455	2024年09月30日
tama-no-gohoubi	たまのごほうび	6	9784088430560	2024年10月24日
nanoni-chigira-kun-ga-amasugiru	なのに、千輝くんが甘すぎる。	11	9784065375785	2024年11月13日
fushigi-yuugi-byakko-senki	ふしぎ遊戯白虎仙記	3	9784098728145	2024年12月10日
aoba-jitenshaten-to-ikouyo	アオバ自転車店といこうよ!	13	9784785977832	2024年10月09日
overlord-fushisha-no-oh	オーバーロード不死者のOh!	13	9784041152256	2024年09月24日
magi-craft-meister	マギクラフト・マイスター	13	9784046837837	2024年11月22日頃
jijou-o-shiranai-tenkousei-ga-guigui-kuru	事情を知らない転校生がグイグイくる。	19	9784757595200	2024年11月21日
itsuwari-no-fureiya	偽りのフレイヤ	12	9784592221678	2024年10月04日
tengoku-daimakyou	天国大魔境	11	9784065370544	2024年10月22日
seichou-cheat-de-nandemo-dekiru-you-ni-nattaga-mushoku-dake-wa-yamerarenai-you-desu	成長チートでなんでもできるようになったが、無職だけは辞められないようです	24	9784046839381	2024年09月21日頃
toujima-tanzaburou-wa-kamen-rider-ni-naritai	東島丹三郎は仮面ライダーになりたい	15	9784864682893	2024年09月28日
isekai-oji-san	異世界おじさん	12	9784046839978	2024年09月21日頃
kamitachi-ni-hirowareta-otoko	神達に拾われた男	13	9784757594555	2024年10月07日
shuumatsu-no-valkyrie	終末のワルキューレ	23	9784867207017	2024年11月20日
urasekai-picnic	裏世界ピクニック	13	9784757594678	2024年10月10日
onigiri-san-no-sentaku	鬼桐さんの洗濯	7	9784801984837	2024年11月15日
