  ✗[ 21] CLAPコミックス  楽天[三交社（台東区）] NDL[三交社]
  ✗[ 19] Amazia  楽天[一二三書房] NDL[一二三書房]
  ✗[ 17] 美術出版社  楽天[ビー・エス・ピー] NDL[ビー・エス・ピー]
  ✗[ 15] 東京創元社  楽天[夢元社] NDL[夢元社]
  ✗[ 14] 学研プラス  楽天[学研教育出版] NDL[学研教育出版]
  ✗[ 13] 壱番館書房  楽天[] NDL[]
  ✗[ 13] 楽楽出版  楽天[ぶんか社] NDL[ぶんか社]
  ✗[ 12] リットーミュージック  楽天[立東舎] NDL[立東舎]
  ✗[  9] 総和社  楽天[タイガーブックス] NDL[タイガーブックス]
  ✗[  8] 日本工業新聞社  楽天[産經新聞出版] NDL[産経新聞出版]
  ✗[  7] メディアパル (発売)  楽天[フィールドワイ] NDL[フィールドワイ]
  ✗[  6] シュフトセイカツシャ  楽天[主婦と生活社] NDL[宙出版]
  ✗[  5] 大田出版  楽天[太田出版] NDL[太田出版]
  ✗[  5] 河出書房  楽天[ペップ出版] NDL[ペップ出版]
  ✗[  5] メディアパル  楽天[フィールドワイ] NDL[フィールドワイ]
  ✗[  5] パイインターナショナル  楽天[大友克洋原画展実行委員会] NDL[大友克洋原画展実行委員会]
  ✗[  5] G-NOVELS  楽天[誠文堂新光社] NDL[Graffica Novels]
  ✗[  4] シユウエイシヤ  楽天[] NDL[創美社]
  ✗[  4] 琉球プロジェクト  楽天[琉球新報社] NDL[琉球新報社]
  ✗[  4] 書苑新社  楽天[アトリエサード] NDL[アトリエサード]
