現slug	新slug候補	title	フラグ
12shokumonogatari	12-shoku-monogatari	12色物語	
2001yamonogatari	2001-ya-monogatari	2001夜物語	
aahananoouendan	aa-hana-no-ouendan	嗚呼!!花の応援団	
aakeedogeemaafubuki	arcade-gamer-fubuki	アーケードゲーマーふぶき	
aaseishunnokoushien	aa-seishun-no-koushien	ああ!青春の甲子園	
adoribukararaimei	adlib-kara-raimei	アドリブから雷鳴	
afurodiitenaintei	aphrodite-90	アフロディーテ'90	
agakimichiruran	aga-kimi-chiruran	吾が君散るらむ	
agaribitonoatoshimatsu	agaribito-no-atoshimatsu	アガリビトの後始末	
aidoruhimemiyasakurako	sono-shukujo-wa-guuzou-to-naru	その淑女は偶像となる	
ainomachigaiejisagashi	ai-no-machigai-eji-sagashi	愛のまちがい絵字さがし	
airabuketsuekigata	i-love-ketsuekigata	アイ・LOVE・血液型	
aisazunihairarenai	aisazu-ni-wa-irarenai	愛さずにはいられない	
aishitaionnatachi	aishitai-onnatachi	愛したい女たち	
aishitehoshiidake	aishite-hoshii-dake	愛してほしいだけ	
aishitemintobooi	aishite-mint-boy	愛して❤ミントBOY	
aishiterutoomounaraba	aishiteru-to-omou-naraba	愛してると思うならば	
aitokairoiroarutokoro	ai-toka-iroiro-aru-tokoro	愛とかいろいろあるところ	
akagamierufunoosouzaiyasan	akagami-elf-no-osouzai-ya-san	赤髪エルフのお惣菜屋さん	
akaichounoshoujo	akai-chou-no-shoujo	赤いちょうの少女	
akaikaminoshounen	akai-kami-no-shounen	赤い髪の少年	
akinainingyotosoranohatsukoi	akinai-ningyo-to-sora-no-hatsukoi	商い人魚と蒼空の初恋	
akumanokendetenshiokurau	akuma-no-ken-de-tenshi-o-kurau	悪魔の剣で天使を喰らう	
akumanoyounawatashi	akuma-no-youna-watashi	悪魔のような私	
akunokoujowamoudaremokorosanai	aku-no-koujo-wa-mou-daremo-korosanai	悪の皇女はもう誰も殺さない	
akuyakureijounoyuigonjou	akuyaku-reijou-no-yuigonjou	悪役令嬢の遺言状	
akuyakureijouttenowakouyarunoyo	akuyaku-reijou-tteno-wa-kou-yaru-no-yo	悪役令嬢ってのはこうやるのよ	
amanojakudanshitobetaboredanshi	amanojaku-danshi-to-betabore-danshi	あまのじゃく男子とベタ惚れ男子	
amemajiriromanholiday	amemajiri-roman-holiday	雨まじりRoman Holiday	
anatanokoigokorowamachigaidesu	anata-no-koigokoro-wa-machigai-desu	あなたの恋心は間違いです!	
anatanomaousama	anata-no-maou-sama	あなたのマ王さま	
anbureramonogatari	umbrella-monogatari	アンブレラ物語	
anenoinukaramegahanasenai	ane-no-inu-kara-me-ga-hanasenai	姉の犬から目が離せない	
animegaoshigoto	anime-ga-oshigoto	アニメがお仕事!	
