区分	現slug	title
新刊	akaichounoshoujo	赤いちょうの少女
新刊	arufuheimunokishibaraddotsuguminomori	妖精国(アルフヘイム)の騎士Ballad～継ぐ視の守護者～
新刊	isekainobinbounoukanitenseishitanoderengaotsukutteshirootaterukotonishima	異世界の貧乏農家に転生したので、レンガを作って城を建てることにしました
新刊	kaseifumiyukinotokimekireshipi	家政婦美幸のときめきレシピ
新刊	ashitamokiminiainiiku	明日もきみに会いに行く
新刊	ojousannokeiyakukareshi	お嬢さんの契約カレシ。
新刊	okitsunesamanookiniiri	お狐様のお気に入り
新刊	doukyoningakonoyonomonjanai	同居人がこの世のモンじゃない. 第2巻
新刊	isekainidomenoossandoukangaetemokoukouseiyuushayoritsuyoi	異世界二度目のおっさん、どう考えても高校生勇者より強い
新刊	inahokunwanisekanojonohazunanoni	稲穂くんは偽カノジョのはずなのに
新刊	genkaiotakugagisoukoibitohajimetaken	限界オタクが偽装恋人はじめた件
新刊	ichibyousakiwakoi	1秒先は、恋
新刊	anatanokoigokorowamachigaidesu	あなたの恋心は間違いです!
新刊	anomamakisushitokitakatta	あのまま、キスしときたかった
新刊	isshoniichaokka	いっしょにいちゃおっか
新刊	itsukaojousamaninaritaikeidanjonhaishinshagahonmononoojousamani	いつかお嬢様になりたい系ダンジョン配信者が本物のお嬢様になるまで
新刊	gochisousamawanichoumede	ごちそうさまは二丁目で
新刊	geemuchishikidesaikyouninattamobuheishiwashinnojitsuryokuokakushitai	ゲーム知識で最強に成ったモブ兵士は、真の実力を隠したい
新刊	goryuukokumonogatari	五龍国物語
新刊	kyoukarakoitokosodatehajimemasu	今日から恋と子育てはじめます
新刊	oredewanaienjou	俺ではない炎上
新刊	kiminokisuganaiteiru	君のキスが泣いている
新刊	imoutonikonyakushaotoraretekonotabishuuakukoutooshitsukerarekonsuruhako	妹に婚約者を取られてこのたび醜悪公と押しつけられ婚する運びとなりました@COMIC
新刊	kodokumoratoriamu	孤独モラトリアム
新刊	koiniitaruyamai	恋に至る病
新刊	akunokoujowamoudaremokorosanai	悪の皇女はもう誰も殺さない
新刊	akumanokendetenshiokurau	悪魔の剣で天使を喰らう
