slug	title	vols	inv	gap_yr	worst	bad_isbn
ippei-zenshuu	一平全集	20	5	60	#1(1990-10)->#2(1930-02)	
muyounosuke	無用ノ介	15	1	53	#13(2023-10)->#14(1970-04)	
houchounin-ajihei	包丁人味平	15	3	52	#2(2026-03)->#3(1974)	
harenchi-gakuen	ハレンチ学園	13	1	48	#6(2018-09)->#7(1970-12)	
submarine-nanamarunana	サブマリン707	6	1	46	#3(2013-08)->#4(1967-06)	
swan	SWAN	21	1	43	#16(2024-10)->#17(1981-01)	
shounen-keniya	少年ケニヤ	14	3	43	#1(2005-11)->#2(1962-02)	
sukeban-deka	スケバン刑事	22	1	42	#12(2022-09)->#13(1980-10)	
sandarabotchi	さんだらぼっち	17	1	42	#1(2018-02)->#2(1976-10)	
jikken-doll-dummy-oscar	実験人形ダミー・オスカー	18	3	40	#2(2019-12)->#3(1979-05)	
sutoppunii-chan	ストップ!にいちゃん	13	1	40	#3(2008-09)->#4(1968-11)	
gaki-deka	がきデカ	26	2	39	#23(2019-04)->#24(1980-12)	
goyoukiba	御用牙	18	1	39	#1(2011-06)->#2(1972-01)	
rashanu	ラシャーヌ!	7	1	39	#3(2023-05)->#4(1984-01)	9784592112747
kozure-ookami	子連れ狼	28	2	38	#20(2013-05)->#21(1975-04)	
kumotori-zanpei	雲盗り暫平	29	4	37	#18(2024-07)->#19(1987-05)	
kennedy-knights	ケネディ騎士団	7	1	36	#4(2006-01)->#5(1970-01)	
akadou-suzunosuke	赤胴鈴之助	17	1	35	#13(1992-01)->#14(1957-12)	
sahara	サハラ	8	2	35	#4(2011-04)->#5(1976)	
sengoku-shishiden	戦国獅子伝	8	2	35	#4(2011-04)->#5(1976)	
ibu-no-musukotachi	イブの息子たち	7	1	35	#5(2014-04)->#6(1979-10)	
sasuga-no-sarutobi	さすがの猿飛	7	2	35	#4(2018-06)->#5(1983-08)	9784091207357
hiatari-ryoukou	陽あたり良好!	5	1	35	#3(2016-07)->#4(1981-06)	
otoko-ippiki-gaki-daishou	男一匹ガキ大将	20	1	34	#4(2004-11)->#5(1970-03)	
kei-no-seishun	ケイの凄春	14	2	34	#8(2013-12)->#9(1979-03)	
buddha	ブッダ	14	1	34	#10(2017-07)->#11(1983-10)	9784061732971
hakushaku-reijou	伯爵令嬢	12	1	34	#5(2016-09)->#6(1982-09)	9784253080286
judo-itchokusen	柔道一直線	10	1	34	#7(2004-07)->#8(1970-04)	
haru-ga-kita	春が来た	10	1	34	#6(2012-08)->#7(1978-05)	
gekkou-kamen	月光仮面	7	2	34	#6(1993-08)->#7(1959-02)	
yuka-o-yobu-umi	ユカをよぶ海	6	1	34	#3(1997-09)->#4(1963-10)	
deimosu-no-hanayome	悪魔の花嫁	17	2	33	#1(2009-12)->#2(1976-04)	
gegege-no-kitarou	ゲゲゲの鬼太郎	15	3	33	#3(2018-06)->#4(1985-10)	9784061730823
chikai-no-makyuu	ちかいの魔球	10	1	33	#5(1995-04)->#6(1962-09)	
hotel	ホテル	33	1	32	#2(2018-02)->#3(1986-06)	9784091810434
ningen-kousaten	人間交差点	27	1	32	#3(2015-05)->#4(1983-08)	9784091803948
captain	キャプテン	26	5	32	#18(2010-06)->#19(1978-05)	
iga-no-kagemaru	伊賀の影丸	15	1	32	#9(2008-12)->#10(1976-03)	
hadashi-no-gen	はだしのゲン	10	2	32	#5(2020-01)->#6(1988-08)	9784811300450
shounen-no-machi-zf	少年の町ZF	9	1	32	#5(2011-09)->#6(1979-01)	
yuuyake-banchiyou	夕やけ番長	17	2	31	#7(2000-05)->#8(1969-08)	
kubikiri-asa	首斬り朝	12	1	31	#8(2013-04)->#9(1982-03)	
kinnikuman	キン肉マン	92	1	30	#11(2013-07)->#12(1983-06)	9784088511429
doraemon-2013	DORAEMON	28	5	30	#6(2005-02)->#7(1975-05)	9784091400079
doraemon	ドラえもん	28	5	30	#6(2005-02)->#7(1975-05)	9784091400079
kuchiyaku-mondo-kawaitesourou	唇役主丞乾いて候	8	3	30	#1(2011-09)->#2(1981-07)	
tensai-bakabon	天才バカボン	22	2	29	#21(2005-09)->#30(1976-05)	
gokudou-steak	極道ステーキ	21	6	29	#3(2017-09)->#4(1988-02)	9784845804740
nihonnorekishi	日本の歴史	19	4	29	#12(2016-10)->#13(1987-06)	9784082440138
nippon-no-rekishi-2007-2	日本の歴史	18	4	29	#12(2016-10)->#13(1987-06)	9784082440138
seishuku-ni-tensai-tadaima-benkyouchuu	静粛に、天才只今勉強中!	11	1	29	#8(2017-09)->#9(1988-06)	9784267901720
x-men-1994-5	X-MEN	11	1	29	#3(2023-09)->#4(1994-08)	9784884757311
x-men-1994	X-MEN	10	1	29	#3(2023-09)->#4(1994-08)	9784884757311
hakatakko-junjou	博多っ子純情	34	1	28	#6(2006-08)->#7(1978-10)	
mangamichi	まんが道	23	1	28	#7(2013-02)->#8(1985-01)	9784124100327
ninpou-hiwa	忍法秘話	22	1	28	#5(1992-09)->#6(1964-03)	
samurai-giants	侍ジャイアンツ	16	1	28	#8(2002-04)->#9(1974-04)	
the-cop	ザ・コップ	7	1	28	#1(2003-12)->#2(1975)	
sangokushi	三国志	60	7	27	#22(2008-12)->#23(1981-03)	9784267901232
wild-7	ワイルド7	32	1	27	#5(2001-06)->#19(1974-03)	
toilet-hakase	トイレット博士	21	5	27	#3(2000-02)->#8(1973)	
sasuke	サスケ	18	2	27	#8(1990-12)->#9(1963-11)	
kouha-ginjirou	硬派銀次郎	9	1	27	#1(2003-06)->#2(1976-08)	
meitantei-kageman	名たんていカゲマン	11	1	26	#3(2004-11)->#4(1978-06)	
juudousanka	柔道讃歌	7	1	26	#6(2003-06)->#11(1977)	
senrei	洗礼	6	2	26	#3(2002-06)->#4(1976-08)	
robot-santou-hei	ロボット三等兵	5	1	26	#3(1997-10)->#5(1971-06)	
patalliro	パタリロ!	104	1	25	#1(2005-11)->#2(1980-02)	9784592111726
choujin-locke	超人ロック	38	3	25	#16(2008-03)->#17(1983-11)	9784785944391
yuuhigaoka-no-souri-daijin	ゆうひが丘の総理大臣	17	1	25	#1(2002-09)->#2(1977-10)	
dash-kappei	ダッシュ勝平	17	1	25	#1(2006-03)->#2(1981-01)	
attack-no-1	アタックNo.1	12	1	25	#8(1995-07)->#9(1970-09)	
haikara-san-ga-tooru	はいからさんが通る	9	1	25	#8(2002-09)->#20(1977-05)	9784061097445
mandaraya-no-ryouta	まんだら屋の良太	53	1	24	#1(2004-01)->#2(1980-02)	
tetsuwan-atom	鉄腕アトム	21	1	24	#20(2000-04)->#21(1976-07)	
drsuranpu	Dr.スランプ	18	4	24	#11(2007-07)->#12(1983-12)	9784088511924
musashi	ムサシ	12	1	24	#10(2001-06)->#12(1977-08)	
soorujaa	葬流者	11	2	24	#1(2009-02)->#2(1985-05)	
sawayaka-mantarou	さわやか万太郎	10	1	24	#5(2004-05)->#6(1980-06)	
suikoden-sentaro-1980	水滸伝	9	1	24	#2(2004-11)->#3(1980-02)	
dabide-no-hoshi	堕靡泥の星	7	2	24	#3(1998-06)->#4(1974-10)	
ai-no-aranjuez	愛のアランフェス	7	1	24	#5(2004-06)->#6(1980-10)	
again	アゲイン	6	1	24	#3(1996-04)->#4(1972-07)	
asari-chan	あさりちゃん	100	1	23	#7(2005-03)->#8(1982-03)	9784091404084
jarinko-chie	じゃりン子チエ	67	1	23	#1(2002-05)->#2(1979-09)	
cyborg-009	サイボーグ009	36	2	23	#2(1989-12)->#3(1966-10)	9784253060035
otoko-do-ahou-koshien	男どアホウ甲子園	28	4	23	#4(1996-12)->#5(1973-05)	
ace-o-nerae	エースをねらえ!	18	1	23	#10(2002-10)->#11(1979-01)	
sasori	さそり	8	2	23	#1(2014-04)->#2(1991-12)	9784091601124
tekkanomakihei	鉄火の巻平	8	2	23	#1(2001-05)->#2(1978-08)	
dokaben	ドカベン	48	8	22	#32(2000-11)->#33(1978-08)	9784253030953
black-jack	ブラック・ジャック	25	7	22	#16(2001-03)->#17(1979-03)	9784253031769
shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	20	1	22	#6(2013-11)->#7(1991-02)	9784883150960
shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	20	1	22	#6(2013-11)->#7(1991-02)	9784883150960
kowai-hon	こわい本	14	2	22	#3(2003-08)->#4(1981-09)	
zoku-kowai-hon	ゾクこわい本	14	2	22	#3(2003-08)->#4(1981-09)	
umezu-kazuo-kowai-hon	楳図かずおこわい本	14	2	22	#3(2003-08)->#4(1981-09)	
perman	パーマン	9	1	22	#8(2010-06)->#11(1988-08)	9784124102024
harris-no-kaze	ハリスの旋風	7	1	22	#6(1991-06)->#7(1969-03)	
suna-no-shiro	砂の城	7	1	22	#6(2004-09)->#7(1982-03)	
chiisana-koi-no-monogatari	小さな恋のものがたり	46	2	21	#9(1997-03)->#10(1976-06)	9784651100104
survival	サバイバル	22	7	21	#17(2001-03)->#18(1980-11)	
eden-no-tohoku	エデンの東北	22	2	21	#1(2013-06)->#2(1992-07)	
kamui-den	カムイ伝	21	2	21	#1(1988-07)->#2(1967-06)	9784091710024
eko-eko-azaraku	エコエコアザラク	19	5	21	#6(1998-10)->#7(1977-06)	9784253033671
puroresu-super-star-rendetsu	プロレススーパースター列伝	17	2	21	#2(2002-08)->#3(1981-08)	9784091205438
maps	マップス	17	1	21	#3(2009-01)->#4(1988-07)	9784051033859
hit-and-run	ヒット・エンド・ラン	13	1	21	#3(2000-07)->#4(1979-09)	
susume-pirates	すすめ!!パイレーツ	11	2	21	#4(2008-11)->#5(1987-01)	9784834210651
gin-to-kin	銀と金	11	3	21	#2(2014-07)->#3(1993-05)	9784575818642
tsuri-baka-taishou	釣りバカ大将	10	1	21	#1(2002-09)->#2(1981-10)	
mugen-shinshi	夢幻紳士	10	1	21	#1(2006-04)->#2(1985-03)	9784197755318
nanahan-rider	750ライダー	50	4	20	#1(1996-04)->#2(1976-05)	
ore-wa-teppei	おれは鉄兵	30	3	20	#21(1998-05)->#22(1978-07)	
ten	天	18	1	20	#10(2016-05)->#11(1996-08)	9784812450765
maboroshi-tantei	まぼろし探偵	8	2	20	#3(1991-02)->#4(1971-08)	
garasunoshiro	ガラスの城	8	3	20	#5(1991)->#6(1971-01)	
circuit-no-ookami	サーキットの狼	22	1	19	#19(1998-02)->#20(1979-09)	
deka-ankou	刑事あんこう	22	1	19	#2(1999-08)->#3(1980-07)	
9-banme-no-musashi	9番目のムサシ	21	1	19	#16(2024-11)->#17(2005-07)	9784253165051
game-center-arashi	ゲームセンターあらし	17	1	19	#4(2000-08)->#5(1981-06)	
shidenkai-no-taka	紫電改のタカ	5	1	19	#4(1990-11)->#5(1971-10)	
tsuribaka-nisshi	釣りバカ日誌	118	2	18	#6(2000-02)->#7(1982-12)	9784091802873
kyojin-no-hoshi	巨人の星	19	4	18	#11(1990-03)->#12(1972-01)	
gorilla-man	ゴリラーマン	19	1	18	#16(2011-02)->#17(1993-07)	9784063234091
lupin-iii	ルパン三世	14	2	18	#5(1993-02)->#6(1975-09)	
bouryoku-taishou	暴力大将	23	3	17	#2(1993-05)->#3(1976-10)	9784253034050
ashita-no-joe	あしたのジョー	20	3	17	#16(1989-09)->#17(1972-12)	
ikkyuu-san	一球さん	14	1	17	#5(1993-03)->#6(1976-09)	9784091201362
akera-to-magozou	明楽と孫蔵	9	1	17	#3(2013-05)->#4(1996-05)	9784575821383
shiawase-wa-konna-katachi-de-yattekuru	幸せはこんなカタチでやってくる	7	2	17	#3(2013-07)->#4(1996-04)	
