slug	title	have	max	miss	ratio	missing
mogura-no-uta	土竜の唄	92	94	2	0.98	86,87
gekiga-ningen-kakumei	劇画人間革命	55	56	1	0.98	3
keirin-yarou	ケイリン野郎	55	56	1	0.98	45
kenkaku-shoubai	剣客商売	53	54	1	0.98	50
q-e-d	Q.E.D.	49	50	1	0.98	1
senri-no-michi-mo	千里の道も	44	45	1	0.98	13
ajia-he-no-michi	千里の道も-アジアへの道-	44	45	1	0.98	13
kenshuusei-jidai	千里の道も-研修生時代-	44	45	1	0.98	13
shizuku-chan	しずくちゃん	43	44	1	0.98	43
ginga-densetsu-weed	銀牙伝説Weed	58	60	2	0.97	40,44
senri-no-michi-mo-dai-sanshou	千里の道も 第三章	38	39	1	0.97	12
tough	TOUGH	38	39	1	0.97	17
samurai-deeper-kyo	SAMURAI DEEPER KYO	37	38	1	0.97	35
rave	Rave	34	35	1	0.97	9
yozakura-quartet	夜桜四重奏	33	34	1	0.97	33
major-2nd	MAJOR 2nd	31	32	1	0.97	29
tensei-kenja-no-isekai-life	転生賢者の異世界ライフ	30	31	1	0.97	26
chinpira	弱虫	29	30	1	0.97	22
tsuyoshi	TSUYOSHI	29	30	1	0.97	24
shouta-no-sushi	将太の寿司	28	29	1	0.97	28
tasogare-ryuuseigun	黄昏流星群	76	79	3	0.96	72,73,74
gate	ゲート	27	28	1	0.96	26
murci-lago	Murciélago	27	28	1	0.96	13
zettai-reido	絶対麗奴	26	27	1	0.96	1
saki	咲	26	27	1	0.96	26
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	26	27	1	0.96	4
komatta-toki-niwa-hoshi-ni-kike	困った時には星に聞け!	25	26	1	0.96	4
sidooh-shidou	Sidooh士道	24	25	1	0.96	24
asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	24	25	1	0.96	20
girls-ando-panzer-motto-raburabu-sakusen-desu	ガールズ&パンツァーもっとらぶらぶ作戦です!	24	25	1	0.96	22
boukenshatachi-no-sekaishi	冒険者たちの世界史	23	24	1	0.96	17
sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami	スゴ盛!本当にあった〔○生〕ここだけの話極	23	24	1	0.96	4
ore-dake-level-appu-na-ken	俺だけレベルアップな件	23	24	1	0.96	18
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	22	23	1	0.96	4
mobile-suit-gundam-san	機動戦士ガンダムさん	22	23	1	0.96	22
mei-tantei-asami-mitsuhiko-ando-ryojou-mystery-comic-selection	名探偵浅見光彦＆旅情ミステリーコミックセレクション	22	23	1	0.96	4
meitantei-conan-2005	名探偵コナン特別編	38	40	2	0.95	37,38
gang-king	ギャングキング	35	37	2	0.95	28,29
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	21	22	1	0.95	1
dabide-no-hoshi	堕靡泥の星	20	21	1	0.95	20
riezon	リエゾン	20	21	1	0.95	19
shinjite-ita-nakamatachi-ni-dungeon-okuchi-de-korosarekaketaga-gift-mugen-gacha-de-level-9999-no	信じていた仲間達にダンジョン奥地で殺されかけたがギフト『	20	21	1	0.95	14
nihonnorekishi	日本の歴史	19	20	1	0.95	6
hana-no-deka	花の慶次	19	20	1	0.95	19
chaos-damonne	カオスだもんね!	19	20	1	0.95	3
s	S	19	20	1	0.95	13
shouwa-genroku-rakugo-shinjuu	昭和元禄落語心中	19	20	1	0.95	15
rinta-no-momoiro-comic	りん太のももいろコミック	18	19	1	0.95	2
marugoshi-deka-super-collection	まるごし刑事スーパーコレクション	18	19	1	0.95	15
sugar-spice	Sugar ＆ Spice	17	18	1	0.94	17
drawing	ドローイング	17	18	1	0.94	12
duel-masters	DUEL MASTERS	16	17	1	0.94	16
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	16	17	1	0.94	14
comic-asami-mitsuhiko-honkaku-ryojou-mystery	コミック浅見光彦本格旅情ミステリー	16	17	1	0.94	13
fantasy-bishoujo-juniku-oji-san-to	異世界(ファンタジー)美少女受肉おじさんと	16	17	1	0.94	14
tsuki-ga-michibiku-isekai-douchuu	月が導く異世界道中	15	16	1	0.94	15
imootaru-princess-hajimemashita	人外姫様(イモータルプリンセス)、始めました	15	16	1	0.94	13
kijitoraneko-no-koume-san	キジトラ猫の小梅さん	26	28	2	0.93	26,27
shin-karate-jigokuhen	新カラテ地獄変	14	15	1	0.93	14
matenrou	摩天楼	13	14	1	0.93	9
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリ	13	14	1	0.93	1
gifuu-doudou	義風堂々!!	13	14	1	0.93	2
isekai-tensei-soudouki	異世界転生騒動記	13	14	1	0.93	13
kuro-ka-shiro-ka	黒か白か	13	14	1	0.93	13
golden-guy	ゴールデン・ガイ	13	14	1	0.93	13
2-tengojigen-no-ririsa	2.5次元の誘惑(リリサ)	23	25	2	0.92	21,23
servamp	SERVAMP	22	24	2	0.92	22,23
kemono-jihen	怪物(けもの)事変	22	24	2	0.92	22,23
musashi	ムサシ	12	13	1	0.92	11
ryoushuu	領袖	12	13	1	0.92	7
jinjuu-houretsuden	仁獣芳烈伝	12	13	1	0.92	11
shin-kaiketsu-jouki-tanteidan	真・快傑蒸気探偵団	12	13	1	0.92	8
meitantei-yumemizu-kiyoshirou-jiken-note	名探偵夢水清志郎事件ノート	12	13	1	0.92	11
shachou-to-anan	社長とあんあん❤	12	13	1	0.92	10
nee-piyo-chan	ねぇ、ぴよちゃん	12	13	1	0.92	11
tenkaichi-azuma-2025	テンカイチ	12	13	1	0.92	10
hell-mode	ヘルモード	12	13	1	0.92	11
kono-sekai-ga-izure-horobu-koto-o-ore-dake-ga-shitte-iru	この世界がいずれ滅ぶことを、俺だけが知っている	12	13	1	0.92	10
kibaken	牙拳	11	12	1	0.92	9
perman-fujiko-1979	パーマン	11	12	1	0.92	11
reikan-koumuten-ripea	霊感工務店リペア	11	12	1	0.92	7
wangan-midnight-c1-runner	湾岸ミッドナイトC1ランナー	11	12	1	0.92	1
keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	警視庁捜査一課十津川警部＆トレインミステリーコミックセレ	11	12	1	0.92	8
kachou-fuugetsu	花鳥風月	11	12	1	0.92	11
magia-record-2025	マギアレコード	11	12	1	0.92	5
isekai-tensei-no-boukensha	異世界転生の冒険者	11	12	1	0.92	11
skill-rendaa-no-torikaeshi	技巧貸与(スキル・レンダー)のとりかえし	11	12	1	0.92	8
tsuihousareta-sareta-cheat-fuyo-majutsushi-wa-kimama-na-sekando-life-o-ouka-suru	追放されたチート付与魔術師は気ままなセカンドライフを謳歌	11	12	1	0.92	11
iketerufutari	イケてる2人	30	33	3	0.91	12,17,23
pumpkin	パンプキン	21	23	2	0.91	1,8
ore-no-koshien	俺の甲子園	10	11	1	0.91	10
