title,anilist_id,authors,genres_anilist,tags,merged_keys,page_key
+ αの事情,111809,音海ちさ,Comedy;Romance,,1,name:音海ちさ|name:+ αの事情
/Blush-DC～秘・蜜～,51035,宮崎摩耶,Drama;Ecchi;Romance,Seinen,2,qid:Q11454332|name:/Blush-DC～秘・蜜～
10 DANCE,67565,井上佐藤,Comedy;Drama;Romance;Slice of Life;Sports,Seinen,4,name:井上佐藤|name:10 DANCE
12時からはじまる,87412,右京あやね,Drama;Romance,,1,qid:Q11412137|name:12時からはじまる
18禁のつくりかた,209810,ヨシザワ,Comedy;Romance,,1,name:ヨシザワ|name:18禁のつくりかた
19歳の夫には秘密がある,112737,,Drama;Romance,Josei,1,name:RIN。|name:19歳の夫には秘密がある
1日1回、果てるまで…,134557,稲本いねこ,Ecchi;Romance,Josei,1,name:稲本いねこ|name:1日1回、果てるまで…|sub:飢えた絶倫オジサマは私を貪り尽くす
24時間オチないkiss,115732,加藤スス,Comedy;Romance,,1,name:加藤スス|name:24時間オチないkiss
25時、赤坂で,111854,夏野寛子,Drama;Romance,,1,name:夏野寛子|name:25時、赤坂で
25歳の女子高生,114025,マカナ,Romance,Josei,1,name:マカナ|name:25歳の女子高生
26歳処女、チャラ男上司に抱かれました,156125,仲春リョウ,Romance,,1,name:仲春リョウ|name:26歳処女、チャラ男上司に抱かれました
28歳、初体験。,128439,山本美希;芳村かなみ;夏葉ヤシ;西園寺みちる,Romance,,1,qid:Q11430126|name:28歳、初体験。|sub:恋がこんなに気持ちいいなんて
29歳・地味局の突然なモテ期,207539,,Ecchi;Romance,,1,name:高山ねむ子|name:29歳・地味局の突然なモテ期|sub:年下後輩とオフィスで抜かず3発
2ndバージンのじょうずな捨て方,163591,,Drama;Romance,,1,name:ずんだ餅粉|name:2ndバージンのじょうずな捨て方
35歳、今さら恋とかありえない,151805,椎名まうみ,Romance,Josei,1,name:蜜柑子|name:35歳、今さら恋とかありえない
35歳の選択,181165,大前田助;磯カズナリ,Action;Adventure;Comedy;Ecchi;Fantasy,,3,name:大前田助|name:35歳の選択
38℃のキス,124558,宮越和草,Romance,Josei,1,name:宮越和草|name:38℃のキス
3P始めました!!,112169,克・亜樹,Drama;Ecchi;Romance,,1,qid:Q1736792|name:3P始めました!!
4000倍の男,147540,雁木万里,Comedy;Ecchi;Romance,Seinen,1,name:雁木万里|name:4000倍の男
45歳、おじさまは不器用な獣。,113899,竹輪つぼみ,Hentai;Romance,Josei,1,name:竹輪つぼみ|name:45歳、おじさまは不器用な獣。
8人の戦士,133686,池玲文,Action;Comedy;Fantasy;Romance,,1,name:池玲文|name:8人の戦士
ACID TOWN,44498,九號,Action;Drama;Psychological,,2,name:九號|name:ACID TOWN
ASK,118726,新堂冬樹,Drama,Seinen,1,name:新堂冬樹|name:ASK|sub:元トップアイドルの私を一時間いくらで抱きますか?
AVな彼女,113822,まりぴょん,Ecchi,,1,qid:Q59779709|name:AVな彼女
AV女優はじめます。,129054,kiseki,Drama;Romance,Seinen,1,name:kiseki|name:AV女優はじめます。
Ares,50052,瀬都ナルミ,Fantasy;Hentai;Supernatural,,1,name:瀬都ナルミ|name:Ares
BACK STAGE!!,93061,影木栄貴;つだみきよ,Romance,,1,qid:Q448653|name:BACK STAGE!!
BARBARITIES,95290,鈴木ツタ,Comedy;Drama;Romance;Slice of Life,,2,qid:Q11648467|name:BARBARITIES
BASTARD!!,131084,萩原一至;ホーム社,Fantasy;Hentai,,3,qid:Q1343976|name:BASTARD!!
"BLUE MOON, BLUE",113121,橋本あおい,Hentai;Romance,,1,"qid:Q17219955|name:BLUE MOON, BLUE"
BOX,144337,池上遼一;狩撫麻礼,Hentai;Horror;Supernatural,,2,qid:Q1332841|name:BOX
BOYS LIFE,50972,こうじま奈月,Hentai,,2,name:こうじま奈月|name:BOYS LIFE
